CITY,10/1/2015,17/1/2015,24/1/2015,31/1/2015,7/2/2015,14/2/2015,21/2/2015,28/2/2015,7/3/2015,14/3/2015,21/3/2015,28/3/2015,4/4/2015,11/4/2015,18/4/2015,25/4/2015,2/5/2015,9/5/2015,16/5/2015,23/5/2015,30/5/2015,6/6/2015,13/6/2015,20/6/2015,27/6/2015,4/7/2015,11/7/2015,18/7/2015,25/7/2015,1/8/2015,8/8/2015,15/8/2015,22/8/2015,29/8/2015,5/9/2015,12/9/2015,19/9/2015,26/9/2015,3/10/2015,10/10/2015,17/10/2015,24/10/2015,31/10/2015,7/11/2015,14/11/2015,21/11/2015,28/11/2015,5/12/2015,12/12/2015,19/12/2015,26/12/2015,2/1/2016,9/1/2016,16/1/2016,23/1/2016,30/1/2016,6/2/2016,13/2/2016,20/2/2016,27/2/2016,5/3/2016,12/3/2016,19/3/2016,26/3/2016,2/4/2016,9/4/2016,16/4/2016,23/4/2016,30/4/2016,7/5/2016,14/5/2016,21/5/2016
Federal District,9,0,12,32,73,0,0,45,12,12,0,68,35,0,0,26,18,16,16,7,5,2,4,2,2,2,4,2,6,1,2,6,19,4,2,7,0,1,12,4,13,0,0,31,15,49,43,51,63,30,33,26,26,28,51,77,80,48,48,67,47,54,40,40,37,44,33,30,39,53,37,24
State of Acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0,0,100,0,94,0,0,29,37,28,84,35,24,21,53,34,21,48,77,30,96,93,81,22,47,63,49,49,36,55,61,37,16,41
State of Alagoas,74,15,39,0,0,0,42,0,0,79,72,0,0,63,0,20,8,22,34,52,32,46,28,76,76,100,100,100,100,100,100,100,100,39,40,13,92,29,100,16,89,20,34,84,62,69,62,36,51,16,29,19,20,46,39,45,42,43,65,55,66,100,100,61,69,96,85,88,89,61,100,100
State of Amapá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,34,0,0,0,0,0,20,18,0,0,0,0,97,0,38,0,0,0,19,0,0,0,0,0,0,0,0,14,21,40,0,25,0,56,24,23,36,28,38,47,38,20,31,45,12,46,0,11,33,38,52,92,18
State of Amazonas,25,15,0,0,74,0,40,0,34,35,0,0,0,59,0,18,15,15,0,0,5,5,5,0,5,3,3,0,0,0,0,0,0,0,7,7,0,3,67,0,18,0,0,54,12,39,29,63,46,17,15,18,14,16,34,57,71,71,78,87,58,62,80,77,48,52,59,80,69,83,68,65
State of Bahia,26,10,31,34,78,12,35,48,49,26,24,47,92,83,94,100,100,100,82,93,93,76,100,100,100,65,47,36,56,32,42,59,77,30,22,28,51,13,91,6,21,18,29,48,26,51,38,34,39,23,29,13,27,20,29,42,49,55,68,96,81,67,66,72,56,55,43,64,61,48,36,41
State of Ceará,11,14,9,23,71,0,10,81,26,0,84,33,26,30,50,46,21,25,32,55,57,50,49,70,59,46,21,27,22,26,24,48,56,30,19,15,31,3,47,6,41,7,22,47,36,51,41,41,43,16,24,14,19,14,40,59,53,50,55,61,59,51,53,43,38,48,39,54,56,52,46,48
State of Espírito Santo,0,21,18,47,35,12,19,32,0,0,32,62,0,28,32,9,11,2,6,9,7,0,0,5,8,6,3,1,2,2,8,0,7,3,3,3,0,0,50,2,0,18,100,100,68,67,100,100,65,23,33,25,27,21,28,46,66,52,58,64,52,49,62,47,28,54,18,52,39,41,25,28
State of Goiás,13,8,49,51,19,3,22,91,19,30,19,0,85,32,19,10,4,6,6,12,7,6,1,9,3,6,4,3,8,1,4,4,25,3,2,2,20,4,26,3,15,4,10,32,28,59,45,57,56,26,42,18,27,35,42,65,65,59,73,76,63,66,72,60,56,56,57,59,52,43,27,28
State of Maranhão,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,77,72,100,100,100,100,15,43,32,17,13,13,15,3,13,21,0,16,0,5,0,8,0,3,29,11,42,34,27,65,30,26,54,11,30,13,15,15,32,38,48,54,72,72,72,59,90,100,100,92,100,100,100,100,57,66
State of Mato Grosso,0,0,0,0,0,8,31,100,27,56,0,100,79,45,0,14,17,16,14,11,20,13,16,12,19,4,8,8,3,6,31,19,87,10,26,35,80,12,50,10,27,21,53,49,48,100,82,91,100,100,100,100,100,100,100,100,100,62,75,80,60,49,52,38,29,38,39,37,23,37,26,12
State of Mato Grosso do Sul,0,12,30,0,59,0,100,0,0,0,0,53,0,0,0,31,6,8,11,11,0,0,0,9,4,2,0,4,4,13,5,7,0,6,12,0,0,3,0,0,16,6,30,37,30,37,46,47,72,56,61,30,36,36,46,55,71,51,47,72,87,45,71,58,39,48,42,31,38,48,31,28
State of Minas Gerais,19,9,25,25,37,7,31,17,9,32,60,23,100,32,12,15,14,9,13,9,8,10,7,5,9,6,5,5,8,5,6,9,10,6,6,5,11,2,36,2,20,5,13,25,25,31,34,37,51,24,28,15,24,31,40,59,64,64,81,86,75,60,63,59,55,52,42,54,55,33,26,27
State of Paraná,13,11,28,25,37,6,0,17,22,19,9,33,39,23,17,12,10,7,9,5,9,10,10,3,2,2,3,1,1,1,5,4,8,5,5,1,4,1,10,1,5,2,8,29,22,31,28,35,42,18,20,10,19,12,37,49,44,38,34,47,37,33,29,26,24,28,14,27,21,8,11,15
State of Paraíba,0,0,0,45,33,0,54,30,16,32,31,29,45,79,0,16,20,35,39,33,27,33,40,47,24,32,31,11,41,24,15,25,81,24,25,15,20,7,25,5,0,0,0,17,33,27,42,33,51,39,34,16,14,27,35,41,58,63,66,84,60,78,72,64,59,100,50,74,69,74,69,55
State of Pará,16,0,0,68,0,0,27,0,0,25,0,0,0,0,0,0,16,11,16,7,25,11,11,19,0,4,2,2,10,3,7,6,18,9,9,13,18,4,45,2,12,14,44,67,22,45,63,33,60,18,45,14,31,42,51,71,87,73,68,82,74,62,52,53,37,50,35,66,53,40,28,45
State of Pernambuco,13,15,67,100,76,0,10,35,9,28,86,16,51,100,32,54,51,27,32,22,19,24,19,15,11,15,6,9,6,10,7,25,29,2,11,7,22,3,35,3,24,9,19,100,54,91,83,59,52,32,35,23,35,33,38,52,72,61,80,91,81,52,56,46,38,41,23,43,28,20,11,24
State of Piauí,0,0,100,0,100,17,54,92,100,0,95,0,0,82,92,0,73,7,62,59,34,15,14,22,14,0,3,7,12,5,14,11,18,17,0,25,0,0,43,0,0,0,22,0,25,64,44,30,27,26,12,18,14,18,27,30,63,43,57,43,24,44,25,50,32,34,30,39,58,34,55,54
State of Rio Grande do Norte,34,19,0,0,51,0,0,0,0,0,0,0,0,78,0,12,55,43,17,43,44,30,7,18,8,15,7,11,9,6,15,12,29,5,0,9,36,5,69,0,12,0,12,45,34,21,57,34,29,14,25,8,8,15,27,44,64,67,63,74,92,98,75,53,51,55,49,51,27,37,22,35
State of Rio Grande do Sul,14,8,5,29,10,5,6,9,20,10,9,9,28,24,9,3,3,4,5,7,2,4,3,4,2,2,1,2,2,2,2,7,6,5,0,1,4,0,5,2,6,3,3,20,14,25,27,25,43,17,22,11,17,17,32,38,52,29,37,39,38,38,43,33,29,26,26,34,25,25,19,12
State of Rio de Janeiro,12,9,34,35,41,7,8,43,24,14,13,13,27,24,41,33,21,22,28,37,29,33,32,28,30,16,14,11,18,13,17,35,55,20,12,11,24,7,53,7,38,13,29,55,46,63,60,72,92,54,89,48,68,50,71,85,87,74,83,80,75,66,84,79,65,83,64,91,75,62,46,45
State of Rondônia,0,0,0,0,0,0,0,0,0,0,100,0,0,0,100,27,0,15,0,7,7,8,8,0,0,0,0,0,0,0,0,0,0,0,0,19,0,5,0,5,0,0,0,0,21,18,57,31,28,17,52,22,33,24,33,44,60,54,94,70,77,63,45,49,78,25,18,47,30,16,5,24
State of Roraima,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,44,0,0,0,0,19,0,0,0,0,0,0,100,100,100,100,100,0,100,0,100,0,0,100,42,18,57,77,53,0,31,0,0,46,58,25,33,52,49,14,14,21,68,89,65,30,45,0,98,21,26
State of Santa Catarina,6,16,24,20,48,5,26,15,15,8,30,14,0,13,29,8,8,4,4,3,3,2,0,4,1,1,1,0,3,0,1,8,0,3,6,3,9,1,8,1,4,2,0,21,26,18,29,37,43,15,15,9,12,12,28,42,46,36,36,44,40,32,35,21,25,34,16,23,18,14,12,7
State of Sergipe,100,0,0,0,95,0,0,90,47,100,92,0,0,78,0,51,31,14,12,32,47,36,0,0,7,4,7,7,30,0,21,0,77,18,0,0,55,5,93,13,24,9,0,84,54,38,70,72,27,34,23,13,20,12,22,25,50,50,36,41,40,54,23,27,27,36,16,48,32,21,27,31
State of São Paulo,23,7,35,94,72,9,44,68,33,40,52,43,87,54,76,24,21,14,15,14,10,11,5,6,7,4,4,2,5,4,5,9,16,7,7,6,13,2,31,3,22,5,16,21,21,35,32,41,48,24,28,14,18,17,35,56,55,46,48,50,44,38,45,38,30,36,26,33,26,22,20,17
State of Tocantins,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,11,12,0,12,0,13,0,0,6,0,9,0,0,30,29,0,0,30,15,0,0,0,0,38,0,15,25,86,74,86,42,23,58,69,77,70,92,87,100,100,100,100,65,65,50,62,49,50,48,56,50,59,73
