CITY,4/1/2015,11/1/2015,18/1/2015,25/1/2015,1/2/2015,8/2/2015,15/2/2015,22/2/2015,1/3/2015,8/3/2015,15/3/2015,22/3/2015,29/3/2015,5/4/2015,12/4/2015,19/4/2015,26/4/2015,3/5/2015,10/5/2015,17/5/2015,24/5/2015,31/5/2015,7/6/2015,14/6/2015,21/6/2015,28/6/2015,5/7/2015,12/7/2015,19/7/2015,26/7/2015,2/8/2015,9/8/2015,16/8/2015,23/8/2015,30/8/2015,6/9/2015,13/9/2015,20/9/2015,27/9/2015,4/10/2015,11/10/2015,18/10/2015,25/10/2015,1/11/2015,8/11/2015,15/11/2015,22/11/2015,29/11/2015,6/12/2015,13/12/2015,20/12/2015,27/12/2015,3/1/2016,10/1/2016,17/1/2016,24/1/2016,31/1/2016,7/2/2016,14/2/2016,21/2/2016,28/2/2016,6/3/2016,13/3/2016,20/3/2016,27/3/2016,3/4/2016,10/4/2016,17/4/2016,24/4/2016,1/5/2016,8/5/2016,15/5/2016
Federal District,0,25,0,15,45,4,0,0,0,0,0,13,14,38,0,0,23,10,7,13,5,2,2,10,3,2,5,2,4,1,1,3,0,4,0,2,7,0,1,0,2,5,0,0,11,36,45,46,61,46,22,23,27,29,38,69,86,68,48,44,64,66,52,28,42,41,41,38,31,30,51,46
State of Acre,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,100,0,0,0,0,23,38,17,0,32,12,74,27,49,89,22,39,47,59,92,50,34,87,12,24,59,17,54,41,59
State of Alagoas,83,73,0,0,0,0,83,25,0,0,70,79,0,59,81,13,0,8,11,20,25,32,55,45,38,91,100,100,100,100,100,100,100,87,7,66,34,33,19,13,18,17,69,39,48,41,79,55,54,43,31,20,23,28,20,31,41,53,60,58,53,85,100,51,81,99,100,94,88,61,100,100
State of Amapá,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,32,0,0,14,0,0,0,0,37,0,0,0,0,37,0,0,0,0,0,0,0,38,30,13,45,59,0,17,27,47,28,26,59,31,41,29,25,23,24,40,14,100,22,42,14,52,19,37
State of Amazonas,43,0,0,0,0,12,35,47,0,0,62,0,0,0,0,0,16,8,5,0,0,10,0,6,0,0,3,2,4,0,0,0,6,13,0,13,0,0,0,7,0,0,18,0,4,29,45,31,68,40,18,16,22,8,11,56,54,55,68,98,59,74,70,43,78,53,73,49,60,69,81,71
State of Bahia,57,87,49,62,49,17,32,17,33,18,46,26,15,59,53,18,83,100,78,75,100,75,100,100,100,100,75,40,72,50,35,25,27,73,8,28,20,25,11,19,16,11,34,26,9,45,43,34,40,39,22,18,21,27,23,39,52,44,60,60,80,84,67,39,89,76,51,47,52,50,56,47
State of Ceará,19,100,45,11,0,6,27,6,27,26,0,46,20,56,19,6,29,28,31,44,62,46,61,61,70,55,33,23,17,15,27,19,35,69,5,19,8,12,4,14,8,4,31,13,10,34,48,34,43,32,20,16,17,15,23,47,59,57,51,47,56,73,58,23,45,48,55,50,53,52,41,65
State of Espírito Santo,41,70,0,44,33,0,36,0,73,0,62,35,38,0,36,6,23,10,2,10,4,10,3,3,10,3,0,3,2,4,2,2,3,6,1,7,0,3,0,6,0,7,0,35,14,42,70,100,96,62,22,22,31,32,25,34,52,53,61,45,60,64,56,22,61,34,37,25,30,47,32,34
State of Goiás,22,19,25,36,18,3,10,13,30,19,35,10,11,15,42,11,14,19,10,10,8,6,7,5,12,6,6,5,7,1,2,2,6,28,1,3,5,7,1,3,5,0,19,8,5,33,51,50,56,50,26,16,23,34,39,50,80,58,66,63,68,67,80,38,80,67,58,46,39,50,47,34
State of Maranhão,76,66,0,0,65,0,0,0,36,70,0,0,0,0,0,0,33,61,100,100,82,100,86,34,36,25,15,7,3,14,7,12,10,10,4,0,11,0,7,0,0,0,15,11,0,59,43,37,32,25,17,15,20,28,17,46,36,44,58,51,87,94,83,52,97,89,78,100,100,100,85,72
State of Mato Grosso,0,0,0,34,0,0,0,18,0,79,0,0,32,43,0,0,25,6,19,10,14,20,35,23,4,0,6,9,12,3,0,13,24,67,2,21,15,24,6,15,10,10,68,71,7,31,100,82,100,100,100,100,100,100,100,100,100,87,77,58,63,73,72,31,45,33,46,32,22,24,30,26
