CITY,22/11/2015,29/11/2015,6/12/2015,13/12/2015,20/12/2015,27/12/2015,3/1/2016,10/1/2016,17/1/2016,24/1/2016,31/1/2016,7/2/2016,14/2/2016,21/2/2016,28/2/2016,6/3/2016,13/3/2016,20/3/2016,27/3/2016,3/4/2016,10/4/2016,17/4/2016,24/4/2016,1/5/2016,8/5/2016,15/5/2016,22/5/2016,29/5/2016,5/6/2016,12/6/2016,19/6/2016,26/6/2016,3/7/2016,10/7/2016,17/7/2016,24/7/2016,31/7/2016,7/8/2016,14/8/2016,21/8/2016,28/8/2016,4/9/2016,11/9/2016,18/9/2016,25/9/2016,2/10/2016,9/10/2016,16/10/2016,23/10/2016,30/10/2016,6/11/2016,13/11/2016,20/11/2016,27/11/2016,4/12/2016,11/12/2016,18/12/2016,25/12/2016,1/1/2017,8/1/2017,15/1/2017,22/1/2017,29/1/2017,5/2/2017,12/2/2017,19/2/2017,26/2/2017,5/3/2017,12/3/2017,19/3/2017,26/3/2017,2/4/2017,9/4/2017,16/4/2017,23/4/2017,30/4/2017,7/5/2017,14/5/2017,21/5/2017,28/5/2017,4/6/2017,11/6/2017,18/6/2017,25/6/2017,2/7/2017,9/7/2017,16/7/2017,23/7/2017,30/7/2017,6/8/2017,13/8/2017,20/8/2017,27/8/2017,3/9/2017,10/9/2017,17/9/2017,24/9/2017,1/10/2017,8/10/2017,15/10/2017,22/10/2017,29/10/2017,5/11/2017,12/11/2017,19/11/2017,26/11/2017,3/12/2017,10/12/2017,17/12/2017,24/12/2017,31/12/2017,7/1/2018,14/1/2018,21/1/2018,28/1/2018,4/2/2018,11/2/2018,18/2/2018,25/2/2018,4/3/2018
Aguascalientes,0,11,13,0,0,0,0,0,26,67,58,34,30,20,14,12,0,26,46,38,10,9,0,8,7,13,0,32,5,5,5,0,0,0,3,0,0,5,9,10,10,10,7,7,7,7,7,0,4,0,6,8,8,0,0,0,0,0,0,0,0,0,33,0,26,0,0,0,24,0,0,0,0,0,63,13,32,0,0,0,0,17,0,0,0,0,0,10,0,0,0,18,15,0,0,0,0,0,0,0,0,5,6,3,0,6,0,0,0,0,0,0,0,0,0,14,0,0,0,0
Baja California,20,0,0,0,0,7,0,0,16,39,51,25,38,9,25,18,20,4,42,40,18,13,7,10,2,8,20,9,1,9,7,1,0,1,3,3,5,6,9,3,4,6,4,3,3,2,4,3,1,2,5,12,2,6,0,0,0,0,6,7,5,0,19,6,7,14,12,5,13,19,12,8,0,6,0,4,9,4,4,0,13,0,21,16,0,17,4,3,10,0,0,5,2,4,3,4,6,5,0,2,2,0,2,1,2,0,5,0,0,7,0,0,10,0,5,4,0,0,0,0
Baja California Sur,0,0,0,0,0,0,0,21,21,56,77,51,41,20,16,59,11,34,54,21,34,15,86,12,12,10,14,18,0,33,8,10,7,11,16,7,15,7,14,5,11,0,11,22,6,23,21,23,26,29,27,39,47,17,40,18,100,0,18,39,59,0,0,37,79,50,100,55,0,100,30,0,100,33,0,59,100,0,48,71,74,0,56,42,0,31,81,0,40,0,0,29,13,23,17,44,0,0,6,0,11,0,9,5,0,29,0,0,100,0,67,25,0,0,100,0,53,0,0,0
Campeche,0,79,0,0,0,0,0,0,0,37,64,25,26,34,0,49,59,16,39,85,69,42,30,0,0,14,60,0,11,0,11,0,9,31,22,100,84,78,68,43,100,100,87,100,73,45,56,15,62,21,35,36,34,23,0,49,0,68,0,0,0,100,0,48,0,0,0,0,0,0,81,15,0,47,0,28,68,0,0,0,0,0,70,56,0,81,83,0,53,0,35,0,0,0,0,0,0,0,0,0,0,0,12,6,0,0,0,0,0,0,0,0,0,0,30,0,0,100,43,100
Chiapas,100,100,100,100,100,100,100,100,73,93,90,59,64,48,93,74,100,68,71,88,100,100,100,100,100,100,100,100,100,100,100,48,66,51,66,67,49,24,22,26,23,17,7,19,9,19,11,14,3,15,8,42,22,22,8,0,0,11,9,0,13,0,0,0,100,0,28,12,16,22,52,10,100,15,38,0,22,0,30,29,16,0,25,19,41,14,0,7,9,35,0,12,10,0,8,9,13,6,0,0,5,0,12,2,4,4,22,0,0,0,0,12,23,0,0,19,34,0,0,71
Chihuahua,19,0,0,0,0,0,0,0,3,37,57,30,31,19,24,15,32,11,27,27,26,11,11,12,6,5,15,7,0,7,2,3,2,7,0,6,10,4,4,5,3,9,13,6,0,0,3,6,0,4,0,0,3,18,5,0,0,0,0,0,0,0,13,0,30,0,9,0,19,0,0,0,0,9,22,0,0,10,6,0,0,0,14,0,0,8,0,0,5,13,6,0,3,0,0,0,4,0,1,0,0,2,0,0,0,2,0,0,0,0,18,0,14,0,0,5,0,0,9,42
Coahuila,0,12,7,0,33,0,0,0,15,38,52,41,31,27,19,26,19,7,24,6,36,14,19,11,7,9,4,8,14,3,3,3,4,3,0,9,7,6,6,6,3,5,5,2,7,17,5,5,6,9,11,4,0,0,6,0,11,0,0,0,0,0,0,0,13,0,0,0,0,16,10,0,0,0,0,0,16,0,0,23,0,0,0,0,0,0,0,0,0,8,0,0,15,59,34,67,67,68,23,11,23,21,9,13,9,9,0,6,0,0,0,8,15,43,0,0,0,0,0,0
Colima,0,0,82,0,0,0,0,0,0,60,43,65,18,35,80,100,18,100,96,73,28,0,38,0,0,0,25,16,53,29,0,27,12,0,0,12,13,11,55,42,58,69,100,89,67,100,100,100,41,100,59,43,0,55,0,31,61,41,0,0,100,0,0,0,0,0,0,0,0,0,100,37,0,0,0,32,0,34,0,0,60,0,0,70,0,52,0,0,0,0,41,46,19,33,0,0,0,22,0,0,0,14,0,7,0,13,0,0,0,0,0,38,0,0,0,0,0,0,0,0
Durango,26,0,0,0,0,0,0,0,28,44,60,38,13,22,41,70,14,8,19,57,12,20,47,18,9,7,21,6,0,19,0,8,0,0,0,0,11,0,5,0,4,16,4,0,0,4,8,4,5,0,7,21,10,13,0,0,0,0,0,0,0,0,41,0,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,76,0,0,0,0,0,0,23,0,0,0,0,0,0,4,6,8,0,7,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0
Guanajuato,30,7,0,0,0,0,3,0,24,43,50,16,26,16,35,20,12,13,30,16,40,27,8,9,4,7,6,4,6,2,8,5,2,0,2,4,5,5,4,8,8,4,6,5,3,5,6,2,5,1,0,0,2,3,7,7,7,4,7,0,0,14,19,7,7,5,0,5,0,0,12,4,20,0,16,0,0,0,0,0,0,5,0,16,17,0,7,3,7,19,14,16,15,27,26,16,14,15,5,3,2,6,7,3,0,5,10,0,13,0,0,0,10,0,0,0,0,15,0,31
