Searches,Cases
61,0
0,0
10,0
0,0
0,0
0,0
15,0
44,0
52,0
69,1
100,1
100,1
50,2
37,2
90,0
66,2
100,0
80,0
33,2
34,2
43,1
40,1
21,1
27,7
9,2
60,1
58,12
44,0
71,5
65,60
100,36
100,33
100,55
100,71
100,51
99,73
100,33
100,105
48,54
49,35
39,19
37,5
26,23
24,10
21,44
6,15
21,1
27,2
41,1
56,9
28,5
62,2
21,5
47,3
9,2
42,3
19,0
61,3
56,0
29,1
33,1
28,1
65,1
21,0
35,1
53,1
37,0
26,0
43,1
19,1
27,2
100,0
27,0
25,0
15,0
35,0
0,0
0,0
25,1
0,0
30,2
100,0
54,0
18,0
66,1
0,0
23,0
0,0
20,1
0,0
30,0
26,2
14,0
0,0
9,1
12,1
12,0
3,0
3,1
4,1
0,0
2,0
9,0
0,0
8,0
0,3
0,0
29,0
14,0
0,0
18,0
0,0
0,0
56,0
59,1
0,0
33,0
64,0
0,0
0,0
0,0
0,0
