Date,Searches,Observed,GRU-Prediction,GRUError,Naive-Prediction,NaiveError
27/02/2016,0.48,2.0,-0.04902950821084436,-2.0490295082108445,0.0,-2.0
05/03/2016,0.46,0.0,0.06606443227779586,0.06606443227779586,1.0,1.0
12/03/2016,0.82,2.0,-0.04481385932771023,-2.0448138593277103,1.0,-1.0
19/03/2016,0.27,0.0,-0.05934567605837248,-0.05934567605837248,1.0,1.0
26/03/2016,0.38,0.0,-0.05816321668851655,-0.05816321668851655,2.0,2.0
02/04/2016,0.18,2.0,-0.04376142787531484,-2.0437614278753147,2.0,0.0
09/04/2016,0.33,2.0,-0.019572121982132085,-2.019572121982132,0.0,-2.0
16/04/2016,0.23,1.0,-0.07898834842770826,-1.0789883484277083,2.0,1.0
23/04/2016,0.07,1.0,0.04984050860404503,-0.950159491395955,0.0,-1.0
30/04/2016,0.31,1.0,0.036581346491058354,-0.9634186535089416,0.0,-1.0
07/05/2016,0.3,6.999999999999999,-0.027372349167340434,-7.027372349167339,2.0,-4.999999999999999
14/05/2016,0.25,2.0,0.07862937726445962,-1.9213706227355405,2.0,0.0
21/05/2016,0.72,1.0,0.1311916533367755,-0.8688083466632245,1.0,0.0
28/05/2016,0.6,12.0,-0.02892690918015316,-12.028926909180154,1.0,-11.0
04/06/2016,0.42,0.0,0.35906817003104835,0.35906817003104835,1.0,1.0
11/06/2016,0.72,5.0,0.17277370275141204,-4.827226297248588,6.999999999999999,1.9999999999999991
18/06/2016,0.69,60.0,0.003885783045203425,-59.996114216954794,2.0,-58.0
25/06/2016,0.9,36.0,0.450221047220286,-35.54977895277971,1.0,-35.0
02/07/2016,1.0,33.0,0.3397332177857496,-32.66026678221425,12.0,-21.0
09/07/2016,1.0,55.0,-0.005968319253297522,-55.0059683192533,0.0,-55.0
16/07/2016,0.85,70.99999999999999,-0.10723489389245865,-71.10723489389244,5.0,-65.99999999999999
23/07/2016,1.0,51.0,0.005859927007285878,-50.994140072992714,60.0,9.0
30/07/2016,0.97,73.0,15.857932746975422,-57.14206725302458,36.0,-37.0
06/08/2016,0.89,33.0,65.10245682008028,32.10245682008028,33.0,0.0
13/08/2016,0.76,104.99999999999999,40.71435046566606,-64.28564953433393,55.0,-49.999999999999986
20/08/2016,0.31,54.0,42.42629035986185,-11.573709640138148,70.99999999999999,16.999999999999986
27/08/2016,0.52,35.0,74.6811860838294,39.6811860838294,51.0,16.0
03/09/2016,0.62,19.0,61.844814803757664,42.844814803757664,73.0,54.0
10/09/2016,0.29,5.0,47.3634569999373,42.3634569999373,33.0,28.0
17/09/2016,0.35,22.999999999999996,34.883832703183295,11.883832703183298,104.99999999999999,81.99999999999999
24/09/2016,0.39,10.0,26.405259859543442,16.405259859543442,54.0,44.0
01/10/2016,0.17,44.0,20.695829727301003,-23.304170272698997,35.0,-9.0
08/10/2016,0.2,15.0,34.43020634935379,19.43020634935379,19.0,4.0
15/10/2016,0.13,1.0,16.623840386348963,15.623840386348963,5.0,4.0
