Date,Searches,Observed,LSTM-Prediction,LSTMError,Naive-Prediction,NaiveError
31/01/2016,0.44,636.0,171.60043405174255,-464.3995659482574,412.99999999999994,-223.00000000000006
07/02/2016,0.62,854.9999999999999,368.07570504078865,-486.92429495921124,636.0,-218.9999999999999
14/02/2016,0.51,881.0,590.0798223007965,-290.92017769920346,854.9999999999999,-26.000000000000114
21/02/2016,0.58,980.0,730.6984725226403,-249.30152747735974,881.0,-99.0
28/02/2016,0.3,1243.0,830.9440024648476,-412.0559975351524,980.0,-263.0
06/03/2016,0.26,1257.0,994.2009228916359,-262.79907710836414,1243.0,-14.0
13/03/2016,0.77,1044.0,1090.6662656863214,46.66626568632137,1257.0,213.0
20/03/2016,0.3,952.0,1048.664479580021,96.66447958002095,1044.0,92.0
27/03/2016,0.46,1212.0,972.8405776853753,-239.15942231462475,952.0,-260.0
03/04/2016,0.56,1525.0,1032.4104667843246,-492.5895332156754,1212.0,-313.0
10/04/2016,0.7,1531.0,1194.8567060148812,-336.1432939851188,1525.0,-6.0
17/04/2016,0.5,1472.0,1319.08697785038,-152.91302214962002,1531.0,59.0
24/04/2016,0.57,1247.0,1360.5299192505836,113.52991925058359,1472.0,225.0
01/05/2016,0.28,1077.0,1279.1979960643578,202.19799606435777,1247.0,170.0
08/05/2016,0.47,1164.0,1136.996524464264,-27.003475535736015,1077.0,-87.0
15/05/2016,0.43,1260.0,1093.018851430645,-166.9811485693549,1164.0,-96.0
22/05/2016,0.23,786.0,1114.55412708498,328.5541270849801,1260.0,474.0
29/05/2016,0.22,949.0,933.663988710022,-15.336011289978046,786.0,-163.0
05/06/2016,0.36,858.9999999999999,891.7184302477455,32.71843024774557,949.0,90.00000000000011
12/06/2016,0.27,809.0,838.6499174847984,29.64991748479838,858.9999999999999,49.999999999999886
19/06/2016,0.16,730.0,774.3024385074806,44.30243850748059,809.0,79.0
26/06/2016,0.31,519.0,724.3194947043801,205.31949470438008,730.0,211.0
03/07/2016,0.04,506.99999999999994,590.9118858405304,83.91188584053049,519.0,12.000000000000057
10/07/2016,0.31,301.0,511.78845956124303,210.78845956124303,506.99999999999994,205.99999999999994
17/07/2016,0.57,268.0,383.78723986245154,115.78723986245154,301.0,33.0
24/07/2016,0.47,319.0,293.1781293833113,-25.821870616688727,268.0,-51.0
31/07/2016,0.16,198.0,279.02077415878773,81.02077415878773,319.0,121.0
07/08/2016,0.39,216.0,219.14191899555206,3.141918995552061,198.0,-18.0
14/08/2016,0.22,144.0,197.42027377933502,53.42027377933502,216.0,72.0
21/08/2016,0.33,110.0,160.60553183083059,50.605531830830586,144.0,34.0
28/08/2016,0.28,80.0,121.93302280421972,41.93302280421972,110.0,30.0
04/09/2016,0.31,188.0,90.86460418594956,-97.13539581405044,80.0,-108.0
11/09/2016,0.43,25.0,119.94755561908723,94.94755561908723,188.0,163.0
18/09/2016,0.33,106.0,73.86582808733822,-32.134171912661785,25.0,-81.0
