Date,Searches,Observed,LSTM-Prediction,LSTMError,Naive-Prediction,NaiveError
30/01/2016,0.68,1.0,0.4184645914307795,-0.5815354085692205,0.0,-1.0
06/02/2016,0.36,0.0,1.8241758604595437,1.8241758604595437,1.0,1.0
13/02/2016,0.59,0.0,0.4474485353458207,0.4474485353458207,0.0,0.0
20/02/2016,0.27,0.0,0.07226778839442705,0.07226778839442705,0.0,0.0
27/02/2016,0.3,0.0,0.06951167369116447,0.06951167369116447,0.0,0.0
05/03/2016,0.37,0.0,0.06951167369116447,0.06951167369116447,0.0,0.0
12/03/2016,0.67,0.0,0.06951167369116447,0.06951167369116447,0.0,0.0
19/03/2016,0.2,1.0,0.322095873504621,-0.677904126495379,0.0,-1.0
26/03/2016,0.38,0.0,0.11228251401361776,0.11228251401361776,1.0,1.0
02/04/2016,0.21,2.0,0.06951167369116447,-1.9304883263088355,0.0,-2.0
09/04/2016,0.42,0.0,0.06951167369116447,0.06951167369116447,2.0,2.0
16/04/2016,0.19,1.0,0.4180141787014203,-0.5819858212985797,0.0,-1.0
23/04/2016,0.16,0.0,0.06951167369116447,0.06951167369116447,1.0,1.0
30/04/2016,0.17,0.0,0.06951167369116447,0.06951167369116447,0.0,0.0
07/05/2016,0.15,2.0,0.06951167369116447,-1.9304883263088355,0.0,-2.0
14/05/2016,0.12,1.0,0.09471030717198155,-0.9052896928280184,2.0,1.0
21/05/2016,0.11,0.0,0.1532262135260622,0.1532262135260622,1.0,1.0
28/05/2016,0.17,0.0,0.08105610175776529,0.08105610175776529,0.0,0.0
04/06/2016,0.16,0.0,0.1142342710268451,0.1142342710268451,0.0,0.0
11/06/2016,0.08,3.0,0.06951167369116447,-2.9304883263088355,0.0,-3.0
18/06/2016,0.08,1.0,0.22147675612993772,-0.7785232438700622,3.0,2.0
25/06/2016,0.09,1.0,0.21034161130690482,-0.7896583886930952,1.0,0.0
02/07/2016,0.09,9.0,0.3353789880152326,-8.664621011984767,1.0,-8.0
09/07/2016,0.1,15.000000000000002,2.3304205776473506,-12.669579422352651,9.0,-6.000000000000002
16/07/2016,0.15,18.0,5.804934668914228,-12.195065331085772,15.000000000000002,-2.9999999999999982
23/07/2016,0.25,43.0,10.254394406613708,-32.745605593386294,18.0,-25.0
30/07/2016,0.61,74.0,21.660967769880592,-52.33903223011941,43.0,-31.0
06/08/2016,0.69,42.0,41.19051677280962,-0.8094832271903769,74.0,32.0
13/08/2016,0.96,91.0,48.82734313705266,-42.17265686294734,42.0,-49.0
20/08/2016,1.0,85.00000000000001,68.35850959124565,-16.641490408754365,91.0,5.999999999999986
27/08/2016,1.0,114.0,80.28173653874696,-33.718263461253045,85.00000000000001,-28.999999999999986
03/09/2016,0.98,173.0,91.18311145094633,-81.81688854905367,114.0,-59.0
10/09/2016,0.88,36.0,119.59005259585976,83.59005259585976,173.0,137.0
17/09/2016,0.83,97.0,103.33160656596422,6.331606565964222,36.0,-61.0
24/09/2016,0.54,195.0,100.47396427006721,-94.52603572993279,97.0,-98.0
01/10/2016,0.34,102.0,118.41429850127697,16.414298501276974,195.0,93.0
08/10/2016,0.54,103.00000000000001,106.67195047584175,3.67195047584174,102.0,-1.0000000000000142
15/10/2016,0.28,182.0,110.34602607880235,-71.65397392119765,103.00000000000001,-78.99999999999999
22/10/2016,0.29,123.0,123.39133868567347,0.39133868567347463,182.0,59.0
29/10/2016,0.32,61.0,116.43609516257644,55.436095162576436,123.0,62.0
05/11/2016,0.32,135.0,100.69447921010256,-34.30552078989744,61.0,-74.0
12/11/2016,0.23,28.0,104.98208381537795,76.98208381537795,135.0,107.0
19/11/2016,0.24,11.0,79.29746062832474,68.29746062832474,28.0,17.0
26/11/2016,0.19,9.0,51.40655171491802,42.40655171491802,11.0,2.0
03/12/2016,0.22,8.0,37.22437879296094,29.22437879296094,9.0,1.0
10/12/2016,0.44,16.0,11.944294915086031,-4.055705084913969,8.0,-8.0
17/12/2016,0.07,1.0,10.63134275342375,9.63134275342375,16.0,15.0
24/12/2016,0.11,2.0,7.008409678040818,5.008409678040818,1.0,-1.0
31/12/2016,0.14,70.0,4.412853116492182,-65.58714688350781,2.0,-68.0
07/01/2017,0.17,1.0,20.901708584626018,19.901708584626018,70.0,69.0
14/01/2017,0.04,0.0,18.825789671919495,18.825789671919495,1.0,1.0
21/01/2017,0.32,0.0,14.411765172561259,14.411765172561259,0.0,0.0
28/01/2017,0.19,0.0,13.557602215722204,13.557602215722204,0.0,0.0
04/02/2017,0.18,1.0,0.06951167369116447,-0.9304883263088355,0.0,-1.0
