State,Model,Error
cordoba,LSTM,-39.88912222657144
cordoba,LSTM,-99.70040737548828
cordoba,LSTM,-64.54406299236655
cordoba,LSTM,-83.14493797829628
cordoba,LSTM,-56.17984552654029
cordoba,LSTM,-16.305789256296165
cordoba,LSTM,-13.038988575158115
cordoba,LSTM,-46.426786352992046
cordoba,LSTM,69.18998001854897
cordoba,LSTM,-659.9897521092605
cordoba,LSTM,-301.35620194408415
cordoba,LSTM,-224.21830989967341
cordoba,LSTM,-69.67013413565634
cordoba,LSTM,85.33706570350648
cordoba,LSTM,89.83162616850375
cordoba,LSTM,78.4452807826996
cordoba,LSTM,93.70169688446761
cordoba,LSTM,51.819444931556
cordoba,LSTM,18.226990632330185
cordoba,LSTM,6.4520974427032485
cordoba,LSTM,0.9358633761602616
cordoba,LSTM,5.547356449914575
cordoba,LSTM,6.716857805965542
cordoba,LSTM,-1.836818773564696
cordoba,LSTM,-1.0150561973935377
cordoba,LSTM,-7.282487915541531
cordoba,LSTM,-1.28536095486462
cordoba,LSTM,3.2340835583919287
cordoba,LSTM,6.837381635323613
cordoba,LSTM,10.698321385677867
cordoba,LSTM,3.2424587423658364
cordoba,LSTM,3.4148783460788423
cordoba,LSTM,3.0148463807539643
cordoba,LSTM,-0.3523579195505375
cordoba,LSTM,5.171710622608139
cordoba,LSTM,6.223762289671191
cordoba,LSTM,3.6366286393605174
cordoba,LSTM,7.2426825456641994
cordoba,LSTM,6.33783958890833
cordoba,LSTM,6.9574198461620895
cordoba,LSTM,5.792943702395745
cordoba,LSTM,0.239167089057565
cordoba,LSTM,-0.539506444416344
cordoba,LSTM,4.759194854039028
cordoba,LSTM,7.3616180681028975
cordoba,LSTM,7.306007964871712
cordoba,LSTM,7.576686760056317
cordoba,LSTM,6.262747298610695
cordoba,LSTM,6.579096206885168
cordoba,LSTM,5.07253725825388
cordoba,LSTM,5.0351668592434
cordoba,LSTM,-0.8444455783927438
cordoba,LSTM,5.2617034086542205
cordoba,LSTM,-128.55967215413514
cordoba,LSTM,9.575999285856485
cordoba,LSTM,8.669786853031518
cordoba,LSTM,18.24245298074484
cordoba,LSTM,35.82089928405762
cordoba,LSTM,7.378891184484661
cordoba,LSTM,7.1834627524063
cordoba,LSTM,6.495046882017553
cordoba,LSTM,5.889356206051708
cordoba,LSTM,4.889356220771261
cordoba,LSTM,4.906647679203338
cordoba,LSTM,5.952933828451037
cordoba,LSTM,5.017624216622301
cordoba,LSTM,6.1084591300714015
cordoba,LSTM,6.054957916812599
cordoba,LSTM,5.971087872749269
cordoba,LSTM,6.0083303869089475
cordoba,LSTM,4.889356220771261
cordoba,LSTM,5.906647664483786
cordoba,LSTM,5.935534865224064
cordoba,LSTM,4.971087887468824
cordoba,LSTM,6.025801189832985
cordoba,LSTM,5.935534865224064
cordoba,LSTM,4.971087887468824
cordoba,LSTM,6.025801189832985
cordoba,LSTM,5.935534865224064
cordoba,LSTM,-1.0289120879015323
cordoba,LSTM,6.1308670015382765
cordoba,LSTM,5.216114242598898
cordoba,LSTM,6.49308224462837
cordoba,LSTM,15.794715027872028
cordoba,LSTM,5.822546816287339
cordoba,LSTM,5.604207634862663
cordoba,LSTM,5.184761628283262
cordoba,LSTM,4.893189772974551
cordoba,LSTM,5.889356206051708
cordoba,LSTM,4.889356220771261
cordoba,LSTM,5.906647664483786
cordoba,LSTM,5.935534865224064
cordoba,LSTM,4.971087887468824
cordoba,LSTM,4.025801219272092
cordoba,LSTM,2.970399007330686
cordoba,LSTM,4.117231754574552
cordoba,LSTM,5.352287152633854
cordoba,LSTM,6.494451784385145
cordoba,LSTM,6.466547411840856
cordoba,LSTM,6.2116876797369125
cordoba,LSTM,7.008330372189394
cordoba,LSTM,6.0877703163200625
cordoba,LSTM,6.431029559912085
cordoba,LSTM,-13.134896608742777
cordoba,LSTM,25.73240986539305
cordoba,LSTM,6.520134730835855
cordoba,LSTM,5.721702159973569
cordoba,LSTM,6.845114083284438
cordoba,LSTM,4.305576206595898
cordoba,LSTM,7.023651079215519
cordoba,Naive,2.0
cordoba,Naive,-66.0
cordoba,Naive,25.0
cordoba,Naive,-32.0
cordoba,Naive,13.0
cordoba,Naive,20.0
cordoba,Naive,6.0
cordoba,Naive,-39.0
cordoba,Naive,123.0
cordoba,Naive,-721.0
cordoba,Naive,332.0
cordoba,Naive,32.0
cordoba,Naive,115.0
cordoba,Naive,67.0
cordoba,Naive,71.0
cordoba,Naive,20.0
cordoba,Naive,57.0
cordoba,Naive,-6.0
cordoba,Naive,2.0
cordoba,Naive,7.0
cordoba,Naive,8.0
cordoba,Naive,4.0
cordoba,Naive,3.0
cordoba,Naive,-6.0
cordoba,Naive,3.0
cordoba,Naive,-5.0
cordoba,Naive,6.0
cordoba,Naive,4.0
cordoba,Naive,4.0
cordoba,Naive,4.0
cordoba,Naive,-6.0
cordoba,Naive,1.0
cordoba,Naive,0.0
cordoba,Naive,-3.0
cordoba,Naive,5.0
cordoba,Naive,1.0
cordoba,Naive,-3.0
cordoba,Naive,3.0
cordoba,Naive,-1.0
cordoba,Naive,1.0
cordoba,Naive,0.0
cordoba,Naive,-5.0
cordoba,Naive,-1.0
cordoba,Naive,5.0
cordoba,Naive,2.0
cordoba,Naive,-1.0
cordoba,Naive,1.0
cordoba,Naive,-1.0
cordoba,Naive,0.0
cordoba,Naive,0.0
cordoba,Naive,0.0
cordoba,Naive,-6.0
cordoba,Naive,6.0
cordoba,Naive,-134.0
cordoba,Naive,135.0
cordoba,Naive,-7.0
cordoba,Naive,2.0
cordoba,Naive,5.0
cordoba,Naive,0.0
cordoba,Naive,0.0
cordoba,Naive,0.0
cordoba,Naive,0.0
cordoba,Naive,-1.0
cordoba,Naive,0.0
cordoba,Naive,1.0
cordoba,Naive,-1.0
cordoba,Naive,1.0
cordoba,Naive,0.0
cordoba,Naive,0.0
cordoba,Naive,0.0
cordoba,Naive,-1.0
cordoba,Naive,1.0
cordoba,Naive,0.0
cordoba,Naive,-1.0
cordoba,Naive,1.0
cordoba,Naive,0.0
cordoba,Naive,-1.0
cordoba,Naive,1.0
cordoba,Naive,0.0
cordoba,Naive,-7.0
cordoba,Naive,7.0
cordoba,Naive,-1.0
cordoba,Naive,1.0
cordoba,Naive,9.0
cordoba,Naive,-9.0
cordoba,Naive,0.0
cordoba,Naive,0.0
cordoba,Naive,0.0
cordoba,Naive,0.0
cordoba,Naive,-1.0
cordoba,Naive,1.0
cordoba,Naive,0.0
cordoba,Naive,-1.0
cordoba,Naive,-1.0
cordoba,Naive,-1.0
cordoba,Naive,1.0
cordoba,Naive,1.0
cordoba,Naive,1.0
cordoba,Naive,0.0
cordoba,Naive,0.0
cordoba,Naive,1.0
cordoba,Naive,-1.0
cordoba,Naive,0.0
cordoba,Naive,-20.0
cordoba,Naive,38.0
cordoba,Naive,-18.0
cordoba,Naive,-1.0
cordoba,Naive,1.0
cordoba,Naive,0.0
cordoba,Naive,1.0
santander,LSTM,4.521300484173745
santander,LSTM,4.826235299325735
santander,LSTM,-1.1028485335603362
santander,LSTM,11.835502300909162
santander,LSTM,1.3922451750606308
santander,LSTM,3.611952765695752
santander,LSTM,0.7483974607229236
santander,LSTM,-21.73983123981953
santander,LSTM,10.131174234843254
santander,LSTM,-167.9746228171885
santander,LSTM,-208.8286951311469
santander,LSTM,-233.68079994884727
santander,LSTM,-195.6970022662997
santander,LSTM,-116.73541902160643
santander,LSTM,-146.72788780317308
santander,LSTM,-185.38312918319698
santander,LSTM,-2.5041521149635457
santander,LSTM,-259.0974633232594
santander,LSTM,-275.6815988149643
santander,LSTM,-343.8381218527317
santander,LSTM,-257.61462425670624
santander,LSTM,-280.7764096890926
santander,LSTM,-205.20317533345226
santander,LSTM,-253.89409162297244
santander,LSTM,-262.1644491692066
santander,LSTM,-260.2630327365398
santander,LSTM,-110.70876981945035
santander,LSTM,-163.36668700256348
santander,LSTM,-192.97055402183534
santander,LSTM,-10.642125601053237
santander,LSTM,-33.10888980364797
