Date,Searches,Observed,LSTM-Prediction,LSTMError,Naive-Prediction,NaiveError
22/02/2016,0.58,371.0,84.69674286711216,-286.30325713288784,306.0,-65.0
29/02/2016,0.92,371.0,100.05456627127647,-270.9454337287235,306.0,-65.0
07/03/2016,0.68,371.0,60.02820966380596,-310.97179033619403,306.0,-65.0
14/03/2016,0.88,250.0,72.83309988836288,-177.16690011163712,371.0,121.0
21/03/2016,0.84,251.0,59.31956135644913,-191.68043864355087,371.0,120.0
28/03/2016,0.62,143.0,90.36703641752243,-52.63296358247757,371.0,228.0
04/04/2016,0.52,143.0,108.79425619887829,-34.20574380112171,250.0,107.0
11/04/2016,0.4,144.0,87.87929198032379,-56.120708019676215,251.0,107.0
18/04/2016,0.51,64.0,43.562516747817995,-20.437483252182005,143.0,79.0
25/04/2016,0.37,64.0,-31.861962817214728,-95.86196281721473,143.0,79.0
02/05/2016,0.42,64.0,-12.710470774251222,-76.71047077425122,144.0,80.0
09/05/2016,0.39,67.0,-10.805657416613101,-77.8056574166131,64.0,-3.0
16/05/2016,0.6,67.0,5.717756360682249,-61.28224363931775,64.0,-3.0
23/05/2016,0.39,67.0,10.575823713601828,-56.42417628639817,64.0,-3.0
30/05/2016,0.31,67.0,12.91545226659894,-54.08454773340106,67.0,0.0
06/06/2016,0.28,67.0,22.88219858971238,-44.11780141028762,67.0,0.0
13/06/2016,0.29,67.0,48.671883910059925,-18.328116089940075,67.0,0.0
20/06/2016,0.34,69.0,25.03191107193589,-43.968088928064105,67.0,-2.0
27/06/2016,0.26,32.0,34.11080487575412,2.11080487575412,67.0,35.0
04/07/2016,0.31,32.0,26.26345567645669,-5.73654432354331,67.0,35.0
11/07/2016,0.19,32.0,14.2013091870296,-17.7986908129704,69.0,37.0
18/07/2016,0.46,32.0,8.833939823344945,-23.166060176655055,32.0,0.0
25/07/2016,0.5,32.0,14.504981408590078,-17.495018591409924,32.0,0.0
01/08/2016,0.49,33.0,7.887306726726294,-25.112693273273706,32.0,-1.0
08/08/2016,0.4,39.0,1.9009983799803256,-37.09900162001968,32.0,-7.0
15/08/2016,0.12,80.0,7.9511988754212855,-72.04880112457872,32.0,-48.0
22/08/2016,0.19,18.0,10.039687199860811,-7.960312800139189,33.0,15.0
29/08/2016,0.16,19.0,12.12416107068658,-6.875838929313421,39.0,20.0
05/09/2016,0.53,13.0,18.51713606195569,5.517136061955689,80.0,67.0
12/09/2016,0.26,13.0,18.246023303307293,5.246023303307293,18.0,5.0
19/09/2016,0.21,13.0,15.549641976867914,2.549641976867914,19.0,6.0
26/09/2016,0.07,1.0,-5.314410990825891,-6.314410990825891,13.0,12.0
03/10/2016,0.08,13.0,-4.098684829612971,-17.09868482961297,13.0,0.0
10/10/2016,0.17,14.0,2.671943028384447,-11.328056971615553,13.0,-1.0
17/10/2016,0.36,10.0,9.636646030837298,-0.36335396916270213,1.0,-9.0
24/10/2016,0.74,10.0,10.048159941090345,0.04815994109034527,13.0,3.0
31/10/2016,0.55,8.0,-0.47679491029143334,-8.476794910291433,14.0,6.0
07/11/2016,0.04,8.0,7.204724939914942,-0.795275060085058,10.0,2.0
14/11/2016,0.46,4.0,4.917740585145951,0.9177405851459506,10.0,6.0
21/11/2016,0.21,5.0,8.851787934504747,3.851787934504747,8.0,3.0
28/11/2016,0.13,8.0,14.979260428386926,6.979260428386926,8.0,0.0
05/12/2016,0.29,96.0,20.773089438325165,-75.22691056167483,4.0,-92.0
12/12/2016,0.45,29.0,28.54363540767789,-0.45636459232211024,5.0,-24.0
19/12/2016,0.4,55.0,11.972818662897348,-43.027181337102654,8.0,-47.0
26/12/2016,0.74,7.0,7.412304606589079,0.4123046065890792,96.0,89.0
02/01/2017,0.35,1.0,14.314352211273908,13.314352211273908,29.0,28.0
09/01/2017,1.0,1.0,25.436597917596103,24.436597917596103,55.0,54.0
16/01/2017,0.57,1.0,12.42376398274541,11.42376398274541,7.0,6.0
23/01/2017,0.59,2.0,12.049337639604808,10.049337639604808,1.0,-1.0
30/01/2017,0.57,29.0,8.710125097478628,-20.289874902521372,1.0,-28.0
06/02/2017,0.46,29.0,25.609478741730452,-3.3905212582695476,1.0,-28.0
13/02/2017,0.41,30.999999999999996,32.535273958972695,1.5352739589726987,2.0,-28.999999999999996
20/02/2017,1.0,78.0,38.35021251195073,-39.64978748804927,29.0,-49.0
27/02/2017,0.59,78.0,48.11753025464058,-29.882469745359423,29.0,-49.0
06/03/2017,0.37,80.0,44.43469544387341,-35.56530455612659,30.999999999999996,-49.0
13/03/2017,0.27,36.0,36.599576614125965,0.5995766141259651,78.0,42.0
20/03/2017,0.16,36.0,29.64557050981164,-6.354429490188359,78.0,42.0
27/03/2017,0.08,47.0,30.956840667032004,-16.043159332967996,80.0,33.0
03/04/2017,0.37,47.0,62.664832980737685,15.664832980737685,36.0,-11.0
10/04/2017,0.44,47.0,52.36418385493755,5.364183854937551,36.0,-11.0
17/04/2017,0.31,6.0,21.69747597895503,15.69747597895503,47.0,41.0
24/04/2017,0.18,6.0,3.0447087341916563,-2.9552912658083437,47.0,41.0
01/05/2017,0.14,6.0,4.140198269498348,-1.859801730501652,47.0,41.0
08/05/2017,0.09,6.0,3.0721790667772293,-2.9278209332227707,6.0,0.0
15/05/2017,0.21,13.0,5.953250193943977,-7.046749806056023,6.0,-7.0
22/05/2017,0.38,13.0,3.1996915781772137,-9.800308421822786,6.0,-7.0
29/05/2017,0.32,13.0,4.374973989318609,-8.625026010681392,6.0,-7.0
05/06/2017,0.19,13.0,6.69101700397253,-6.30898299602747,13.0,0.0
12/06/2017,0.03,13.0,5.315193933953047,-7.684806066046953,13.0,0.0
19/06/2017,0.0,18.0,9.510821584714652,-8.489178415285348,13.0,-5.0
26/06/2017,0.17,0.0,7.086695016771555,7.086695016771555,13.0,13.0
03/07/2017,0.44,0.0,9.001953434153796,9.001953434153796,13.0,13.0
10/07/2017,0.45,0.0,8.334591662782431,8.334591662782431,18.0,18.0
17/07/2017,0.67,0.0,2.771045176756382,2.771045176756382,0.0,0.0
24/07/2017,0.06,0.0,-1.108118856768608,-1.108118856768608,0.0,0.0
31/07/2017,0.05,0.0,-7.080905227149725,-7.080905227149725,0.0,0.0
07/08/2017,0.11,0.0,3.5651739181423188,3.5651739181423188,0.0,0.0
14/08/2017,0.25,0.0,20.93816077878356,20.93816077878356,0.0,0.0
21/08/2017,0.05,0.0,19.33294783975482,19.33294783975482,0.0,0.0
28/08/2017,0.25,0.0,20.947994943412542,20.947994943412542,0.0,0.0
04/09/2017,0.12,-1.0,14.770638499842882,15.770638499842882,0.0,1.0
11/09/2017,0.51,-1.0,2.3370852345585824,3.3370852345585824,0.0,1.0
18/09/2017,0.16,-1.0,0.8045713076806068,1.804571307680607,0.0,1.0
25/09/2017,0.59,1.0,6.162019236005545,5.162019236005545,-1.0,-2.0
02/10/2017,0.08,6.0,5.654799255530834,-0.3452007444691656,-1.0,-7.0
09/10/2017,0.22,6.0,8.907865612624883,2.9078656126248834,-1.0,-7.0
16/10/2017,0.11,-33.0,9.046985131212473,42.04698513121247,1.0,34.0
23/10/2017,0.18,-33.0,18.90840316267848,51.90840316267848,6.0,39.0
30/10/2017,0.17,0.0,17.3591232817018,17.3591232817018,6.0,6.0
06/11/2017,0.53,0.0,17.36282356068492,17.36282356068492,-33.0,-33.0
13/11/2017,0.26,-22.999999999999996,7.007173926926852,30.007173926926846,-33.0,-10.000000000000004
20/11/2017,0.11,0.0,16.730744099024534,16.730744099024534,0.0,0.0
27/11/2017,0.26,0.0,50.55207445438385,50.55207445438385,0.0,0.0
04/12/2017,0.0,123.99999999999999,33.601472943595645,-90.39852705640433,-22.999999999999996,-146.99999999999997
11/12/2017,0.24,-7.0,13.324487688099145,20.324487688099147,0.0,7.0
18/12/2017,0.26,0.0,5.730545262908936,5.730545262908936,0.0,0.0
25/12/2017,0.33,0.0,28.12697501776099,28.12697501776099,123.99999999999999,123.99999999999999
