Date,Searches,Observed,LSTM-Prediction,LSTMError,Naive-Prediction,NaiveError
14/02/2016,0.51,881.0,324.03788866649626,-556.9621113335038,412.99999999999994,-468.00000000000006
21/02/2016,0.58,980.0,660.1838593154621,-319.8161406845379,636.0,-344.0
28/02/2016,0.3,1243.0,894.360073598671,-348.63992640132903,854.9999999999999,-388.0000000000001
06/03/2016,0.26,1257.0,872.2702649042129,-384.7297350957871,881.0,-376.0
13/03/2016,0.77,1044.0,887.0952684057808,-156.90473159421924,980.0,-64.0
20/03/2016,0.3,952.0,1148.0072874564362,196.0072874564362,1243.0,291.0
27/03/2016,0.46,1212.0,1211.6319904274749,-0.3680095725251249,1257.0,45.0
03/04/2016,0.56,1525.0,914.3317103886795,-610.6682896113205,1044.0,-481.0
10/04/2016,0.7,1531.0,706.549535349617,-824.450464650383,952.0,-579.0
17/04/2016,0.5,1472.0,993.3414934719467,-478.6585065280533,1212.0,-260.0
24/04/2016,0.57,1247.0,1452.0336784209633,205.03367842096327,1525.0,278.0
01/05/2016,0.28,1077.0,1502.301984116974,425.3019841169739,1531.0,454.0
08/05/2016,0.47,1164.0,1327.5115331970023,163.51153319700234,1472.0,308.0
15/05/2016,0.43,1260.0,1020.3249550533295,-239.67504494667048,1247.0,-13.0
22/05/2016,0.23,786.0,807.122311939907,21.122311939907036,1077.0,291.0
29/05/2016,0.22,949.0,895.7367269488335,-53.26327305116649,1164.0,215.0
05/06/2016,0.36,858.9999999999999,1100.8820102688599,241.88201026885997,1260.0,401.0000000000001
12/06/2016,0.27,809.0,633.7461754524803,-175.25382454751968,786.0,-23.0
19/06/2016,0.16,730.0,657.9188707849503,-72.08112921504971,949.0,219.0
26/06/2016,0.31,519.0,666.1214633271122,147.12146332711222,858.9999999999999,339.9999999999999
03/07/2016,0.04,506.99999999999994,645.3462727887058,138.3462727887059,809.0,302.00000000000006
10/07/2016,0.31,301.0,535.6997711432075,234.6997711432075,730.0,429.0
17/07/2016,0.57,268.0,364.22323149332044,96.22323149332044,519.0,251.0
24/07/2016,0.47,319.0,325.50968464592455,6.509684645924551,506.99999999999994,187.99999999999994
31/07/2016,0.16,198.0,204.94520881987094,6.945208819870942,301.0,103.0
07/08/2016,0.39,216.0,154.60161395653964,-61.39838604346036,268.0,52.0
14/08/2016,0.22,144.0,194.05319262834072,50.053192628340724,319.0,175.0
21/08/2016,0.33,110.0,135.9197372483468,25.91973724834679,198.0,88.0
28/08/2016,0.28,80.0,125.13578768485546,45.13578768485546,216.0,136.0
04/09/2016,0.31,188.0,87.57704687421442,-100.42295312578558,144.0,-44.0
11/09/2016,0.43,25.0,57.94100878890157,32.94100878890157,110.0,85.0
18/09/2016,0.33,106.0,38.37287848909795,-67.62712151090204,80.0,-26.0
25/09/2016,0.3,108.0,137.27309440327406,29.273094403274058,188.0,80.0
02/10/2016,0.15,72.0,32.35534641950369,-39.64465358049631,25.0,-47.0
09/10/2016,0.34,34.0,46.70950389768481,12.709503897684812,106.0,72.0
16/10/2016,0.51,72.0,68.37520744772316,-3.624792552276844,108.0,36.0
23/10/2016,0.15,91.0,46.02750998200238,-44.97249001799762,72.0,-19.0
30/10/2016,0.08,46.0,13.698962986337543,-32.30103701366246,34.0,-12.0
06/11/2016,0.54,41.0,31.974619164583086,-9.025380835416914,72.0,31.0
13/11/2016,0.22,37.0,66.13590192753911,29.13590192753911,91.0,54.0
20/11/2016,0.1,-29.0,27.92568983661592,56.925689836615916,46.0,75.0
27/11/2016,0.43,96.0,15.38858884040594,-80.61141115959406,41.0,-55.0
04/12/2016,0.13,30.0,13.59863013416022,-16.40136986583978,37.0,7.0
11/12/2016,0.11,85.0,13.64598284072876,-71.35401715927124,-29.0,-114.0
18/12/2016,0.21,26.0,61.3535494181335,35.3535494181335,96.0,70.0
25/12/2016,0.04,20.0,22.263746469435095,2.2637464694350946,30.0,10.0
01/01/2017,0.05,12.0,33.25907490732789,21.259074907327893,85.0,73.0
08/01/2017,0.0,15.0,17.83783097172409,2.8378309717240917,26.0,11.0
15/01/2017,0.04,34.0,8.174748199273347,-25.825251800726654,20.0,-14.0
22/01/2017,0.02,44.0,6.596961680970788,-37.403038319029214,12.0,-32.0
29/01/2017,0.04,57.0,8.597745866989642,-48.40225413301036,15.0,-42.0
05/02/2017,0.02,52.0,11.09746446287766,-40.90253553712234,34.0,-18.0
12/02/2017,0.18,45.0,16.52530127887845,-28.47469872112155,44.0,-1.0
19/02/2017,0.15,35.0,29.223317058961392,-5.776682941038608,57.0,22.0
26/02/2017,0.09,91.0,29.593325644261242,-61.40667435573876,52.0,-39.0
05/03/2017,0.0,17.0,21.434798438341616,4.434798438341616,45.0,28.0
12/03/2017,0.39,29.0,15.038512085979878,-13.961487914020122,35.0,6.0
19/03/2017,0.38,26.0,61.29792672724366,35.29792672724366,91.0,65.0
26/03/2017,0.0,29.0,19.780433102627992,-9.219566897372008,17.0,-12.0
02/04/2017,0.23,0.0,9.530147071028054,9.530147071028054,29.0,29.0
09/04/2017,0.0,55.0,9.23704109055534,-45.76295890944466,26.0,-29.0
16/04/2017,0.33,-13.0,10.988859564038814,23.988859564038812,29.0,42.0
23/04/2017,0.14,28.0,10.148535664238036,-17.851464335761964,0.0,-28.0
30/04/2017,0.12,22.0,23.755934869055153,1.755934869055153,55.0,33.0
07/05/2017,0.42,20.0,13.681013751871287,-6.318986248128713,-13.0,-33.0
14/05/2017,0.06,25.0,8.199703203500063,-16.800296796499936,28.0,3.0
21/05/2017,0.33,11.0,10.467381025671513,-0.5326189743284875,22.0,11.0
28/05/2017,0.38,31.0,6.238311090762913,-24.761688909237087,20.0,-11.0
04/06/2017,0.06,16.0,10.607279875156582,-5.392720124843418,25.0,9.0
11/06/2017,0.0,18.0,9.388713152965307,-8.611286847034693,11.0,-7.0
18/06/2017,0.06,9.0,10.729864003519415,1.729864003519415,31.0,22.0
25/06/2017,0.0,8.0,9.91131497931108,1.9113149793110793,16.0,8.0
02/07/2017,0.47,17.0,8.051709668613226,-8.948290331386774,18.0,1.0
09/07/2017,0.0,18.0,9.006189599704593,-8.993810400295407,9.0,-9.0
16/07/2017,0.0,15.0,7.57709025005281,-7.42290974994719,8.0,-7.0
23/07/2017,0.07,0.0,8.483605646974146,8.483605646974146,17.0,17.0
30/07/2017,0.0,27.0,7.976192268973738,-19.023807731026263,18.0,-9.0
06/08/2017,0.32,20.0,7.6956590019883215,-12.304340998011678,15.0,-5.0
13/08/2017,0.17,18.0,8.176692986110002,-9.823307013889998,0.0,-18.0
20/08/2017,0.0,9.0,9.249890157633423,0.24989015763342337,27.0,18.0
27/08/2017,0.17,-19.0,9.300870520666093,28.300870520666095,20.0,39.0
03/09/2017,0.0,-6.0,7.176798260819316,13.176798260819316,18.0,24.0
10/09/2017,0.0,17.0,8.940768042936474,-8.059231957063526,9.0,-8.0
17/09/2017,0.48,12.0,10.062362152631431,-1.9376378473685687,-19.0,-31.0
24/09/2017,0.94,14.0,9.923147312655896,-4.076852687344104,-6.0,-20.0
01/10/2017,0.0,9.0,7.747935202132016,-1.252064797867984,17.0,8.0
08/10/2017,0.12,6.0,5.2062985099042205,-0.7937014900957795,12.0,6.0
15/10/2017,0.22,12.0,7.355834828291088,-4.644165171708912,14.0,2.0
22/10/2017,0.0,5.0,9.028029095290899,4.028029095290899,9.0,4.0
29/10/2017,0.27,3.0,7.707630199575275,4.707630199575275,6.0,3.0
05/11/2017,0.0,6.0,7.27834789373219,1.2783478937321897,12.0,6.0
12/11/2017,0.0,11.0,7.251197872054279,-3.748802127945721,5.0,-6.0
19/11/2017,0.29,69.0,6.89662040380016,-62.103379596199844,3.0,-66.0
26/11/2017,0.21,-12.0,7.3395808374936875,19.33958083749369,6.0,18.0
03/12/2017,0.14,24.0,6.612304117386639,-17.38769588261336,11.0,-13.0
