Date,Searches,Observed,LSTM-Prediction,error,Naive-Prediction,NaiveError
01/02/2016,0.79,4297.0,2762.2324587542726,1534.7675412457274,3520.0,-777.0
08/02/2016,0.66,4297.0,4809.403070176925,-512.4030701769252,3520.0,-777.0
15/02/2016,0.74,4298.0,3952.947213930817,345.0527860691832,3521.0,-777.0
22/02/2016,0.63,4012.0,4503.273988191986,-491.27398819198606,4297.0,285.0
29/02/2016,0.77,4012.0,4285.350180169296,-273.35018016929644,4297.0,285.0
07/03/2016,0.86,4012.0,4172.494165837021,-160.49416583702077,4298.0,286.0
14/03/2016,0.73,3539.0,4713.6911543643955,-1174.6911543643955,4012.0,473.0
21/03/2016,1.0,3540.0000000000005,5428.9443349632265,-1888.944334963226,4012.0,471.99999999999955
28/03/2016,0.75,3260.0000000000005,4453.635760901642,-1193.6357609016418,4012.0,751.9999999999995
04/04/2016,0.81,3260.0000000000005,2508.6100086239626,751.3899913760379,3539.0,278.99999999999955
11/04/2016,0.74,3261.9999999999995,2179.359736295967,1082.6402637040323,3540.0000000000005,278.0000000000009
18/04/2016,0.72,1879.0,1922.861547159462,-43.86154715946191,3260.0000000000005,1381.0000000000005
25/04/2016,0.63,1879.0,1100.6985118401337,778.3014881598663,3260.0000000000005,1381.0000000000005
02/05/2016,0.54,1879.0,1069.8613291635895,809.1386708364105,3261.9999999999995,1382.9999999999995
09/05/2016,0.44,1881.0,1052.1141322411538,828.8858677588462,1879.0,-2.0
16/05/2016,0.76,979.0000000000001,1123.8261596809577,-144.82615968095763,1879.0,899.9999999999999
23/05/2016,0.4,979.0000000000001,832.1659385291672,146.83406147083292,1879.0,899.9999999999999
30/05/2016,0.48,979.0000000000001,795.4818503732109,183.51814962678918,1881.0,901.9999999999999
06/06/2016,0.27,979.0000000000001,565.9243817875766,413.0756182124235,979.0000000000001,0.0
13/06/2016,0.29,979.0000000000001,614.9324449901391,364.06755500986105,979.0000000000001,0.0
20/06/2016,0.39,979.0000000000001,420.6659192085743,558.3340807914258,979.0000000000001,0.0
27/06/2016,0.4,-463.99999999999994,418.82744567725183,-882.8274456772517,979.0000000000001,1443.0
04/07/2016,0.28,-463.99999999999994,438.695850894413,-902.695850894413,979.0000000000001,1443.0
11/07/2016,0.39,-463.99999999999994,340.78432000869753,-804.7843200086975,979.0000000000001,1443.0
18/07/2016,0.4,-463.99999999999994,512.1430319012451,-976.143031901245,-463.99999999999994,0.0
25/07/2016,0.36,-463.99999999999994,156.85113596861123,-620.8511359686112,-463.99999999999994,0.0
01/08/2016,0.38,-463.99999999999994,159.84624899605274,-623.8462489960527,-463.99999999999994,0.0
08/08/2016,0.29,1303.0,157.16244117352963,1145.8375588264703,-463.99999999999994,-1767.0
15/08/2016,0.35,2606.0,716.2160652660751,1889.783934733925,-463.99999999999994,-3070.0
22/08/2016,0.16,76.0,1940.2052700546647,-1864.2052700546647,-463.99999999999994,-540.0
29/08/2016,0.2,76.0,887.2538953250694,-811.2538953250694,1303.0,1227.0
05/09/2016,0.27,66.0,428.4302630531311,-362.4302630531311,2606.0,2540.0
12/09/2016,0.56,66.0,441.15141407359124,-375.15141407359124,76.0,10.0
19/09/2016,0.23,66.0,53.005363939220906,12.994636060779094,76.0,10.0
26/09/2016,0.36,0.0,-8.594928906913548,8.594928906913548,66.0,66.0
03/10/2016,0.14,33.0,16.349696745665074,16.650303254334926,66.0,33.0
10/10/2016,0.15,34.0,11.487318018031717,22.512681981968285,66.0,32.0
17/10/2016,0.43,102.0,9.402449964653998,92.597550035346,0.0,-102.0
24/10/2016,0.4,103.0,28.317976272832155,74.68202372716785,33.0,-70.0
31/10/2016,0.24,63.0,23.32057306061089,39.67942693938911,34.0,-29.0
07/11/2016,0.27,64.0,10.639390264185668,53.360609735814336,102.0,38.0
14/11/2016,0.43,79.0,43.05131548680425,35.94868451319575,103.0,24.0
21/11/2016,0.33,65.0,34.112150503106115,30.887849496893885,63.0,-2.0
28/11/2016,0.26,62.0,2.492649570441693,59.50735042955831,64.0,2.0
05/12/2016,0.33,64.0,-1.2999264387890697,65.29992643878907,79.0,15.0
12/12/2016,0.37,60.00000000000001,6.844674212291688,53.15532578770832,65.0,4.999999999999993
19/12/2016,0.33,41.0,6.068359411128014,34.931640588871986,62.0,21.0
26/12/2016,0.51,22.0,-8.235731216375827,30.235731216375825,64.0,42.0
02/01/2017,0.17,0.0,9.526181302102954,-9.526181302102954,60.00000000000001,60.00000000000001
09/01/2017,0.41,0.0,7.934886435359865,-7.934886435359865,41.0,41.0
16/01/2017,0.2,0.0,-4.675895746288672,4.675895746288672,22.0,22.0
23/01/2017,0.15,1.0,29.851412756792307,-28.851412756792307,0.0,-1.0
30/01/2017,0.33,-1.0,26.723450165886284,-27.723450165886284,0.0,1.0
06/02/2017,0.79,-1.0,18.82454023936093,-19.82454023936093,0.0,1.0
13/02/2017,0.67,1.0,24.745487707074286,-23.745487707074286,1.0,0.0
20/02/2017,0.29,131.0,56.234591156589985,74.76540884341001,-1.0,-132.0
27/02/2017,0.46,131.0,78.44324139833688,52.55675860166312,-1.0,-132.0
06/03/2017,0.17,132.0,22.150776911052464,109.84922308894754,1.0,-131.0
13/03/2017,0.16,56.0,61.53477179021835,-5.53477179021835,131.0,75.0
20/03/2017,0.2,57.0,155.63887031116008,-98.63887031116008,131.0,74.0
27/03/2017,0.12,195.0,126.37432750780583,68.62567249219417,132.0,-63.0
03/04/2017,0.13,195.0,80.12917647542953,114.87082352457047,56.0,-139.0
10/04/2017,0.11,195.0,59.99392114215374,135.00607885784626,57.0,-138.0
17/04/2017,0.17,0.0,137.31861032287597,-137.31861032287597,195.0,195.0
24/04/2017,0.18,0.0,128.2638033131695,-128.2638033131695,195.0,195.0
01/05/2017,0.13,0.0,105.41315023773193,-105.41315023773193,195.0,195.0
08/05/2017,0.1,0.0,62.6136422854352,-62.6136422854352,0.0,0.0
15/05/2017,0.09,61.0,28.99292430347085,32.00707569652915,0.0,-61.0
22/05/2017,0.22,61.0,33.6890448854351,27.310955114564898,0.0,-61.0
29/05/2017,0.2,61.0,24.40027316491604,36.599726835083956,0.0,-61.0
05/06/2017,0.15,61.0,32.81191140383482,28.18808859616518,61.0,0.0
12/06/2017,0.05,61.0,29.739726944694517,31.260273055305483,61.0,0.0
19/06/2017,0.12,61.0,40.89986258447528,20.10013741552472,61.0,0.0
26/06/2017,0.16,0.0,58.22363001782417,-58.22363001782417,61.0,61.0
03/07/2017,0.19,0.0,49.998432096419336,-49.998432096419336,61.0,61.0
10/07/2017,0.14,0.0,11.51093820952177,-11.51093820952177,61.0,61.0
17/07/2017,0.27,0.0,18.094753304062486,-18.094753304062486,0.0,0.0
24/07/2017,0.06,0.0,19.341703098832966,-19.341703098832966,0.0,0.0
31/07/2017,0.05,0.0,36.981760865585805,-36.981760865585805,0.0,0.0
07/08/2017,0.26,0.0,27.518681549054385,-27.518681549054385,0.0,0.0
14/08/2017,0.2,0.0,18.278174143453242,-18.278174143453242,0.0,0.0
21/08/2017,0.06,0.0,26.723457639842035,-26.723457639842035,0.0,0.0
28/08/2017,0.18,0.0,31.235395038928985,-31.235395038928985,0.0,0.0
04/09/2017,0.09,250.0,23.033042508934738,226.96695749106527,0.0,-250.0
11/09/2017,0.27,250.0,82.33987293367386,167.66012706632614,0.0,-250.0
18/09/2017,0.19,250.0,48.1200127629292,201.8799872370708,0.0,-250.0
25/09/2017,0.44,1.0,103.06449452160835,-102.06449452160835,250.0,249.0
02/10/2017,0.19,0.0,132.9952358447361,-132.9952358447361,250.0,250.0
09/10/2017,0.13,0.0,90.88768664636612,-90.88768664636612,250.0,250.0
16/10/2017,0.33,0.0,53.34573784937143,-53.34573784937143,1.0,1.0
23/10/2017,0.18,0.0,18.2638764661026,-18.2638764661026,0.0,0.0
30/10/2017,0.1,0.0,32.04011585458159,-32.04011585458159,0.0,0.0
06/11/2017,0.41,1.0,28.959363750832676,-27.959363750832676,0.0,-1.0
13/11/2017,0.16,0.0,11.794425351136923,-11.794425351136923,0.0,0.0
20/11/2017,0.33,0.0,34.650634067015645,-34.650634067015645,0.0,0.0
27/11/2017,0.22,0.0,12.772088520218134,-12.772088520218134,1.0,1.0
04/12/2017,0.18,0.0,31.62889382655382,-31.62889382655382,0.0,0.0
11/12/2017,0.2,0.0,26.782484451040627,-26.782484451040627,0.0,0.0
