Date,Searches,Observed,LSTM-Prediction,error,Naive-Prediction,NaiveError
31/01/2016,0.45,834.0,659.9038525263977,174.0961474736023,473.0,-361.0
07/02/2016,1.0,572.0,705.8027565209961,-133.80275652099613,0.0,-572.0
14/02/2016,0.61,453.00000000000006,182.80612209003448,270.1938779099656,1295.0,842.0
21/02/2016,0.41,416.0,303.94273528930665,112.05726471069335,834.0,418.0
28/02/2016,0.44,290.0,215.73532000076293,74.26467999923707,572.0,282.0
06/03/2016,0.12,264.0,156.96350378707885,107.03649621292115,453.00000000000006,189.00000000000006
13/03/2016,0.58,197.0,129.99218906585693,67.00781093414307,416.0,219.0
20/03/2016,0.26,118.0,107.57961317668915,10.42038682331085,290.0,172.0
27/03/2016,0.2,117.0,75.75801064373016,41.24198935626984,264.0,147.0
03/04/2016,0.2,112.0,66.20648589817047,45.79351410182953,197.0,85.0
10/04/2016,0.53,85.0,56.05642837682724,28.943571623172758,118.0,33.0
17/04/2016,0.2,73.0,36.71630329932213,36.28369670067787,117.0,44.0
24/04/2016,0.42,55.00000000000001,32.383954623308185,22.616045376691822,112.0,56.99999999999999
01/05/2016,0.31,62.0,28.527376041231154,33.47262395876885,85.0,23.0
08/05/2016,0.0,73.0,25.070761844844817,47.92923815515518,73.0,0.0
15/05/2016,0.0,111.0,36.92029287270546,74.07970712729454,55.00000000000001,-55.99999999999999
22/05/2016,0.0,-26.0,63.269223263626095,-89.26922326362609,62.0,88.0
29/05/2016,0.0,36.0,13.664042924847603,22.335957075152397,73.0,37.0
05/06/2016,0.13,28.0,21.77707637013912,6.22292362986088,111.0,83.0
12/06/2016,0.29,25.0,2.417567946766615,22.582432053233386,-26.0,-51.0
19/06/2016,0.0,18.0,2.471915033926964,15.528084966073036,36.0,18.0
26/06/2016,0.0,16.0,7.7495195652294155,8.250480434770584,28.0,12.0
03/07/2016,0.02,17.0,7.353226661467552,9.646773338532448,25.0,8.0
10/07/2016,0.0,21.0,6.5655327215981485,14.43446727840185,18.0,-3.0
