Date,Searches,WeekNumber,Cases,Week1-Prediction,Week2-Prediction,Week3-Prediction,Week4-Prediction,Naive-1Week,Naive-2Week,Naive-3Week,Naive-4Week,Week1-Error,Week2-Error,Week3-Error,Week4-Error
20/02/2016,0.38,8,3.0,16.302752860774994,0.732028086232692,11.141918901842832,32.127054879052636,9,10,11,11,13.302752860774994,-2.2679719137673082,8.141918901842832,29.127054879052636
27/02/2016,0.58,9,15.0,5.442213108519912,9.135236596779823,10.411257905766965,15.585507348029614,3,9,10,11,-9.557786891480088,-5.864763403220177,-4.5887420942330355,0.5855073480296138
05/03/2016,0.67,10,3.0,12.651595415167808,2.2591189139284196,9.064780039606095,7.583652054242492,15,3,9,10,9.651595415167808,-0.7408810860715804,6.064780039606095,4.583652054242492
12/03/2016,0.81,11,7.0,10.100905697448253,1.8541667103557289,3.9515343471339346,3.6971210654681923,3,15,3,9,3.100905697448253,-5.145833289644271,-3.0484656528660654,-3.3028789345318077
19/03/2016,1.0,12,6.0,21.13998862935424,9.92419204325676,4.534522392762005,8.082130485683084,7,3,15,3,15.139988629354239,3.9241920432567596,-1.465477607237995,2.0821304856830842
26/03/2016,0.65,13,14.0,20.984992911895514,10.697094628435373,3.6712973874738815,7.65833992359221,6,7,3,15,6.984992911895514,-3.302905371564627,-10.328702612526119,-6.34166007640779
02/04/2016,0.45,14,10.0,14.377213469840289,14.648174509937764,7.86479639010787,12.779823145805,14,6,7,3,4.377213469840289,4.648174509937764,-2.1352036098921303,2.7798231458050005
09/04/2016,0.67,15,11.0,10.01538529571414,10.518768379342555,8.379719557403327,4.234693649097085,10,14,6,7,-0.9846147042858604,-0.48123162065744474,-2.6202804425966733,-6.765306350902915
16/04/2016,1.0,16,1.0,10.207245212527514,9.251203474476338,11.695923780864478,14.516535760095119,11,10,14,6,9.207245212527514,8.251203474476338,10.695923780864478,13.516535760095119
23/04/2016,0.99,17,5.0,13.266354845973254,7.302367763178348,7.804024732688665,13.227131623990536,1,11,10,14,8.266354845973254,2.3023677631783483,2.8040247326886654,8.227131623990536
30/04/2016,0.73,18,3.0,16.172051810764074,15.733828757565021,7.552764719403982,10.243741640720964,5,1,11,10,13.172051810764074,12.733828757565021,4.552764719403982,7.243741640720964
07/05/2016,1.0,19,0.0,13.049371415923833,16.079732696485518,10.402115721172095,11.337345343638063,3,5,1,11,13.049371415923833,16.079732696485518,10.402115721172095,11.337345343638063
14/05/2016,1.0,20,1.0,18.764917805160284,18.57293503878355,12.391594422191382,10.755125496545434,0,3,5,1,17.764917805160284,17.57293503878355,11.391594422191382,9.755125496545434
21/05/2016,1.0,21,0.0,22.593053264778852,18.127529173772334,9.264192871979475,10.173549443367124,1,0,3,5,22.593053264778852,18.127529173772334,9.264192871979475,10.173549443367124
28/05/2016,1.0,22,10.0,19.32141388671994,20.348608847823144,11.263228958016635,11.775199848147034,0,1,0,3,9.321413886719942,10.348608847823144,1.2632289580166347,1.7751998481470341
04/06/2016,1.0,23,7.0,16.931971218670608,19.663229578778743,9.637918349356651,14.994321037869453,10,0,1,0,9.931971218670608,12.663229578778743,2.637918349356651,7.994321037869453
11/06/2016,1.0,24,0.0,15.383942315710783,11.318522146933079,12.413953042722941,15.684682711989879,7,10,0,1,15.383942315710783,11.318522146933079,12.413953042722941,15.684682711989879
18/06/2016,1.0,25,58.99999999999999,17.325742945684194,12.520395191614627,13.441289514082671,15.699517963058948,0,7,10,0,-41.6742570543158,-46.47960480838537,-45.558710485917324,-43.30048203694105
25/06/2016,1.0,26,43.0,28.94307099703789,13.684069797379971,11.134124952329397,21.102923827548025,59,0,7,10,-14.05692900296211,-29.31593020262003,-31.865875047670603,-21.897076172451975
02/07/2016,0.59,27,45.0,11.930043947473765,2.2019895905570688,9.853668618599176,20.802598631691932,43,59,0,7,-33.06995605252624,-42.79801040944293,-35.14633138140083,-24.197401368308068
09/07/2016,0.44,28,55.00000000000001,18.032177696853875,7.230269065005779,5.372194688871205,15.797744741783141,45,43,59,0,-36.967822303146136,-47.76973093499423,-49.6278053111288,-39.202255258216866
16/07/2016,1.0,29,45.0,-7.691052896245718,-2.107342943570167,3.8377289997294546,5.591809665421843,55,45,43,59,-52.691052896245715,-47.10734294357017,-41.16227100027054,-39.40819033457816
