Date,Searches,WeekNumber,Cases,Week1-Prediction,Week2-Prediction,Week3-Prediction,Week4-Prediction,Naive-1Week,Naive-2Week,Naive-3Week,Naive-4Week,Week1-Error,Week2-Error,Week3-Error,Week4-Error
22/02/2016,0.67,8,1607.0,749.9636104450226,-476.12723165992736,-806.1623787997437,71.04491740188598,951,949,949,177,-857.0363895549774,-2083.1272316599275,-2413.1623787997437,-1535.9550825981141
29/02/2016,0.76,9,1607.0,981.7565281668853,-271.492451399765,-191.1708937826729,689.3325282751846,1607,951,949,949,-625.2434718331147,-1878.492451399765,-1798.170893782673,-917.6674717248154
07/03/2016,0.82,10,1607.0,1165.3675637795257,-571.8840420501709,-382.618300502758,363.2349525546837,1607,1607,951,949,-441.63243622047435,-2178.884042050171,-1989.618300502758,-1243.7650474453162
14/03/2016,0.74,11,1018.0,1418.929348328247,-878.662293531952,-1154.7588124806975,160.9969828106022,1607,1607,1607,951,400.929348328247,-1896.662293531952,-2172.7588124806975,-857.0030171893978
21/03/2016,0.75,12,1019.0,1553.843895217743,-700.8328279796982,-791.6389918264771,1199.3235438347626,1018,1607,1607,1607,534.843895217743,-1719.8328279796983,-1810.6389918264772,180.32354383476263
28/03/2016,0.51,13,640.0,1490.8382207479096,-890.6977438326263,-911.2276272600556,1033.4741907486725,1019,1018,1607,1607,850.8382207479096,-1530.6977438326262,-1551.2276272600557,393.4741907486725
04/04/2016,0.57,14,640.0,1320.587621584549,-592.1038523339081,-370.52552342811583,838.5625046706772,640,1019,1018,1607,680.587621584549,-1232.103852333908,-1010.5255234281158,198.56250467067719
11/04/2016,0.51,15,642.0,1172.2427484238433,-726.4970453211976,-675.022889352417,689.4576552258301,640,640,1019,1018,530.2427484238433,-1368.4970453211977,-1317.022889352417,47.45765522583008
18/04/2016,0.45,16,337.0,955.4102808267975,-336.98976348016737,-150.52585856925964,822.4152871012878,642,640,640,1019,618.4102808267975,-673.9897634801673,-487.52585856925964,485.41528710128784
25/04/2016,0.37,17,337.0,854.443153999939,-313.8939467416954,-168.0213630906391,777.2923938768387,337,642,640,640,517.443153999939,-650.8939467416953,-505.0213630906391,440.2923938768387
02/05/2016,0.33,18,337.0,801.9152125892639,-66.54752876067639,21.42771335709572,585.1383849441147,337,337,642,640,464.9152125892639,-403.5475287606764,-315.57228664290426,248.1383849441147
09/05/2016,0.26,19,339.0,519.8364169301224,93.059462310462,395.1015894750786,636.5866595235061,337,337,337,642,180.83641693012237,-245.94053768953802,56.10158947507858,297.5866595235061
16/05/2016,0.46,20,-2.9999999999999996,298.203077483654,115.87442946821213,316.8803771009636,265.4685580194664,339,337,337,337,301.203077483654,118.87442946821213,319.8803771009636,268.4685580194664
23/05/2016,0.22,21,-2.9999999999999996,451.19313133426664,270.35941049697874,389.91239607902526,390.2939955138207,-3,339,337,337,454.19313133426664,273.35941049697874,392.91239607902526,393.2939955138207
30/05/2016,0.27,22,-2.9999999999999996,349.4501418840599,262.7858815152359,437.0162226496887,385.2650250380707,-3,-3,339,337,352.4501418840599,265.7858815152359,440.0162226496887,388.2650250380707
06/06/2016,0.19,23,-2.9999999999999996,225.2579927833748,140.95520778470993,299.56507301202777,207.3488392078495,-3,-3,-3,339,228.2579927833748,143.95520778470993,302.56507301202777,210.3488392078495
