Date,Searches,Observed,LSTM-Prediction,error,Naive-Prediction,NaiveError
01/02/2016,0.51,46.0,14.89433942193389,31.10566057806611,24.0,-22.0
08/02/2016,0.46,46.0,15.107390405917167,30.892609594082835,24.0,-22.0
15/02/2016,0.48,48.0,13.801372093740106,34.198627906259894,24.0,-24.0
22/02/2016,0.55,83.0,23.295891569101812,59.70410843089819,24.0,-59.0
29/02/2016,0.57,83.0,34.42124130966067,48.57875869033933,46.0,-37.0
07/03/2016,0.59,83.0,80.28428636777402,2.7157136322259845,46.0,-37.0
14/03/2016,0.55,120.00000000000001,93.39629735190869,26.60370264809133,48.0,-72.00000000000001
21/03/2016,0.57,121.0,82.7702548555255,38.229745144474506,83.0,-38.0
28/03/2016,0.39,158.0,83.22704653129577,74.77295346870423,83.0,-75.0
04/04/2016,0.41,158.0,63.31554475243092,94.68445524756908,83.0,-75.0
11/04/2016,0.45,160.0,66.17882244390249,93.82117755609751,120.00000000000001,-39.999999999999986
18/04/2016,0.34,264.0,70.12048205627202,193.879517943728,121.0,-143.0
25/04/2016,0.46,264.0,47.22946020984649,216.77053979015352,158.0,-106.0
02/05/2016,0.39,264.0,39.691693223315475,224.30830677668453,158.0,-106.0
09/05/2016,0.49,264.0,94.50961112837791,169.4903888716221,160.0,-104.0
16/05/2016,0.92,206.0,125.13793951649666,80.86206048350334,264.0,58.0
23/05/2016,0.52,206.0,105.9785506433487,100.0214493566513,264.0,58.0
30/05/2016,0.72,206.0,125.48796778514385,80.51203221485615,264.0,58.0
06/06/2016,0.35,206.0,142.71031348907948,63.28968651092052,264.0,58.0
13/06/2016,0.58,206.0,60.110723087847234,145.88927691215275,206.0,0.0
20/06/2016,0.63,206.0,91.48966430661679,114.51033569338321,206.0,0.0
27/06/2016,0.52,45.0,61.412852764570715,-16.412852764570715,206.0,161.0
04/07/2016,0.69,45.0,87.35064535571337,-42.35064535571337,206.0,161.0
11/07/2016,0.52,45.0,97.29270738809109,-52.29270738809109,206.0,161.0
18/07/2016,0.57,45.0,119.44986993041039,-74.44986993041039,206.0,161.0
25/07/2016,0.48,45.0,19.544281789702175,25.455718210297825,45.0,0.0
01/08/2016,0.5,49.0,15.207131956279278,33.79286804372072,45.0,-4.0
08/08/2016,0.39,81.0,15.77425711029768,65.22574288970232,45.0,-36.0
15/08/2016,0.47,163.0,34.560479460150006,128.43952053984998,45.0,-118.0
22/08/2016,0.27,21.0,230.8009905007839,-209.8009905007839,45.0,24.0
29/08/2016,0.21,21.0,44.67041548460126,-23.670415484601257,49.0,28.0
05/09/2016,0.43,21.0,72.79266416351795,-51.792664163517955,81.0,60.0
12/09/2016,0.58,21.0,73.36694558962583,-52.36694558962583,163.0,142.0
19/09/2016,0.39,21.0,15.036027963861823,5.963972036138177,21.0,0.0
26/09/2016,0.31,1.0,12.728675941237807,-11.728675941237807,21.0,20.0
03/10/2016,0.15,20.0,15.253384270817042,4.746615729182958,21.0,1.0
10/10/2016,0.2,21.0,11.866650277251004,9.133349722748996,21.0,0.0
17/10/2016,0.59,30.000000000000004,17.520716817685962,12.479283182314042,21.0,-9.000000000000004
24/10/2016,0.47,30.000000000000004,18.931546826416255,11.068453173583748,1.0,-29.000000000000004
31/10/2016,0.37,17.0,11.464846568217874,5.535153431782126,20.0,3.0
07/11/2016,0.21,17.0,12.915181241995096,4.084818758004904,21.0,4.0
14/11/2016,0.26,20.0,14.91733922879398,5.0826607712060206,30.000000000000004,10.000000000000004
21/11/2016,0.38,15.000000000000002,13.27609849640429,1.7239015035957124,30.000000000000004,15.000000000000002
28/11/2016,0.26,30.000000000000004,13.804780866470933,16.195219133529072,17.0,-13.000000000000004
05/12/2016,0.29,10.0,14.562076827254891,-4.5620768272548915,17.0,7.0
12/12/2016,0.13,7.0,13.041781663298607,-6.041781663298607,20.0,13.0
