Date,Searches,Observed,LSTM-Prediction,LSTMError,Naive-Prediction,NaiveError
22/02/2016,0.7,261.0,9.004864823826551,-251.99513517617345,29.000000000000004,-232.0
29/02/2016,0.56,261.0,1.7572395168249308,-259.24276048317506,143.0,-118.0
07/03/2016,0.67,263.0,8.567626311040222,-254.43237368895979,143.0,-120.0
14/03/2016,1.0,332.0,23.493998609081803,-308.5060013909182,144.0,-188.0
21/03/2016,0.89,332.0,48.8191445909369,-283.1808554090631,261.0,-71.0
28/03/2016,0.92,347.0,47.04694575605691,-299.9530542439431,261.0,-86.0
04/04/2016,0.87,347.0,60.20407749451339,-286.7959225054866,263.0,-84.0
11/04/2016,0.91,347.0,88.2638193620348,-258.7361806379652,332.0,-15.0
18/04/2016,1.0,228.0,92.62899864866495,-135.37100135133505,332.0,104.0
25/04/2016,1.0,228.0,105.07258103411436,-122.92741896588564,347.0,119.0
02/05/2016,1.0,228.0,115.45848893249511,-112.54151106750489,347.0,119.0
09/05/2016,0.64,229.0,120.09549574932575,-108.90450425067425,347.0,118.0
16/05/2016,1.0,73.0,124.48387392261267,51.48387392261267,228.0,155.0
23/05/2016,0.56,73.0,105.5196185730362,32.5196185730362,228.0,155.0
30/05/2016,0.44,73.0,73.5820451096034,0.5820451096033992,228.0,155.0
06/06/2016,0.47,73.0,53.12416532580137,-19.87583467419863,229.0,156.0
13/06/2016,0.34,73.0,53.72305126078427,-19.276948739215733,73.0,0.0
20/06/2016,0.44,78.0,38.591268676751255,-39.408731323248745,73.0,-5.0
27/06/2016,0.52,-15.0,26.272534688162207,41.27253468816221,73.0,88.0
04/07/2016,0.39,-15.0,21.49722537194878,36.49722537194878,73.0,88.0
11/07/2016,0.54,-15.0,16.695865291555226,31.695865291555226,73.0,88.0
18/07/2016,0.36,-15.0,15.872997443870604,30.872997443870602,78.0,93.0
25/07/2016,0.15,-15.0,3.8958795786872504,18.89587957868725,-15.0,0.0
01/08/2016,0.5,-15.0,-11.376838328016401,3.623161671983599,-15.0,0.0
08/08/2016,0.33,66.0,-2.9268003306022288,-68.92680033060223,-15.0,-81.0
15/08/2016,0.31,133.0,5.245393446942568,-127.75460655305743,-15.0,-148.0
22/08/2016,0.2,5.0,2.1212544573700427,-2.8787455426299573,-15.0,-20.0
29/08/2016,0.17,5.0,7.886782798511386,2.886782798511386,-15.0,-20.0
05/09/2016,0.0,4.0,5.366134055329264,1.3661340553292636,66.0,62.0
12/09/2016,0.48,4.0,16.852703951724468,12.852703951724468,133.0,129.0
19/09/2016,0.45,4.0,19.359527243299187,15.359527243299187,5.0,1.0
26/09/2016,0.3,0.0,-10.882671791880577,-10.882671791880577,5.0,5.0
03/10/2016,0.1,11.0,-2.556760355464965,-13.556760355464965,4.0,-7.0
10/10/2016,0.45,11.0,5.983449753327072,-5.016550246672928,4.0,-7.0
17/10/2016,0.24,10.0,4.029489101852923,-5.970510898147077,4.0,-6.0
24/10/2016,0.76,10.0,2.530028436923921,-7.469971563076079,0.0,-10.0
31/10/2016,0.12,6.0,4.61588685918048,-1.3841131408195197,11.0,5.0
07/11/2016,0.38,6.0,12.556722854979038,6.5567228549790375,11.0,5.0
14/11/2016,0.75,11.0,8.675338407990635,-2.324661592009365,10.0,-1.0
21/11/2016,0.49,1.0,11.206626928326488,10.206626928326488,10.0,9.0
28/11/2016,0.17,3.0,3.7497724898275733,0.7497724898275733,6.0,3.0
05/12/2016,0.53,6.0,6.63670494956553,0.6367049495655301,6.0,0.0
12/12/2016,0.25,2.0,14.1243625860399,12.1243625860399,11.0,9.0
19/12/2016,0.1,8.0,7.135410080838203,-0.864589919161797,1.0,-7.0
26/12/2016,0.28,3.0,2.977305892389417,-0.022694107610583103,3.0,0.0
02/01/2017,0.33,0.0,10.145720144712328,10.145720144712328,6.0,6.0
09/01/2017,0.42,0.0,7.854665275122821,7.854665275122821,2.0,2.0
16/01/2017,0.28,0.0,3.115651159503907,3.115651159503907,8.0,8.0
23/01/2017,0.28,1.0,9.046476783651709,8.046476783651709,3.0,2.0
30/01/2017,0.0,18.0,6.208335003971458,-11.791664996028542,0.0,-18.0
06/02/2017,0.77,18.0,2.8933017224144937,-15.106698277585506,0.0,-18.0
13/02/2017,0.46,19.0,4.716141724084616,-14.283858275915385,0.0,-19.0
20/02/2017,0.09,16.0,6.564690348081291,-9.43530965191871,1.0,-15.0
27/02/2017,0.36,16.0,4.859885113431513,-11.140114886568487,18.0,2.0
06/03/2017,0.18,16.0,18.141395846815108,2.141395846815108,18.0,2.0
13/03/2017,0.09,13.0,11.847293807830512,-1.1527061921694877,19.0,6.0
20/03/2017,0.09,14.0,2.4947106354659794,-11.50528936453402,16.0,2.0
27/03/2017,0.11,45.0,11.375599106912613,-33.62440089308738,16.0,-29.0
03/04/2017,0.32,45.0,6.775564472575784,-38.22443552742422,16.0,-29.0
10/04/2017,0.13,46.0,2.3050472196620704,-43.69495278033793,13.0,-33.0
17/04/2017,0.13,7.0,5.145519319162071,-1.8544806808379288,14.0,7.0
24/04/2017,0.15,7.0,1.5710872274817527,-5.428912772518247,45.0,38.0
01/05/2017,0.33,7.0,9.61435924250096,2.61435924250096,45.0,38.0
08/05/2017,0.09,9.0,7.189080454770923,-1.8109195452290772,46.0,37.0
15/05/2017,0.11,17.0,3.3949526115971804,-13.60504738840282,7.0,-10.0
22/05/2017,0.17,17.0,-4.094734405901954,-21.094734405901953,7.0,-10.0
29/05/2017,0.09,17.0,-5.184401445966512,-22.18440144596651,7.0,-10.0
05/06/2017,0.13,17.0,0.5321651441903412,-16.46783485580966,9.0,-8.0
12/06/2017,0.06,17.0,3.2974275797137618,-13.702572420286238,17.0,0.0
19/06/2017,0.12,20.0,8.916940626151264,-11.083059373848736,17.0,-3.0
26/06/2017,0.22,10.0,1.0987729160119593,-8.90122708398804,17.0,7.0
03/07/2017,0.22,10.0,0.6361543622523547,-9.363845637747644,17.0,7.0
10/07/2017,0.29,10.0,0.916606370639801,-9.083393629360199,17.0,7.0
17/07/2017,0.2,10.0,0.18909700413778424,-9.810902995862216,20.0,10.0
24/07/2017,0.04,10.0,1.8591675388422608,-8.14083246115774,10.0,0.0
31/07/2017,0.11,11.0,0.026422113265097143,-10.973577886734903,10.0,-1.0
07/08/2017,0.42,6.0,1.670382426211238,-4.329617573788762,10.0,4.0
14/08/2017,0.34,12.0,5.26320255629018,-6.73679744370982,10.0,-2.0
21/08/2017,0.04,-18.0,3.5023371703097226,21.502337170309723,10.0,28.0
28/08/2017,0.11,-17.0,4.582380949184895,21.582380949184895,11.0,28.0
04/09/2017,0.06,8.0,5.640164645269811,-2.3598353547301887,6.0,-2.0
11/09/2017,0.67,8.0,-0.47863872018381953,-8.47863872018382,12.0,4.0
18/09/2017,0.22,8.0,0.779088294043243,-7.220911705956757,-18.0,-26.0
25/09/2017,0.26,2.0,-4.078334023911804,-6.078334023911804,-17.0,-19.0
02/10/2017,0.1,4.0,-5.532079113003611,-9.532079113003611,8.0,4.0
09/10/2017,0.0,4.0,9.2202639829576,5.220263982957601,8.0,4.0
16/10/2017,0.15,15.0,6.044366649993807,-8.955633350006192,8.0,-7.0
23/10/2017,0.47,15.0,4.6185248980453615,-10.381475101954639,2.0,-13.0
30/10/2017,0.32,-2.0,5.262847897051722,7.262847897051722,4.0,6.0
06/11/2017,0.54,-1.0,0.6989457373058796,1.6989457373058796,4.0,5.0
13/11/2017,0.26,9.0,3.198024940097332,-5.801975059902668,15.0,6.0
20/11/2017,0.0,0.0,5.277182388977855,5.277182388977855,15.0,15.0
27/11/2017,0.22,0.0,1.865277065782398,1.865277065782398,-2.0,-2.0
04/12/2017,0.29,0.0,3.8188392471709847,3.8188392471709847,-1.0,-1.0
11/12/2017,0.21,0.0,2.2180555671608446,2.2180555671608446,9.0,9.0
18/12/2017,0.22,0.0,6.397282842606008,6.397282842606008,0.0,0.0
25/12/2017,0.61,0.0,6.938693118650615,6.938693118650615,0.0,0.0
