Date,Searches,Cases,Week1-Prediction,Week2-Prediction,Week3-Prediction,Week4-Prediction,Naive-1Week,Naive-2Week,Naive-3Week,Naive-4Week,Week1-Error,Week2-Error,Week3-Error,Week4-Error
22/02/2016,0.61,676.9999999999999,316.04960353672027,601.1508769028092,420.2035266666603,232.00335145582198,258,257,257,55,-360.9503964632796,-75.84912309719073,-256.7964733333396,-444.9966485441779
29/02/2016,0.7,676.9999999999999,151.98883494564058,515.72553400074,519.5766123911095,368.6234935615349,677,258,257,257,-525.0111650543593,-161.27446599925986,-157.42338760889038,-308.376506438465
07/03/2016,0.61,678.0,299.9336513131332,528.2368760751724,364.7285519051552,272.84593502548216,677,677,258,257,-378.0663486868668,-149.7631239248276,-313.2714480948448,-405.15406497451784
14/03/2016,0.66,797.9999999999999,589.9284748397446,517.0445997040176,251.23306222502708,203.58918349858283,678,677,677,258,-208.0715251602553,-280.95540029598226,-546.7669377749728,-594.410816501417
21/03/2016,0.86,799.0,602.1038443372345,742.9728726555634,467.70637707357406,368.1923600007057,798,678,677,677,-196.89615566276552,-56.02712734443662,-331.29362292642594,-430.8076399992943
28/03/2016,0.53,769.0,661.3232615903854,-276.3900675248909,841.5751673400116,922.4148756836319,799,798,678,677,-107.67673840961459,-1045.390067524891,72.5751673400116,153.41487568363186
04/04/2016,0.55,769.0,818.5687711846542,-291.475960280571,1283.2316452827454,1636.246442503891,769,799,798,678,49.568771184654224,-1060.475960280571,514.2316452827454,867.2464425038911
11/04/2016,0.43,769.0,737.0518165997314,-456.38341596809386,1367.798212023163,2128.8896842928316,769,769,799,798,-31.94818340026859,-1225.383415968094,598.7982120231629,1359.8896842928316
18/04/2016,0.51,477.99999999999994,696.5290760788346,-522.1892727190972,1431.6238217103576,2232.807418119354,769,769,769,799,218.52907607883463,-1000.1892727190971,953.6238217103576,1754.8074181193542
25/04/2016,0.25,477.99999999999994,803.6437535026168,-456.19260914476394,1568.7617895503997,2592.4024163635254,478,769,769,769,325.6437535026169,-934.1926091447639,1090.7617895503997,2114.4024163635254
02/05/2016,0.28,477.99999999999994,767.922117349472,-645.6481400387573,1518.3264680904388,2555.183093720093,478,478,769,769,289.9221173494721,-1123.6481400387572,1040.3264680904388,2077.183093720093
09/05/2016,0.29,477.99999999999994,527.4388038291931,-562.739068180046,1471.9583736279296,2434.236844865265,478,478,478,769,49.438803829193205,-1040.739068180046,993.9583736279296,1956.236844865265
16/05/2016,0.49,179.99999999999997,415.7065883513451,-213.8262944234562,1224.7765543288422,2448.142760814972,478,478,478,478,235.70658835134512,-393.82629442345615,1044.7765543288422,2268.142760814972
