Date,Searches,Cases,Week1-Prediction,Week2-Prediction,Week3-Prediction,Week4-Prediction,Naive-1Week,Naive-2Week,Naive-3Week,Naive-4Week,Week1-Error,Week2-Error,Week3-Error,Week4-Error
22/02/2016,0.58,371.0,270.72689235918045,631.9295754270744,439.77087627096176,210.57828898215294,306,306,306,98,-100.27310764081955,260.9295754270744,68.77087627096176,-160.42171101784706
29/02/2016,0.92,371.0,127.89879658870697,590.4960256620598,552.4549634801102,338.3148916710663,371,306,306,306,-243.10120341129303,219.49602566205976,181.45496348011022,-32.68510832893372
07/03/2016,0.68,371.0,161.50087045361997,758.5881502071762,391.4701672459602,272.11967337890627,371,371,306,306,-209.49912954638003,387.5881502071762,20.470167245960226,-98.88032662109373
14/03/2016,0.88,250.0,194.5426363058281,734.569010978508,171.22662987433432,201.22384407966615,371,371,371,306,-55.4573636941719,484.569010978508,-78.77337012566568,-48.77615592033385
21/03/2016,0.84,251.0,266.3540801905346,770.2183963436509,223.8287785709381,273.85268058912277,250,371,371,371,15.354080190534603,519.2183963436509,-27.171221429061887,22.85268058912277
28/03/2016,0.62,143.0,156.4685508793688,618.85891341259,204.40147611056327,321.4931441474819,251,250,371,371,13.468550879368792,475.85891341259,61.401476110563266,178.49314414748193
04/04/2016,0.52,143.0,104.67139737685204,663.2827274430656,189.83903315940856,447.49083513788224,143,251,250,371,-38.32860262314796,520.2827274430656,46.83903315940856,304.49083513788224
11/04/2016,0.4,144.0,-66.56103226090192,572.0008942914963,51.7535480585432,238.13228178365708,143,143,251,250,-210.56103226090192,428.00089429149625,-92.2464519414568,94.13228178365708
18/04/2016,0.51,64.0,-103.99927311703205,508.3756444255829,3.0466582999800145,75.13914167727471,144,143,143,251,-167.99927311703203,444.3756444255829,-60.95334170001998,11.139141677274708
25/04/2016,0.37,64.0,312.8373837283516,487.4449515279007,35.789016040867565,-88.49927322525501,64,144,143,143,248.8373837283516,423.4449515279007,-28.210983959132435,-152.49927322525502
02/05/2016,0.42,64.0,216.50168759928704,444.82208621824265,16.979804790741206,-83.69424652902603,64,64,144,143,152.50168759928704,380.82208621824265,-47.020195209258794,-147.69424652902603
09/05/2016,0.39,67.0,96.85782444379807,292.1144649864006,164.11274877821447,-118.81218805229187,64,64,64,144,29.857824443798066,225.1144649864006,97.11274877821447,-185.81218805229187
16/05/2016,0.6,67.0,230.3468948031807,278.44116616135597,58.571302111136916,-97.01654746195793,67,64,64,64,163.3468948031807,211.44116616135597,-8.428697888863084,-164.01654746195794
23/05/2016,0.39,67.0,278.3905391637325,469.4631515824127,152.03112844858646,-11.328269460539818,67,67,64,64,211.3905391637325,402.4631515824127,85.03112844858646,-78.32826946053981
30/05/2016,0.31,67.0,286.54667215596197,518.7642325265693,382.0802754660988,66.61049731108189,67,67,67,64,219.54667215596197,451.76423252656934,315.0802754660988,-0.3895026889181139
06/06/2016,0.28,67.0,200.17308453403473,459.93107334114075,376.1506531991386,275.096014222641,67,67,67,67,133.17308453403473,392.93107334114075,309.1506531991386,208.09601422264097
13/06/2016,0.29,67.0,189.82678533571243,483.2810904231262,404.6750366836166,276.6212472771263,67,67,67,67,122.82678533571243,416.2810904231262,337.6750366836166,209.62124727712632
20/06/2016,0.34,69.0,252.60661620506286,462.51688015829086,404.5952861964226,283.39437357147216,67,67,67,67,183.60661620506286,393.51688015829086,335.5952861964226,214.39437357147216
27/06/2016,0.26,32.0,265.5778992982864,544.4736113204956,362.31763397615435,256.89323481313704,69,67,67,67,233.5778992982864,512.4736113204956,330.31763397615435,224.89323481313704
