Date,Searches,Observed,LSTM-Prediction,LSTMError,Naive-Prediction,NaiveError
27/02/2016,0.48,2.0,4.439517371126264,2.4395173711262643,0.0,-2.0
05/03/2016,0.46,0.0,4.963413490096927,4.963413490096927,1.0,1.0
12/03/2016,0.82,2.0,5.46284336657986,3.46284336657986,1.0,-1.0
19/03/2016,0.27,0.0,5.432933687873483,5.432933687873483,1.0,1.0
26/03/2016,0.38,0.0,4.948973300023526,4.948973300023526,2.0,2.0
02/04/2016,0.18,2.0,4.985416786977649,2.985416786977649,2.0,0.0
09/04/2016,0.33,2.0,4.4522448715759815,2.4522448715759815,0.0,-2.0
16/04/2016,0.23,1.0,5.191436553502679,4.191436553502679,2.0,1.0
23/04/2016,0.07,1.0,4.42801134006694,3.4280113400669396,0.0,-1.0
30/04/2016,0.31,1.0,4.339168922246695,3.339168922246695,0.0,-1.0
07/05/2016,0.3,6.999999999999999,4.383212370688021,-2.616787629311978,2.0,-4.999999999999999
14/05/2016,0.25,2.0,5.275827978983968,3.275827978983968,2.0,0.0
21/05/2016,0.72,1.0,4.900585737814903,3.900585737814903,1.0,0.0
28/05/2016,0.6,12.0,4.430625916356892,-7.569374083643108,1.0,-11.0
04/06/2016,0.42,0.0,4.431713655908853,4.431713655908853,1.0,1.0
11/06/2016,0.72,5.0,7.383882499052584,2.383882499052584,6.999999999999999,1.9999999999999991
18/06/2016,0.69,60.0,6.6235020086705685,-53.37649799132943,2.0,-58.0
25/06/2016,0.9,36.0,5.375538315406144,-30.624461684593857,1.0,-35.0
02/07/2016,1.0,33.0,9.56601966414392,-23.43398033585608,12.0,-21.0
09/07/2016,1.0,55.0,7.435092603244781,-47.56490739675522,0.0,-55.0
16/07/2016,0.85,70.99999999999999,6.738385943295807,-64.26161405670418,5.0,-65.99999999999999
23/07/2016,1.0,51.0,39.87022245370984,-11.129777546290157,60.0,9.0
30/07/2016,0.97,73.0,49.68331378580451,-23.316686214195492,36.0,-37.0
06/08/2016,0.89,33.0,37.21521973889947,4.215219738899471,33.0,0.0
13/08/2016,0.76,104.99999999999999,34.70700184312523,-70.29299815687476,55.0,-49.999999999999986
20/08/2016,0.31,54.0,62.291560915348526,8.291560915348526,70.99999999999999,16.999999999999986
27/08/2016,0.52,35.0,55.33596665121078,20.335966651210782,51.0,16.0
03/09/2016,0.62,19.0,55.47502883532524,36.47502883532524,73.0,54.0
10/09/2016,0.29,5.0,31.77161925367713,26.77161925367713,33.0,28.0
17/09/2016,0.35,22.999999999999996,72.17455399228096,49.17455399228096,104.99999999999999,81.99999999999999
24/09/2016,0.39,10.0,57.08699777786255,47.08699777786255,54.0,44.0
01/10/2016,0.17,44.0,35.6275664611578,-8.372433538842202,35.0,-9.0
08/10/2016,0.2,15.0,7.343694576622397,-7.656305423377603,19.0,4.0
15/10/2016,0.13,1.0,5.450607086363434,4.450607086363434,5.0,4.0
22/10/2016,0.31,2.0,10.271183420135081,8.271183420135081,22.999999999999996,20.999999999999996
29/10/2016,0.36,1.0,12.280394215254187,11.280394215254187,10.0,9.0
05/11/2016,0.68,9.0,33.1388562739408,24.138856273940803,44.0,35.0
12/11/2016,0.5,5.0,21.579815549054743,16.579815549054743,15.0,10.0
19/11/2016,0.47,2.0,7.785505320081562,5.785505320081562,1.0,-1.0
26/11/2016,0.58,5.0,4.547208851724714,-0.45279114827528577,2.0,-3.0
03/12/2016,0.28,3.0,4.0594782301227745,1.0594782301227745,1.0,-2.0
10/12/2016,0.49,2.0,8.994982724135518,6.994982724135518,9.0,7.0
17/12/2016,0.58,3.0,8.8532196184811,5.8532196184811,5.0,2.0
24/12/2016,0.23,0.0,6.503687444372475,6.503687444372475,2.0,2.0
31/12/2016,0.23,3.0,5.5193421173352,2.5193421173352,5.0,2.0
07/01/2017,0.27,0.0,5.8868185509575905,5.8868185509575905,3.0,3.0
14/01/2017,0.13,1.0,5.585753197492659,4.585753197492659,2.0,1.0
21/01/2017,0.15,1.0,5.371621189430058,4.371621189430058,3.0,2.0
28/01/2017,0.92,1.0,4.524384748473466,3.524384748473466,0.0,-1.0
04/02/2017,0.28,1.0,4.913679152586311,3.913679152586311,3.0,2.0
11/02/2017,0.0,0.0,4.403419265172183,4.403419265172183,0.0,0.0
18/02/2017,0.0,1.0,4.451275066999644,3.451275066999644,1.0,0.0
25/02/2017,0.2,1.0,4.3525834992285075,3.3525834992285075,1.0,0.0
04/03/2017,0.46,0.0,5.308498073213547,5.308498073213547,1.0,1.0
11/03/2017,0.0,0.0,4.843554173687547,4.843554173687547,1.0,1.0
18/03/2017,0.22,1.0,4.351159855594188,3.3511598555941884,0.0,-1.0
25/03/2017,0.38,1.0,4.297101411142498,3.2971014111424983,1.0,0.0
01/04/2017,0.14,2.0,4.4559977309788765,2.4559977309788765,1.0,-1.0
08/04/2017,0.25,0.0,4.495101599325091,4.495101599325091,0.0,0.0
15/04/2017,0.46,0.0,4.291536354480237,4.291536354480237,0.0,0.0
22/04/2017,0.0,0.0,4.362293654386699,4.362293654386699,1.0,1.0
29/04/2017,0.0,0.0,4.68249185166493,4.68249185166493,1.0,1.0
06/05/2017,0.38,0.0,5.042009780414403,5.042009780414403,2.0,2.0
13/05/2017,0.0,0.0,4.414666786976904,4.414666786976904,0.0,0.0
20/05/2017,0.49,0.0,4.330577043375224,4.330577043375224,0.0,0.0
27/05/2017,0.2,1.0,4.236481254185438,3.2364812541854384,0.0,-1.0
03/06/2017,0.18,0.0,4.2668600403171775,4.2668600403171775,0.0,0.0
10/06/2017,0.23,2.0,4.298476090702117,2.298476090702117,0.0,-2.0
17/06/2017,0.56,0.0,4.288862810702473,4.288862810702473,0.0,0.0
24/06/2017,0.27,0.0,4.3437094188082215,4.3437094188082215,0.0,0.0
01/07/2017,0.34,0.0,4.412691902630627,4.412691902630627,1.0,1.0
08/07/2017,0.0,1.0,4.344085336543023,3.3440853365430234,0.0,-1.0
15/07/2017,0.26,0.0,4.707066552210599,4.707066552210599,2.0,2.0
22/07/2017,0.0,0.0,4.605625625320226,4.605625625320226,0.0,0.0
29/07/2017,0.11,0.0,4.354715805707425,4.354715805707425,0.0,0.0
05/08/2017,0.15,1.0,4.246925343968719,3.2469253439687193,0.0,-1.0
12/08/2017,0.12,0.0,4.322914428932219,4.322914428932219,1.0,1.0
19/08/2017,0.24,0.0,4.335318134694398,4.335318134694398,0.0,0.0
26/08/2017,0.21,2.0,4.280734247806668,2.2807342478066683,0.0,-2.0
02/09/2017,0.16,0.0,4.2628660460087655,4.2628660460087655,0.0,0.0
09/09/2017,0.08,0.0,4.388821126470715,4.388821126470715,1.0,1.0
16/09/2017,0.06,1.0,4.342338951212018,3.3423389512120183,0.0,-1.0
23/09/2017,0.0,1.0,4.304701372629702,3.304701372629702,0.0,-1.0
30/09/2017,0.05,0.0,4.66157787382245,4.66157787382245,2.0,2.0
07/10/2017,0.07,0.0,4.446721408052444,4.446721408052444,0.0,0.0
14/10/2017,0.03,1.0,4.307938793009669,3.3079387930096686,0.0,-1.0
21/10/2017,0.0,1.0,4.310377519827038,3.310377519827038,1.0,0.0
28/10/2017,0.0,0.0,4.4931598841907086,4.4931598841907086,1.0,1.0
04/11/2017,0.0,0.0,4.3589304015997055,4.3589304015997055,0.0,0.0
11/11/2017,0.08,0.0,4.282482739119381,4.282482739119381,0.0,0.0
18/11/2017,0.06,0.0,4.3488753919368985,4.3488753919368985,1.0,1.0
25/11/2017,0.07,0.0,4.519078201065809,4.519078201065809,1.0,1.0
02/12/2017,0.06,3.0,4.360865798788965,1.3608657987889652,0.0,-3.0
09/12/2017,0.0,0.0,4.289162386600375,4.289162386600375,0.0,0.0
16/12/2017,0.12,0.0,4.271090431072265,4.271090431072265,0.0,0.0
23/12/2017,0.42,0.0,4.283460967622548,4.283460967622548,0.0,0.0
