Date,Searches,Observed,LSTM-Prediction,LSTMError,Naive-Prediction,NaiveError
27/02/2016,0.58,15.0,5.834942558067143,-9.165057441932857,11.0,-4.0
05/03/2016,0.67,3.0,6.5097260522717235,3.5097260522717235,11.0,8.0
12/03/2016,0.81,7.0,7.007379525568485,0.007379525568484979,10.0,3.0
19/03/2016,1.0,6.0,6.557589175191522,0.5575891751915218,9.0,3.0
26/03/2016,0.65,14.0,4.7064254757604,-9.293574524239599,3.0,-11.0
02/04/2016,0.45,10.0,4.54919086388588,-5.45080913611412,15.0,5.0
09/04/2016,0.67,11.0,3.618961529660225,-7.3810384703397744,3.0,-8.0
16/04/2016,1.0,1.0,4.131437424799502,3.1314374247995023,7.0,6.0
23/04/2016,0.99,5.0,5.7630705095636845,0.7630705095636845,6.0,1.0
30/04/2016,0.73,3.0,5.922305314487219,2.922305314487219,14.0,11.0
07/05/2016,1.0,0.0,5.41028155239284,5.41028155239284,10.0,10.0
14/05/2016,1.0,1.0,5.45432039950639,4.45432039950639,11.0,10.0
21/05/2016,1.0,0.0,5.291562222453952,5.291562222453952,1.0,1.0
28/05/2016,1.0,10.0,5.674356019182206,-4.325643980817794,5.0,-5.0
04/06/2016,1.0,7.0,5.349050375404358,-1.6509496245956417,3.0,-4.0
11/06/2016,1.0,0.0,5.352390250717104,5.352390250717104,0.0,0.0
18/06/2016,1.0,58.99999999999999,5.39651618106544,-53.60348381893455,1.0,-57.99999999999999
25/06/2016,1.0,43.0,5.1898353974673155,-37.81016460253269,0.0,-43.0
02/07/2016,0.59,45.0,6.562107395524978,-38.437892604475024,10.0,-35.0
09/07/2016,0.44,55.00000000000001,7.119602601698041,-47.880397398301966,7.0,-48.00000000000001
16/07/2016,1.0,45.0,6.786471129722595,-38.21352887027741,0.0,-45.0
23/07/2016,0.75,46.0,12.600012594076395,-33.3999874059236,58.99999999999999,12.999999999999993
30/07/2016,0.64,21.0,15.487086187084913,-5.512913812915087,43.0,22.0
06/08/2016,0.34,20.0,16.888381394486427,-3.1116186055135735,45.0,25.0
13/08/2016,0.14,16.0,18.207358064090013,2.2073580640900126,55.00000000000001,39.00000000000001
20/08/2016,0.21,15.0,17.684799563173055,2.684799563173055,45.0,30.0
27/08/2016,0.11,28.999999999999996,17.420164498059748,-11.579835501940249,46.0,17.000000000000004
03/09/2016,0.19,3.0,15.264414355734587,12.264414355734587,21.0,18.0
10/09/2016,0.14,2.0,11.684234411652088,9.684234411652088,20.0,18.0
17/09/2016,0.16,12.0,7.173250539500117,-4.826749460499883,16.0,4.0
24/09/2016,0.13,1.0,4.028386079362333,3.028386079362333,15.0,14.0
01/10/2016,0.11,47.0,3.9489665580010413,-43.05103344199896,28.999999999999996,-18.000000000000004
08/10/2016,0.16,105.0,2.1122989126642047,-102.8877010873358,3.0,-102.0
15/10/2016,0.08,3.0,0.9457427848620713,-2.0542572151379286,2.0,-1.0
22/10/2016,0.06,4.0,0.8328523945695162,-3.167147605430484,12.0,8.0
