Date,Searches,Observed,Predicted,error
31/01/2016,0.44,636.0,302.1771702243328,333.8228297756672
07/02/2016,0.62,854.9999999999999,280.3720194773197,574.6279805226802
14/02/2016,0.51,881.0,795.7160195895385,85.28398041046148
21/02/2016,0.58,980.0,771.3764011886597,208.62359881134034
28/02/2016,0.3,1243.0,939.1023194005585,303.8976805994415
06/03/2016,0.26,1257.0,1113.9961623107147,143.00383768928532
13/03/2016,0.77,1044.0,1166.135555052929,-122.13555505292902
20/03/2016,0.3,952.0,1129.314543590126,-177.31454359012605
27/03/2016,0.46,1212.0,1087.6376283159636,124.36237168403636
03/04/2016,0.56,1525.0,1181.2871012571145,343.7128987428855
10/04/2016,0.7,1531.0,1294.7791249886131,236.22087501138685
17/04/2016,0.5,1472.0,1414.2978898262786,57.702110173721394
24/04/2016,0.57,1247.0,1455.3512854047394,-208.35128540473943
01/05/2016,0.28,1077.0,1326.9196910472297,-249.91969104722966
08/05/2016,0.47,1164.0,1206.2792771041297,-42.27927710412973
15/05/2016,0.43,1260.0,1209.9157713835907,50.08422861640929
22/05/2016,0.23,786.0,1218.7923477119828,-432.79234771198276
29/05/2016,0.22,949.0,958.7152959761047,-9.715295976104699
05/06/2016,0.36,858.9999999999999,1054.0965627545547,-195.09656275455484
12/06/2016,0.27,809.0,887.2401931784058,-78.24019317840578
19/06/2016,0.16,730.0,875.9599950594711,-145.9599950594711
26/06/2016,0.31,519.0,806.0264448371315,-287.0264448371315
03/07/2016,0.04,506.99999999999994,620.7917750346088,-113.79177503460886
10/07/2016,0.31,301.0,578.5778813603592,-277.57788136035924
17/07/2016,0.57,268.0,348.54597001648904,-80.54597001648904
24/07/2016,0.47,319.0,297.0075927133894,21.992407286610614
31/07/2016,0.16,198.0,339.13146936129095,-141.13146936129095
07/08/2016,0.39,216.0,199.17338396524906,16.82661603475094
14/08/2016,0.22,144.0,194.27258163219452,-50.272581632194516
21/08/2016,0.33,110.0,155.7967153715968,-45.796715371596804
28/08/2016,0.28,80.0,116.35244013399601,-36.35244013399601
04/09/2016,0.31,188.0,98.8226031768632,89.1773968231368
11/09/2016,0.43,25.0,169.65467379050017,-144.65467379050017
18/09/2016,0.33,106.0,30.19199276530087,75.80800723469913
25/09/2016,0.3,108.0,71.44213835146665,36.55786164853335
02/10/2016,0.15,72.0,88.39747881505251,-16.39747881505251
09/10/2016,0.34,34.0,34.00303527244687,-0.0030352724468727388
16/10/2016,0.51,72.0,36.741677358844875,35.258322641155125
23/10/2016,0.15,91.0,64.91477652856946,26.085223471430538
30/10/2016,0.08,46.0,80.43776945664167,-34.437769456641675
06/11/2016,0.54,41.0,26.224674364905358,14.775325635094642
13/11/2016,0.22,37.0,35.35204226438284,1.6479577356171617
20/11/2016,0.1,-29.0,39.479961972936394,-68.4799619729364
27/11/2016,0.43,96.0,-21.105398707059027,117.10539870705902
04/12/2016,0.13,30.0,82.90898101098061,-52.90898101098061
11/12/2016,0.11,85.0,20.85020197724283,64.14979802275717
18/12/2016,0.21,26.0,30.147435217190385,-4.1474352171903845
25/12/2016,0.04,20.0,21.349611412811576,-1.3496114128115764
01/01/2017,0.05,12.0,7.497945193949192,4.502054806050808
08/01/2017,0.0,15.0,13.26809886553824,1.7319011344617596
15/01/2017,0.04,34.0,14.088976271865963,19.911023728134037
22/01/2017,0.02,44.0,31.618837977081537,12.381162022918463
29/01/2017,0.04,57.0,34.66482375345171,22.335176246548293
05/02/2017,0.02,52.0,39.8451171842289,12.154882815771103
12/02/2017,0.18,45.0,39.263985454716085,5.736014545283915
19/02/2017,0.15,35.0,36.302115661849975,-1.3021156618499745
26/02/2017,0.09,91.0,31.098119067365527,59.90188093263447
05/03/2017,0.0,17.0,85.7896028481555,-68.7896028481555
12/03/2017,0.39,29.0,5.974297169017792,23.02570283098221
19/03/2017,0.38,26.0,15.765382525061668,10.234617474938332
26/03/2017,0.0,29.0,25.1979259074831,3.8020740925169
02/04/2017,0.23,0.0,27.291982180179357,-27.291982180179357
09/04/2017,0.0,55.0,0.8769514919353463,54.123048508064656
16/04/2017,0.33,-13.0,50.59947354031682,-63.59947354031682
23/04/2017,0.14,28.0,-13.823019625624418,41.82301962562442
30/04/2017,0.12,22.0,16.51606199464917,5.483938005350829
07/05/2017,0.42,20.0,16.237098856025337,3.7629011439746627
14/05/2017,0.06,25.0,3.3665580040226875,21.633441995977314
21/05/2017,0.33,11.0,22.939145021062792,-11.939145021062792
28/05/2017,0.38,31.0,10.6223150228782,20.377684977121802
04/06/2017,0.06,16.0,24.857483031716942,-8.857483031716942
11/06/2017,0.0,18.0,15.81034154207021,2.1896584579297897
18/06/2017,0.06,9.0,15.327678309167027,-6.327678309167027
25/06/2017,0.0,8.0,8.861653921936304,-0.8616539219363037
02/07/2017,0.47,17.0,5.867643244036287,11.132356755963713
09/07/2017,0.0,18.0,14.308643004204034,3.6913569957959655
16/07/2017,0.0,15.0,13.821757473403812,1.178242526596188
23/07/2017,0.07,0.0,15.062714336022735,-15.062714336022735
30/07/2017,0.0,27.0,-2.8428000641164557,29.842800064116457
06/08/2017,0.32,20.0,25.408647582798004,-5.408647582798004
13/08/2017,0.17,18.0,16.81995057728976,1.1800494227102405
20/08/2017,0.0,9.0,6.143034409382194,2.856965590617806
27/08/2017,0.17,-19.0,10.916381366451233,-29.916381366451233
03/09/2017,0.0,-6.0,-17.913722342391907,11.913722342391907
10/09/2017,0.0,17.0,-5.480417555051744,22.480417555051744
17/09/2017,0.48,12.0,13.935633026423156,-1.9356330264231563
24/09/2017,0.94,14.0,15.039469011846483,-1.0394690118464833
01/10/2017,0.0,9.0,4.5130204996547105,4.4869795003452895
08/10/2017,0.12,6.0,9.67130188571304,-3.6713018857130404
15/10/2017,0.22,12.0,5.437832291647643,6.562167708352357
22/10/2017,0.0,5.0,8.408298606038093,-3.408298606038093
29/10/2017,0.27,3.0,3.9309428434231877,-0.9309428434231877
05/11/2017,0.0,6.0,1.769024234296903,4.230975765703097
12/11/2017,0.0,11.0,4.449793960337788,6.550206039662212
19/11/2017,0.29,69.0,10.842829377050698,58.1571706229493
26/11/2017,0.21,-12.0,61.349485232987405,-73.3494852329874
03/12/2017,0.14,24.0,-32.3116550542897,56.3116550542897
10/12/2017,0.01,8.0,19.394565120961367,-11.394565120961367
17/12/2017,0.1,-49.0,-0.10757671482076403,-48.892423285179234
24/12/2017,0.0,3.0,-54.539225326308014,57.539225326308014
