,Searches,Cases,predictions,error
4,0.4,143.0,28.206710569707454,114.79328943029255
5,0.3,143.0,55.52116525484145,87.47883474515855
6,0.65,144.0,125.6898488521409,18.310151147859102
7,0.7,261.0,98.51057566509128,162.48942433490873
8,0.56,261.0,64.81586595325888,196.18413404674112
9,0.67,263.0,110.91657251618743,152.08342748381256
10,1.0,332.0,247.38641826756,84.61358173244
11,0.89,332.0,345.0917839425802,-13.091783942580207
12,0.92,347.0,375.38221976353645,-28.382219763536455
13,0.87,347.0,462.7742950623655,-115.77429506236552
14,0.91,347.0,479.7064113900423,-132.70641139004232
15,1.0,228.0,463.29601966444494,-235.29601966444494
16,1.0,228.0,393.95735134160043,-165.95735134160043
17,1.0,228.0,379.05258404987336,-151.05258404987336
18,0.64,229.0,449.7822175610256,-220.78221756102562
19,1.0,73.0,272.51657051388025,-199.51657051388025
20,0.56,73.0,336.4596618059111,-263.4596618059111
21,0.44,73.0,295.1980886185026,-222.1980886185026
22,0.47,73.0,161.30584779777766,-88.30584779777766
23,0.34,73.0,76.86423694567918,-3.864236945679181
24,0.44,78.0,56.31654909777642,21.683450902223584
25,0.52,-15.0,60.145183198621275,-75.14518319862128
26,0.39,-15.0,61.7321831516403,-76.7321831516403
27,0.54,-15.0,50.29445609107316,-65.29445609107316
28,0.36,-15.0,28.868248102279306,-43.86824810227931
29,0.15,-15.0,-3.131027723721862,-11.868972276278138
30,0.5,-15.0,-9.739511185944826,-5.260488814055174
31,0.33,66.0,-3.5473713310071453,69.54737133100714
32,0.31,133.0,22.240682929911912,110.75931707008809
33,0.2,5.0,92.33963843469978,-87.33963843469978
34,0.17,5.0,69.1269701371783,-64.1269701371783
35,0.0,4.0,37.82021445757449,-33.82021445757449
36,0.48,4.0,9.918701723060162,-5.9187017230601615
37,0.45,4.0,14.533212713018507,-10.533212713018507
38,0.3,0.0,9.98805950960219,-9.98805950960219
39,0.1,11.0,0.5271677738584485,10.472832226141552
40,0.45,11.0,1.2186714694861696,9.78132853051383
41,0.24,10.0,14.634647341448218,-4.634647341448218
42,0.76,10.0,11.207079640413225,-1.207079640413225
43,0.12,6.0,15.349522494137883,-9.349522494137883
44,0.38,6.0,6.353025020550415,-0.3530250205504153
45,0.75,11.0,11.014327559888512,-0.014327559888512198
46,0.49,1.0,20.188403435729445,-19.188403435729445
47,0.17,3.0,10.732606080050468,-7.732606080050468
48,0.53,6.0,10.00061131729737,-4.00061131729737
49,0.25,2.0,15.621240497220606,-13.621240497220606
50,0.1,8.0,5.8386710719385,2.1613289280615
51,0.28,3.0,-1.2499109504806996,4.249910950480699
52,0.33,0.0,10.885319218784124,-10.885319218784124
53,0.42,0.0,8.998950359467566,-8.998950359467566
54,0.28,0.0,3.73098624212224,-3.73098624212224
55,0.28,1.0,1.7331782345052436,-0.7331782345052436
56,0.0,18.0,1.2594520663317665,16.740547933668232
57,0.77,18.0,5.360529396246225,12.639470603753775
58,0.46,19.0,23.550750345927476,-4.550750345927476
59,0.09,16.0,17.292939335075765,-1.292939335075765
60,0.36,16.0,11.494284777947069,4.505715222052931
61,0.18,16.0,21.16542287829429,-5.16542287829429
62,0.09,13.0,12.296713822342456,0.7032861776575441
63,0.09,14.0,9.484304656643122,4.515695343356878
64,0.11,45.0,16.485585742842854,28.514414257157146
65,0.32,45.0,33.752187457001504,11.247812542998496
66,0.13,46.0,47.0092517377013,-1.0092517377012982
67,0.13,7.0,33.80209009808332,-26.80209009808332
68,0.15,7.0,27.138483202165364,-20.138483202165364
69,0.33,7.0,12.708659915849715,-5.708659915849715
70,0.09,9.0,14.00844534329623,-5.008445343296231
71,0.11,17.0,8.936405159650146,8.063594840349854
72,0.17,17.0,11.635792770976275,5.364207229023725
73,0.09,17.0,25.274536108527183,-8.274536108527183
74,0.13,17.0,21.572692685430944,-4.572692685430944
75,0.06,17.0,21.269016755616963,-4.269016755616963
76,0.12,20.0,23.199089021150172,-3.199089021150172
77,0.22,10.0,25.39338659179598,-15.39338659179598
78,0.22,10.0,24.238465902759135,-14.238465902759135
79,0.29,10.0,14.222222457969039,-4.222222457969039
80,0.2,10.0,11.4101585634695,-1.4101585634694995
81,0.04,10.0,9.275751463929712,0.7242485360702879
82,0.11,11.0,7.852674489368126,3.147325510631874
83,0.42,6.0,17.45179538044259,-11.45179538044259
84,0.34,12.0,19.75004044453412,-7.750040444534122
85,0.04,-18.0,10.135193024022579,-28.135193024022577
86,0.11,-17.0,-1.7785219396997616,-15.221478060300239
87,0.06,8.0,-5.629002267297059,13.629002267297059
88,0.67,8.0,8.425185772836953,-0.4251857728369526
89,0.22,8.0,4.691295758199841,3.308704241800159
90,0.26,2.0,8.81338847344488,-6.8133884734448795
91,0.1,4.0,2.4789520302301273,1.5210479697698727
92,0.0,4.0,3.408784061118178,0.5912159388818221
93,0.15,15.0,8.42593994527638,6.5740600547236205
94,0.47,15.0,22.559325479588807,-7.559325479588807
95,0.32,-2.0,21.606293518928588,-23.606293518928588
96,0.54,-1.0,7.598370776451379,-8.598370776451379
97,0.26,9.0,9.924907216617763,-0.924907216617763
98,0.0,0.0,5.359874319770485,-5.359874319770485
99,0.22,0.0,-1.6021428593857587,1.6021428593857587
100,0.29,0.0,9.275357166305781,-9.275357166305781
101,0.21,0.0,11.622115441756696,-11.622115441756696
102,0.22,0.0,2.29667595774021,-2.29667595774021
103,0.61,0.0,3.0272925042615086,-3.0272925042615086
