Date,Observed,Predicted,error
04/01/2016,28,,
11/01/2016,28,28.0,0.0
18/01/2016,28,28.0,0.0
25/01/2016,29,28.0,-1.0
01/02/2016,143,29.0,-114.0
08/02/2016,143,143.0,0.0
15/02/2016,144,143.0,-1.0
22/02/2016,261,144.0,-117.0
29/02/2016,261,261.0,0.0
07/03/2016,263,261.0,-2.0
14/03/2016,332,263.0,-69.0
21/03/2016,332,332.0,0.0
28/03/2016,347,332.0,-15.0
04/04/2016,347,347.0,0.0
11/04/2016,347,347.0,0.0
18/04/2016,228,347.0,119.0
25/04/2016,228,228.0,0.0
02/05/2016,228,228.0,0.0
09/05/2016,229,228.0,-1.0
16/05/2016,73,229.0,156.0
23/05/2016,73,73.0,0.0
30/05/2016,73,73.0,0.0
06/06/2016,73,73.0,0.0
13/06/2016,73,73.0,0.0
20/06/2016,78,73.0,-5.0
27/06/2016,-15,78.0,93.0
04/07/2016,-15,-15.0,0.0
11/07/2016,-15,-15.0,0.0
18/07/2016,-15,-15.0,0.0
25/07/2016,-15,-15.0,0.0
01/08/2016,-15,-15.0,0.0
08/08/2016,66,-15.0,-81.0
15/08/2016,133,66.0,-67.0
22/08/2016,5,133.0,128.0
29/08/2016,5,5.0,0.0
05/09/2016,4,5.0,1.0
12/09/2016,4,4.0,0.0
19/09/2016,4,4.0,0.0
26/09/2016,0,4.0,4.0
03/10/2016,11,0.0,-11.0
10/10/2016,11,11.0,0.0
17/10/2016,10,11.0,1.0
24/10/2016,10,10.0,0.0
31/10/2016,6,10.0,4.0
07/11/2016,6,6.0,0.0
14/11/2016,11,6.0,-5.0
21/11/2016,1,11.0,10.0
28/11/2016,3,1.0,-2.0
05/12/2016,6,3.0,-3.0
12/12/2016,2,6.0,4.0
19/12/2016,8,2.0,-6.0
26/12/2016,3,8.0,5.0
02/01/2017,0,3.0,3.0
09/01/2017,0,0.0,0.0
16/01/2017,0,0.0,0.0
23/01/2017,1,0.0,-1.0
30/01/2017,18,1.0,-17.0
06/02/2017,18,18.0,0.0
13/02/2017,19,18.0,-1.0
20/02/2017,16,19.0,3.0
27/02/2017,16,16.0,0.0
06/03/2017,16,16.0,0.0
13/03/2017,13,16.0,3.0
20/03/2017,14,13.0,-1.0
27/03/2017,45,14.0,-31.0
03/04/2017,45,45.0,0.0
10/04/2017,46,45.0,-1.0
17/04/2017,7,46.0,39.0
24/04/2017,7,7.0,0.0
01/05/2017,7,7.0,0.0
08/05/2017,9,7.0,-2.0
15/05/2017,17,9.0,-8.0
22/05/2017,17,17.0,0.0
29/05/2017,17,17.0,0.0
05/06/2017,17,17.0,0.0
12/06/2017,17,17.0,0.0
19/06/2017,20,17.0,-3.0
26/06/2017,10,20.0,10.0
03/07/2017,10,10.0,0.0
10/07/2017,10,10.0,0.0
17/07/2017,10,10.0,0.0
24/07/2017,10,10.0,0.0
31/07/2017,11,10.0,-1.0
07/08/2017,6,11.0,5.0
14/08/2017,12,6.0,-6.0
21/08/2017,-18,12.0,30.0
28/08/2017,-17,-18.0,-1.0
04/09/2017,8,-17.0,-25.0
11/09/2017,8,8.0,0.0
18/09/2017,8,8.0,0.0
25/09/2017,2,8.0,6.0
02/10/2017,4,2.0,-2.0
09/10/2017,4,4.0,0.0
16/10/2017,15,4.0,-11.0
23/10/2017,15,15.0,0.0
30/10/2017,-2,15.0,17.0
06/11/2017,-1,-2.0,-1.0
13/11/2017,9,-1.0,-10.0
20/11/2017,0,9.0,9.0
27/11/2017,0,0.0,0.0
04/12/2017,0,0.0,0.0
11/12/2017,0,0.0,0.0
18/12/2017,0,0.0,0.0
25/12/2017,0,,
