Date,Observed,Predicted,error
04/01/2016,175,,
11/01/2016,175,175.0,0.0
18/01/2016,175,175.0,0.0
25/01/2016,177,175.0,-2.0
01/02/2016,949,177.0,-772.0
08/02/2016,949,949.0,0.0
15/02/2016,951,949.0,-2.0
22/02/2016,1607,951.0,-656.0
29/02/2016,1607,1607.0,0.0
07/03/2016,1607,1607.0,0.0
14/03/2016,1018,1607.0,589.0
21/03/2016,1019,1018.0,-1.0
28/03/2016,640,1019.0,379.0
04/04/2016,640,640.0,0.0
11/04/2016,642,640.0,-2.0
18/04/2016,337,642.0,305.0
25/04/2016,337,337.0,0.0
02/05/2016,337,337.0,0.0
09/05/2016,339,337.0,-2.0
16/05/2016,-3,339.0,342.0
23/05/2016,-3,-3.0,0.0
30/05/2016,-3,-3.0,0.0
06/06/2016,-3,-3.0,0.0
13/06/2016,-3,-3.0,0.0
20/06/2016,2,-3.0,-5.0
27/06/2016,54,2.0,-52.0
04/07/2016,54,54.0,0.0
11/07/2016,54,54.0,0.0
18/07/2016,54,54.0,0.0
25/07/2016,54,54.0,0.0
01/08/2016,57,54.0,-3.0
08/08/2016,-93,57.0,150.0
15/08/2016,-186,-93.0,93.0
22/08/2016,3,-186.0,-189.0
29/08/2016,3,3.0,0.0
05/09/2016,5,3.0,-2.0
12/09/2016,5,5.0,0.0
19/09/2016,5,5.0,0.0
26/09/2016,2,5.0,3.0
03/10/2016,8,2.0,-6.0
10/10/2016,8,8.0,0.0
17/10/2016,10,8.0,-2.0
24/10/2016,10,10.0,0.0
31/10/2016,12,10.0,-2.0
07/11/2016,13,12.0,-1.0
14/11/2016,9,13.0,4.0
21/11/2016,12,9.0,-3.0
28/11/2016,9,12.0,3.0
05/12/2016,11,9.0,-2.0
12/12/2016,11,11.0,0.0
19/12/2016,11,11.0,0.0
26/12/2016,2,11.0,9.0
02/01/2017,11,2.0,-9.0
09/01/2017,11,11.0,0.0
16/01/2017,11,11.0,0.0
23/01/2017,12,11.0,-1.0
30/01/2017,25,12.0,-13.0
06/02/2017,25,25.0,0.0
13/02/2017,27,25.0,-2.0
20/02/2017,54,27.0,-27.0
27/02/2017,54,54.0,0.0
06/03/2017,54,54.0,0.0
13/03/2017,37,54.0,17.0
20/03/2017,37,37.0,0.0
27/03/2017,65,37.0,-28.0
03/04/2017,65,65.0,0.0
10/04/2017,67,65.0,-2.0
17/04/2017,25,67.0,42.0
24/04/2017,25,25.0,0.0
01/05/2017,25,25.0,0.0
08/05/2017,27,25.0,-2.0
15/05/2017,33,27.0,-6.0
22/05/2017,33,33.0,0.0
29/05/2017,33,33.0,0.0
05/06/2017,33,33.0,0.0
12/06/2017,33,33.0,0.0
19/06/2017,33,33.0,0.0
26/06/2017,-14,33.0,47.0
03/07/2017,-14,-14.0,0.0
10/07/2017,-14,-14.0,0.0
17/07/2017,-14,-14.0,0.0
24/07/2017,-14,-14.0,0.0
31/07/2017,-9,-14.0,-5.0
07/08/2017,1,-9.0,-10.0
14/08/2017,3,1.0,-2.0
21/08/2017,-7,3.0,10.0
28/08/2017,-6,-7.0,-1.0
04/09/2017,-21,-6.0,15.0
11/09/2017,-21,-21.0,0.0
18/09/2017,-21,-21.0,0.0
25/09/2017,1,-21.0,-22.0
02/10/2017,3,1.0,-2.0
09/10/2017,4,3.0,-1.0
16/10/2017,2,4.0,2.0
23/10/2017,2,2.0,0.0
30/10/2017,3,2.0,-1.0
06/11/2017,3,3.0,0.0
13/11/2017,0,3.0,3.0
20/11/2017,10,0.0,-10.0
27/11/2017,3,10.0,7.0
04/12/2017,3,3.0,0.0
11/12/2017,3,3.0,0.0
18/12/2017,9,3.0,-6.0
25/12/2017,8,,
