Week,Cases,Prediction,Error
25/01/2016,0,,
01/02/2016,46,0,-46
08/02/2016,46,46,0
15/02/2016,48,46,-2
22/02/2016,83,48,-35
29/02/2016,83,83,0
07/03/2016,83,83,0
14/03/2016,120,83,-37
21/03/2016,121,120,-1
28/03/2016,158,121,-37
04/04/2016,158,158,0
11/04/2016,160,158,-2
18/04/2016,264,160,-104
25/04/2016,264,264,0
02/05/2016,264,264,0
09/05/2016,264,264,0
16/05/2016,206,264,58
23/05/2016,206,206,0
30/05/2016,206,206,0
06/06/2016,206,206,0
13/06/2016,206,206,0
20/06/2016,206,206,0
27/06/2016,45,206,161
04/07/2016,45,45,0
11/07/2016,45,45,0
18/07/2016,45,45,0
25/07/2016,45,45,0
01/08/2016,49,45,-4
08/08/2016,81,49,-32
15/08/2016,163,81,-82
22/08/2016,21,163,142
29/08/2016,21,21,0
05/09/2016,21,21,0
12/09/2016,21,21,0
19/09/2016,21,21,0
26/09/2016,1,21,20
03/10/2016,20,1,-19
10/10/2016,21,20,-1
17/10/2016,30,21,-9
24/10/2016,30,30,0
31/10/2016,17,30,13
07/11/2016,17,17,0
14/11/2016,20,17,-3
21/11/2016,15,20,5
28/11/2016,30,15,-15
05/12/2016,10,30,20
12/12/2016,7,10,3
19/12/2016,3,7,4
26/12/2016,2,3,1
