Week,Cases,Prediction,Error
25/01/2016,0,,
01/02/2016,219,0,-219
08/02/2016,219,219,0
15/02/2016,220,219,-1
22/02/2016,357,220,-137
29/02/2016,357,357,0
07/03/2016,357,357,0
14/03/2016,356,357,1
21/03/2016,356,356,0
28/03/2016,403,356,-47
04/04/2016,403,403,0
11/04/2016,404,403,-1
18/04/2016,225,404,179
25/04/2016,225,225,0
02/05/2016,225,225,0
09/05/2016,227,225,-2
16/05/2016,-2,227,229
23/05/2016,-2,-2,0
30/05/2016,-2,-2,0
06/06/2016,-2,-2,0
13/06/2016,-2,-2,0
20/06/2016,3,-2,-5
27/06/2016,53,3,-50
04/07/2016,53,53,0
11/07/2016,53,53,0
18/07/2016,53,53,0
25/07/2016,53,53,0
01/08/2016,53,53,0
08/08/2016,-61,53,114
15/08/2016,-120,-61,59
22/08/2016,10,-120,-130
29/08/2016,11,10,-1
05/09/2016,9,11,2
12/09/2016,9,9,0
19/09/2016,9,9,0
26/09/2016,1,9,8
03/10/2016,5,1,-4
10/10/2016,6,5,-1
17/10/2016,16,6,-10
24/10/2016,16,16,0
31/10/2016,12,16,4
07/11/2016,12,12,0
14/11/2016,14,12,-2
21/11/2016,17,14,-3
28/11/2016,19,17,-2
05/12/2016,10,19,9
12/12/2016,19,10,-9
19/12/2016,16,19,3
26/12/2016,3,16,13
