Date,Cases,Prediction,Error
25/10/2015,0,,
01/11/2015,5,0,-5
08/11/2015,28,5,-23
15/11/2015,52,28,-24
22/11/2015,50,52,2
29/11/2015,116,50,-66
06/12/2015,91,116,25
13/12/2015,123,91,-32
20/12/2015,110,123,13
27/12/2015,90,110,20
03/01/2016,84,90,6
10/01/2016,123,84,-39
17/01/2016,0,123,123
24/01/2016,721,0,-721
31/01/2016,389,721,332
07/02/2016,357,389,32
14/02/2016,242,357,115
21/02/2016,175,242,67
28/02/2016,104,175,71
06/03/2016,84,104,20
13/03/2016,27,84,57
20/03/2016,33,27,-6
27/03/2016,31,33,2
03/04/2016,24,31,7
10/04/2016,16,24,8
17/04/2016,12,16,4
24/04/2016,9,12,3
01/05/2016,15,9,-6
08/05/2016,12,15,3
15/05/2016,17,12,-5
22/05/2016,11,17,6
29/05/2016,7,11,4
05/06/2016,3,7,4
12/06/2016,-1,3,4
19/06/2016,5,-1,-6
26/06/2016,4,5,1
03/07/2016,4,4,0
10/07/2016,7,4,-3
17/07/2016,2,7,5
24/07/2016,1,2,1
31/07/2016,4,1,-3
07/08/2016,1,4,3
14/08/2016,2,1,-1
21/08/2016,1,2,1
28/08/2016,1,1,0
04/09/2016,6,1,-5
11/09/2016,7,6,-1
18/09/2016,2,7,5
25/09/2016,0,2,2
02/10/2016,1,0,-1
09/10/2016,0,1,1
16/10/2016,1,0,-1
23/10/2016,1,1,0
30/10/2016,1,1,0
06/11/2016,1,1,0
13/11/2016,7,1,-6
20/11/2016,1,7,6
27/11/2016,135,1,-134
04/12/2016,0,135,135
11/12/2016,7,0,-7
18/12/2016,5,7,2
25/12/2016,0,5,5
01/01/2017,0,0,0
08/01/2017,0,0,0
15/01/2017,0,0,0
22/01/2017,0,0,0
29/01/2017,1,0,-1
05/02/2017,1,1,0
12/02/2017,0,1,1
19/02/2017,1,0,-1
26/02/2017,0,1,1
05/03/2017,0,0,0
12/03/2017,0,0,0
19/03/2017,0,0,0
26/03/2017,1,0,-1
02/04/2017,0,1,1
09/04/2017,0,0,0
16/04/2017,1,0,-1
23/04/2017,0,1,1
30/04/2017,0,0,0
07/05/2017,1,0,-1
14/05/2017,0,1,1
21/05/2017,0,0,0
28/05/2017,7,0,-7
04/06/2017,0,7,7
11/06/2017,1,0,-1
18/06/2017,0,1,1
25/06/2017,-9,0,9
02/07/2017,0,-9,-9
09/07/2017,0,0,0
16/07/2017,0,0,0
23/07/2017,0,0,0
30/07/2017,0,0,0
06/08/2017,1,0,-1
13/08/2017,0,1,1
20/08/2017,0,0,0
27/08/2017,1,0,-1
03/09/2017,2,1,-1
10/09/2017,3,2,-1
17/09/2017,2,3,1
24/09/2017,1,2,1
01/10/2017,0,1,1
08/10/2017,0,0,0
15/10/2017,0,0,0
22/10/2017,-1,0,1
29/10/2017,0,-1,-1
05/11/2017,0,0,0
12/11/2017,20,0,-20
19/11/2017,-18,20,38
26/11/2017,0,-18,-18
03/12/2017,1,0,-1
10/12/2017,0,1,1
17/12/2017,0,0,0
24/12/2017,-1,0,1
