Date,Observed,Predicted,error
31/12/2016,3,0,-3
07/01/2017,0,3,3
14/01/2017,1,0,-1
21/01/2017,1,1,0
28/01/2017,1,1,0
04/02/2017,1,1,0
11/02/2017,0,1,1
18/02/2017,1,0,-1
25/02/2017,1,1,0
04/03/2017,0,1,1
11/03/2017,0,0,0
18/03/2017,1,0,-1
25/03/2017,1,1,0
01/04/2017,2,1,-1
08/04/2017,0,2,2
15/04/2017,0,0,0
22/04/2017,0,0,0
29/04/2017,0,0,0
06/05/2017,0,0,0
13/05/2017,0,0,0
20/05/2017,0,0,0
27/05/2017,1,0,-1
03/06/2017,0,1,1
10/06/2017,2,0,-2
17/06/2017,0,2,2
24/06/2017,0,0,0
01/07/2017,0,0,0
08/07/2017,1,0,-1
15/07/2017,0,1,1
22/07/2017,0,0,0
29/07/2017,0,0,0
05/08/2017,1,0,-1
12/08/2017,0,1,1
19/08/2017,0,0,0
26/08/2017,2,0,-2
02/09/2017,0,2,2
09/09/2017,0,0,0
16/09/2017,1,0,-1
23/09/2017,1,1,0
30/09/2017,0,1,1
07/10/2017,0,0,0
14/10/2017,1,0,-1
21/10/2017,1,1,0
28/10/2017,0,1,1
04/11/2017,0,0,0
11/11/2017,0,0,0
18/11/2017,0,0,0
25/11/2017,0,0,0
02/12/2017,3,0,-3
09/12/2017,0,3,3
16/12/2017,0,0,0
23/12/2017,0,0,0
