Date,Cases,Prediction,Error
02/01/2016,0,,
09/01/2016,0,0,0
16/01/2016,0,0,0
23/01/2016,0,0,0
30/01/2016,1,0,-1
06/02/2016,0,1,1
13/02/2016,0,0,0
20/02/2016,0,0,0
27/02/2016,0,0,0
05/03/2016,0,0,0
12/03/2016,0,0,0
19/03/2016,0,0,0
26/03/2016,0,0,0
02/04/2016,0,0,0
09/04/2016,0,0,0
16/04/2016,0,0,0
23/04/2016,0,0,0
30/04/2016,0,0,0
07/05/2016,0,0,0
14/05/2016,0,0,0
21/05/2016,0,0,0
28/05/2016,1,0,-1
04/06/2016,3,1,-2
11/06/2016,0,3,3
18/06/2016,0,0,0
25/06/2016,1,0,-1
02/07/2016,0,1,1
09/07/2016,2,0,-2
16/07/2016,1,2,1
23/07/2016,5,1,-4
30/07/2016,11,5,-6
06/08/2016,7,11,4
13/08/2016,8,7,-1
20/08/2016,8,8,0
27/08/2016,12,8,-4
03/09/2016,19,12,-7
10/09/2016,30,19,-11
17/09/2016,1,30,29
24/09/2016,168,1,-167
01/10/2016,101,168,67
08/10/2016,73,101,28
15/10/2016,0,73,73
22/10/2016,188,0,-188
29/10/2016,8,188,180
05/11/2016,32,8,-24
12/11/2016,75,32,-43
19/11/2016,0,75,75
26/11/2016,2,0,-2
03/12/2016,15,2,-13
10/12/2016,26,15,-11
17/12/2016,8,26,18
24/12/2016,16,8,-8
31/12/2016,1,16,15
07/01/2017,0,1,1
14/01/2017,0,0,0
21/01/2017,2,0,-2
28/01/2017,1,2,1
04/02/2017,1,1,0
11/02/2017,0,1,1
18/02/2017,2,0,-2
25/02/2017,0,2,2
04/03/2017,1,0,-1
11/03/2017,0,1,1
18/03/2017,2,0,-2
25/03/2017,0,2,2
01/04/2017,2,0,-2
08/04/2017,0,2,2
15/04/2017,0,0,0
22/04/2017,0,0,0
29/04/2017,0,0,0
06/05/2017,0,0,0
13/05/2017,0,0,0
20/05/2017,0,0,0
27/05/2017,0,0,0
03/06/2017,0,0,0
10/06/2017,0,0,0
17/06/2017,0,0,0
24/06/2017,0,0,0
01/07/2017,0,0,0
08/07/2017,1,0,-1
15/07/2017,0,1,1
22/07/2017,0,0,0
29/07/2017,0,0,0
05/08/2017,3,0,-3
12/08/2017,0,3,3
19/08/2017,0,0,0
26/08/2017,0,0,0
02/09/2017,0,0,0
09/09/2017,0,0,0
16/09/2017,0,0,0
23/09/2017,0,0,0
30/09/2017,0,0,0
07/10/2017,0,0,0
14/10/2017,0,0,0
21/10/2017,0,0,0
28/10/2017,0,0,0
04/11/2017,0,0,0
11/11/2017,0,0,0
18/11/2017,0,0,0
25/11/2017,0,0,0
02/12/2017,0,0,0
09/12/2017,0,0,0
16/12/2017,0,0,0
23/12/2017,0,0,0
30/12/2017,0,0,0
06/01/2018,0,0,0
13/01/2018,0,0,0
20/01/2018,0,0,0
27/01/2018,0,0,0
03/02/2018,0,0,0
10/02/2018,0,0,0
17/02/2018,0,0,0
24/02/2018,0,0,0
03/03/2018,0,0,0
10/03/2018,0,0,0
17/03/2018,0,0,0
24/03/2018,0,0,0
31/03/2018,0,0,0
07/04/2018,0,0,0
14/04/2018,0,0,0
21/04/2018,0,0,0
28/04/2018,0,0,0
05/05/2018,0,0,0
