Date,Searches,Observed,Pure-LSTM-Prediction,Pure-LSTMError,Naive-Prediction,NaiveError
31/01/2016,0.55,226.0,13.909773544400931,-212.09022645559907,178.99999999999997,-47.00000000000003
07/02/2016,0.7,270.99999999999994,15.722561698940396,-255.27743830105953,226.0,-44.99999999999994
14/02/2016,0.38,273.99999999999994,15.932008859574795,-258.06799114042514,270.99999999999994,-3.0
21/02/2016,0.43,263.0,16.781058009678127,-246.21894199032187,273.99999999999994,10.999999999999943
28/02/2016,0.27,312.0,16.785137885919212,-295.2148621140808,263.0,-49.0
06/03/2016,0.23,360.99999999999994,16.78736762858033,-344.2126323714196,312.0,-48.99999999999994
13/03/2016,0.53,181.99999999999997,16.78729146106243,-165.21270853893753,360.99999999999994,178.99999999999997
20/03/2016,0.21,443.0,16.787031017291547,-426.21296898270845,181.99999999999997,-261.0
27/03/2016,0.36,468.99999999999994,16.78759858815074,-452.2124014118492,443.0,-25.999999999999943
03/04/2016,0.37,541.0,16.787859031921624,-524.2121409680784,468.99999999999994,-72.00000000000006
10/04/2016,0.54,468.99999999999994,16.78132582449913,-452.21867417550084,541.0,72.00000000000006
17/04/2016,0.36,549.0,16.78809244850874,-532.2119075514912,468.99999999999994,-80.00000000000006
24/04/2016,0.83,488.0,16.78816124497652,-471.21183875502345,549.0,61.0
01/05/2016,0.3,541.0,16.788207928293943,-524.2117920717061,488.0,-53.0
08/05/2016,0.56,549.0,16.78819564321041,-532.2118043567896,541.0,-8.0
15/05/2016,0.39,553.9999999999999,16.788209156802296,-537.2117908431976,549.0,-4.999999999999886
22/05/2016,0.27,405.99999999999994,16.788269353711605,-389.21173064628834,553.9999999999999,147.99999999999994
29/05/2016,0.23,464.0,16.78819564321041,-447.21180435678957,405.99999999999994,-58.00000000000006
05/06/2016,0.5,483.0,16.788244783544542,-466.21175521645546,464.0,-19.0
12/06/2016,0.41,278.0,16.788216527852416,-261.2117834721476,483.0,205.0
19/06/2016,0.16,281.0,16.78802365204096,-264.211976347959,278.0,-3.0
26/06/2016,0.42,246.0,16.78813053226769,-229.2118694677323,281.0,35.0
03/07/2016,0.04,166.99999999999997,16.788204242768884,-150.21179575723107,246.0,79.00000000000003
