Date,Searches,Observed,GRU-Prediction,GRUError,Naive-Prediction,NaiveError
29/02/2016,0.79,5152.0,728.7757722467804,-4423.22422775322,1424.0,-3728.0
07/03/2016,0.84,5153.0,4984.337566588401,-168.6624334115986,3955.0,-1198.0
14/03/2016,0.71,2997.0,3831.62245265707,834.62245265707,3955.0,958.0
21/03/2016,0.88,2997.0,3994.9200215779306,997.9200215779306,3955.0,958.0
28/03/2016,0.65,1881.0,5869.595745233879,3988.595745233879,5152.0,3271.0
04/04/2016,0.74,1881.0,5735.667821554756,3854.6678215547563,5152.0,3271.0
11/04/2016,0.54,1881.0,5683.466825786782,3802.4668257867816,5153.0,3272.0
18/04/2016,0.61,731.0,2108.0549439623355,1377.0549439623355,2997.0,2266.0
25/04/2016,0.42,731.0,1721.2716424057578,990.2716424057578,2997.0,2266.0
02/05/2016,0.35,731.0,1128.2605307700967,397.2605307700967,1881.0,1150.0
09/05/2016,0.35,733.0,932.9915348059272,199.99153480592724,1881.0,1148.0
16/05/2016,0.74,206.0,912.179694938178,706.179694938178,1881.0,1675.0
23/05/2016,0.38,206.0,871.5088823924732,665.5088823924732,731.0,525.0
30/05/2016,0.46,206.0,-24.874615641347617,-230.87461564134762,731.0,525.0
06/06/2016,0.29,206.0,-28.017550442444385,-234.0175504424444,731.0,525.0
13/06/2016,0.27,206.0,-28.017550442444385,-234.0175504424444,733.0,527.0
20/06/2016,0.22,211.0,-28.017550442444385,-239.0175504424444,206.0,-5.0
27/06/2016,0.32,145.0,-28.017550442444385,-173.0175504424444,206.0,61.0
04/07/2016,0.43,145.0,-27.345783372261376,-172.34578337226137,206.0,61.0
11/07/2016,0.44,145.0,33.642644183712896,-111.35735581628711,206.0,61.0
18/07/2016,0.5,145.0,17.764803195940853,-127.23519680405914,206.0,61.0
25/07/2016,0.42,145.0,17.846335240817368,-127.15366475918263,211.0,66.0
01/08/2016,0.54,147.0,13.68088414961338,-133.31911585038662,145.0,-2.0
08/08/2016,0.29,2.9999999999999996,26.484844946399033,23.484844946399033,145.0,142.0
15/08/2016,0.43,7.0,23.5010848972255,16.5010848972255,145.0,138.0
22/08/2016,0.21,67.0,39.86460608905583,-27.135393910944167,145.0,78.0
29/08/2016,0.26,67.0,40.569305629998745,-26.430694370001255,145.0,78.0
05/09/2016,0.45,65.0,44.49029777662009,-20.50970222337991,147.0,82.0
12/09/2016,0.79,65.0,4.5674362206462025,-60.4325637793538,2.9999999999999996,-62.0
19/09/2016,0.4,65.0,-2.2419185895314815,-67.24191858953148,7.0,-58.0
26/09/2016,0.3,1.0,53.77285987640887,52.77285987640887,67.0,66.0
03/10/2016,0.28,69.0,60.392060135571064,-8.607939864428936,67.0,-2.0
10/10/2016,0.31,69.0,58.76682452588886,-10.233175474111142,65.0,-4.0
17/10/2016,0.76,136.0,82.5914812947464,-53.4085187052536,65.0,-71.0
24/10/2016,0.81,137.0,58.12645797094196,-78.87354202905803,65.0,-72.0
31/10/2016,0.32,95.99999999999999,88.65877514120697,-7.341224858793012,1.0,-94.99999999999999
07/11/2016,0.25,97.0,98.54701300608158,1.5470130060815848,69.0,-28.0
14/11/2016,0.45,91.0,44.3240417317757,-46.6759582682243,69.0,-22.0
21/11/2016,0.25,99.0,125.5602820021534,26.5602820021534,136.0,37.0
28/11/2016,0.43,124.0,134.88613213474272,10.886132134742724,137.0,13.0
05/12/2016,0.15,93.99999999999999,112.63290046616912,18.632900466169133,95.99999999999999,2.0
12/12/2016,0.26,81.99999999999999,51.302259197689,-30.69774080231099,97.0,15.000000000000014
19/12/2016,0.32,68.0,29.120293185481728,-38.87970681451827,91.0,23.0
26/12/2016,0.35,29.0,30.15818619334638,1.1581861933463813,99.0,70.0
02/01/2017,0.24,14.0,33.34907577533931,19.34907577533931,124.0,110.0
09/01/2017,0.21,14.0,35.0834597863403,21.0834597863403,93.99999999999999,79.99999999999999
16/01/2017,0.13,14.0,9.021187622422575,-4.978812377577425,81.99999999999999,67.99999999999999
23/01/2017,0.21,16.0,11.447023188836873,-4.552976811163127,68.0,52.0
30/01/2017,0.31,89.0,0.3623440653885901,-88.63765593461142,29.0,-60.0
06/02/2017,0.55,89.0,-8.060393134418577,-97.06039313441858,14.0,-75.0
13/02/2017,0.53,89.0,-6.8525239449375865,-95.85252394493759,14.0,-75.0
20/02/2017,0.34,66.0,13.657456662603318,-52.342543337396684,14.0,-52.0
27/02/2017,0.3,66.0,-1.0857951992428303,-67.08579519924282,16.0,-50.0
06/03/2017,0.15,66.0,45.82407770465106,-20.17592229534894,89.0,23.0
13/03/2017,0.05,77.0,73.96290872156233,-3.0370912784376713,89.0,12.0
20/03/2017,0.18,78.0,85.85268992178202,7.852689921782016,89.0,11.0
27/03/2017,0.15,107.99999999999999,40.61930682909459,-67.3806931709054,66.0,-41.999999999999986
03/04/2017,0.18,107.99999999999999,35.54945779166907,-72.45054220833092,66.0,-41.999999999999986
10/04/2017,0.15,108.99999999999999,24.67207511559725,-84.32792488440273,66.0,-42.999999999999986
17/04/2017,0.14,26.999999999999996,10.51376045674622,-16.486239543253774,77.0,50.0
24/04/2017,0.23,26.999999999999996,3.826301289745718,-23.17369871025428,78.0,51.0
01/05/2017,0.19,26.999999999999996,3.0023310085231065,-23.99766899147689,107.99999999999999,80.99999999999999
08/05/2017,0.11,26.999999999999996,-2.9477087913472952,-29.947708791347292,107.99999999999999,80.99999999999999
15/05/2017,0.21,40.99999999999999,10.54981400107324,-30.450185998926752,108.99999999999999,68.0
22/05/2017,0.12,40.99999999999999,-0.33718569728672504,-41.33718569728672,26.999999999999996,-13.999999999999996
29/05/2017,0.28,40.99999999999999,4.425160996001065,-36.57483900399893,26.999999999999996,-13.999999999999996
05/06/2017,0.19,40.99999999999999,-1.391943934917748,-42.39194393491774,26.999999999999996,-13.999999999999996
12/06/2017,0.04,40.99999999999999,-2.634414740729332,-43.634414740729326,26.999999999999996,-13.999999999999996
19/06/2017,0.2,46.0,5.255382570361048,-40.74461742963895,40.99999999999999,-5.000000000000007
26/06/2017,0.26,34.0,3.104869136081785,-30.895130863918215,40.99999999999999,6.999999999999993
03/07/2017,0.08,34.0,0.8383272196313739,-33.161672780368626,40.99999999999999,6.999999999999993
10/07/2017,0.31,34.0,8.81340643688038,-25.186593563119622,40.99999999999999,6.999999999999993
17/07/2017,0.5,34.0,-1.5286789681686461,-35.52867896816865,40.99999999999999,6.999999999999993
24/07/2017,0.16,34.0,-0.5568658328972756,-34.55686583289727,46.0,12.0
31/07/2017,0.13,34.0,7.7395902152332665,-26.260409784766733,34.0,0.0
07/08/2017,0.67,86.0,-3.366403668502718,-89.36640366850271,34.0,-52.0
14/08/2017,0.11,172.0,-4.731174828129857,-176.73117482812987,34.0,-138.0
21/08/2017,0.13,22.0,40.76942017841965,18.76942017841965,34.0,12.0
28/08/2017,0.28,22.0,17.35937002331972,-4.64062997668028,34.0,12.0
04/09/2017,0.11,50.0,27.027975769100188,-22.972024230899812,34.0,-16.0
11/09/2017,0.17,50.0,92.17455361928225,42.17455361928225,86.0,36.0
18/09/2017,0.08,50.0,45.54362009176016,-4.456379908239839,172.0,122.0
25/09/2017,0.2,2.0,103.26538114333272,101.26538114333272,22.0,20.0
02/10/2017,0.27,2.0,22.523967080140412,20.523967080140412,22.0,20.0
09/10/2017,0.22,2.0,2.3716066273729504,0.37160662737295036,50.0,48.0
16/10/2017,0.23,20.0,1.939201891530007,-18.060798108469992,50.0,30.0
23/10/2017,0.22,21.0,6.675340712857097,-14.324659287142904,50.0,29.0
30/10/2017,0.42,9.0,2.3326057835382223,-6.667394216461778,2.0,-7.0
06/11/2017,0.45,9.0,4.20896777408272,-4.79103222591728,2.0,-7.0
13/11/2017,0.33,1.0,-2.43904696793139,-3.43904696793139,2.0,1.0
20/11/2017,0.25,23.999999999999996,17.166137842251956,-6.83386215774804,20.0,-3.9999999999999964
27/11/2017,0.26,19.0,19.166483051187395,0.16648305118739515,21.0,2.0
04/12/2017,0.3,29.999999999999996,1.270002561724931,-28.729997438275067,9.0,-20.999999999999996
11/12/2017,0.09,1.0,24.337660657258034,23.337660657258034,9.0,8.0
18/12/2017,0.3,2.9999999999999996,11.652149746971428,8.652149746971428,1.0,-1.9999999999999996
25/12/2017,0.28,56.0,60.627222167975006,4.627222167975006,23.999999999999996,-32.0
