Date,Searches,Observed,LSTM-Prediction,LSTMError,Naive-Prediction,NaiveError
31/01/2016,0.55,226.0,256.4125534032345,30.412553403234483,178.99999999999997,-47.00000000000003
07/02/2016,0.7,270.99999999999994,322.1061628944397,51.10616289443976,226.0,-44.99999999999994
14/02/2016,0.38,273.99999999999994,259.17799450283053,-14.822005497169414,270.99999999999994,-3.0
21/02/2016,0.43,263.0,229.19083287734986,-33.80916712265014,273.99999999999994,10.999999999999943
28/02/2016,0.27,312.0,220.31604922132493,-91.68395077867507,263.0,-49.0
06/03/2016,0.23,360.99999999999994,243.3246347480297,-117.67536525197025,312.0,-48.99999999999994
13/03/2016,0.53,181.99999999999997,321.2046932929039,139.20469329290395,360.99999999999994,178.99999999999997
20/03/2016,0.21,443.0,318.79567686481477,-124.20432313518523,181.99999999999997,-261.0
27/03/2016,0.36,468.99999999999994,452.74986896533966,-16.250131034660285,443.0,-25.999999999999943
03/04/2016,0.37,541.0,540.0847833264351,-0.9152166735649416,468.99999999999994,-72.00000000000006
10/04/2016,0.54,468.99999999999994,593.3932399088859,124.39323990888596,541.0,72.00000000000006
17/04/2016,0.36,549.0,463.48954795770646,-85.51045204229354,468.99999999999994,-80.00000000000006
24/04/2016,0.83,488.0,564.8828042923927,76.88280429239273,549.0,61.0
01/05/2016,0.3,541.0,454.18975937986374,-86.81024062013626,488.0,-53.0
08/05/2016,0.56,549.0,528.9564239472389,-20.04357605276107,541.0,-8.0
15/05/2016,0.39,553.9999999999999,438.27937718133927,-115.72062281866062,549.0,-4.999999999999886
22/05/2016,0.27,405.99999999999994,426.6634670630455,20.663467063045573,553.9999999999999,147.99999999999994
29/05/2016,0.23,464.0,376.3717945611954,-87.62820543880463,405.99999999999994,-58.00000000000006
05/06/2016,0.5,483.0,517.1559034216881,34.155903421688095,464.0,-19.0
12/06/2016,0.41,278.0,437.60686222457883,159.60686222457883,483.0,205.0
19/06/2016,0.16,281.0,360.1854795584679,79.18547955846788,278.0,-3.0
26/06/2016,0.42,246.0,198.84858319745064,-47.15141680254936,281.0,35.0
03/07/2016,0.04,166.99999999999997,118.00146076204777,-48.9985392379522,246.0,79.00000000000003
10/07/2016,0.15,204.0,146.06189868278503,-57.93810131721497,166.99999999999997,-37.00000000000003
17/07/2016,0.69,162.0,197.91664658875465,35.916646588754645,204.0,42.0
24/07/2016,1.0,138.0,154.21350369756223,16.21350369756223,162.0,24.0
31/07/2016,0.16,90.0,141.61134707329273,51.611347073292734,138.0,48.0
07/08/2016,0.55,61.0,73.23072936979533,12.230729369795327,90.0,29.0
14/08/2016,0.39,77.0,52.27243583203554,-24.72756416796446,61.0,-16.0
21/08/2016,0.71,61.99999999999999,41.63565669933558,-20.364343300664416,77.0,15.000000000000007
28/08/2016,1.0,77.0,52.00014924062491,-24.999850759375093,61.99999999999999,-15.000000000000007
04/09/2016,0.0,74.0,52.475400154089925,-21.524599845910075,77.0,3.0
11/09/2016,0.48,46.99999999999999,45.02612845082283,-1.9738715491771615,74.0,27.000000000000007
18/09/2016,0.56,45.0,42.80642024593353,-2.1935797540664694,46.99999999999999,1.999999999999993
25/09/2016,0.46,46.0,39.17887095243931,-6.821129047560689,45.0,-1.0
02/10/2016,0.23,27.999999999999996,31.780081114423275,3.780081114423279,46.0,18.000000000000004
09/10/2016,0.52,17.0,27.26707214025259,10.26707214025259,27.999999999999996,10.999999999999996
16/10/2016,0.57,-87.0,23.194026405608653,110.19402640560865,17.0,104.0
23/10/2016,0.33,36.0,18.012031979176403,-17.987968020823597,-87.0,-123.0
30/10/2016,0.18,29.0,4.482366290315985,-24.517633709684013,36.0,7.0
06/11/2016,0.72,30.0,48.95931588050127,18.959315880501272,29.0,-1.0
13/11/2016,0.5,5.0,12.29335016504228,7.2933501650422805,30.0,25.0
20/11/2016,0.0,15.0,19.261850038304924,4.2618500383049245,5.0,-10.0
27/11/2016,0.74,10.0,3.0115346644073724,-6.988465335592627,15.0,5.0
04/12/2016,0.0,12.0,9.81815214920193,-2.1818478507980696,10.0,-2.0
11/12/2016,0.51,32.0,6.211788482259214,-25.788211517740784,12.0,-20.0
18/12/2016,0.48,13.999999999999998,15.6979423915416,1.697942391541602,32.0,18.0
25/12/2016,0.08,20.0,17.42486272622347,-2.57513727377653,13.999999999999998,-6.000000000000002
01/01/2017,0.0,2.0,2.9662285048484804,0.9662285048484804,20.0,18.0
08/01/2017,0.0,5.0,8.343321728603541,3.3433217286035415,2.0,-3.0
15/01/2017,0.0,6.0,5.058368709465117,-0.9416312905348834,5.0,-1.0
22/01/2017,0.09,13.0,7.254743548074365,-5.745256451925635,6.0,-7.0
29/01/2017,0.14,6.0,11.440480353960394,5.440480353960394,13.0,7.0
05/02/2017,0.0,5.0,10.40764758272171,5.40764758272171,6.0,1.0
12/02/2017,0.4,9.0,6.282354616323113,-2.717645383676887,5.0,-4.0
19/02/2017,0.34,8.0,8.223464153882862,0.2234641538828619,9.0,1.0
26/02/2017,0.09,10.0,8.03385924591571,-1.9661407540842895,8.0,-2.0
05/03/2017,0.38,5.0,4.891547103162855,-0.10845289683714476,10.0,5.0
12/03/2017,0.29,4.0,5.047160720631481,1.0471607206314806,5.0,1.0
19/03/2017,0.0,5.0,3.6104527569964526,-1.3895472430035474,4.0,-1.0
26/03/2017,0.0,5.0,2.9387707288995384,-2.0612292711004616,5.0,0.0
02/04/2017,0.48,0.0,4.604003666513413,4.604003666513413,5.0,5.0
09/04/2017,0.0,8.0,5.826884530107677,-2.1731154698923234,0.0,-8.0
16/04/2017,0.18,5.0,4.672864323855936,-0.3271356761440636,8.0,3.0
23/04/2017,0.1,3.0,5.002321394246817,2.0023213942468168,5.0,2.0
30/04/2017,0.26,4.0,4.344992643494904,0.344992643494904,3.0,-1.0
07/05/2017,0.44,2.0,5.064634409193695,3.064634409193695,4.0,2.0
14/05/2017,0.0,5.0,4.017380178396404,-0.9826198216035964,2.0,-3.0
21/05/2017,0.0,8.0,2.671596267873794,-5.3284037321262065,5.0,-3.0
