Date,Searches,Observed,LSTM-Prediction,LSTMError,Naive-Prediction,NaiveError
07/02/2016,0.62,854.9999999999999,860.6531408870507,5.653140887050768,412.99999999999994,-441.99999999999994
14/02/2016,0.51,881.0,884.2415614834977,3.2415614834976623,636.0,-245.0
21/02/2016,0.58,980.0,978.3439353382493,-1.6560646617507473,854.9999999999999,-125.00000000000011
28/02/2016,0.3,1243.0,1241.1206179327392,-1.879382067260849,881.0,-362.0
06/03/2016,0.26,1257.0,1264.2964384934617,7.296438493461665,980.0,-277.0
13/03/2016,0.77,1044.0,1057.0316633712387,13.031663371238665,1243.0,199.0
20/03/2016,0.3,952.0,981.3146731941032,29.314673194103193,1257.0,305.0
27/03/2016,0.46,1212.0,1212.9485444335555,0.9485444335555258,1044.0,-168.0
03/04/2016,0.56,1525.0,960.124154831295,-564.875845168705,952.0,-573.0
10/04/2016,0.7,1531.0,1148.6092488222694,-382.39075117773064,1212.0,-319.0
17/04/2016,0.5,1472.0,1277.7004400805663,-194.2995599194337,1525.0,53.0
24/04/2016,0.57,1247.0,1235.3561845055008,-11.643815494499222,1531.0,284.0
01/05/2016,0.28,1077.0,1181.5561844111442,104.55618441114416,1472.0,395.0
08/05/2016,0.47,1164.0,1164.581243466015,0.5812434660149393,1247.0,83.0
15/05/2016,0.43,1260.0,1256.277531721096,-3.722468278903989,1077.0,-183.0
22/05/2016,0.23,786.0,993.251036479683,207.25103647968297,1164.0,378.0
29/05/2016,0.22,949.0,994.7023080491448,45.70230804914479,1260.0,311.0
05/06/2016,0.36,858.9999999999999,849.2008281019021,-9.799171898097825,786.0,-72.99999999999989
12/06/2016,0.27,809.0,803.7608843509292,-5.239115649070754,949.0,140.0
19/06/2016,0.16,730.0,721.1625192764187,-8.83748072358128,858.9999999999999,128.9999999999999
26/06/2016,0.31,519.0,510.52795721282007,-8.47204278717993,809.0,290.0
03/07/2016,0.04,506.99999999999994,503.41111255737303,-3.5888874426269126,730.0,223.00000000000006
10/07/2016,0.31,301.0,301.73421254042626,0.734212540426256,519.0,218.0
17/07/2016,0.57,268.0,274.6777386153364,6.677738615336409,506.99999999999994,238.99999999999994
24/07/2016,0.47,319.0,329.1589379369402,10.15893793694022,301.0,-18.0
31/07/2016,0.16,198.0,198.1928319289732,0.19283192897319168,268.0,70.0
07/08/2016,0.39,216.0,216.68013371095657,0.6801337109565679,319.0,103.0
14/08/2016,0.22,144.0,146.62240310891627,2.6224031089162736,198.0,54.0
21/08/2016,0.33,110.0,118.51944825508595,8.519448255085948,216.0,106.0
28/08/2016,0.28,80.0,82.27739893987417,2.2773989398741747,144.0,64.0
04/09/2016,0.31,188.0,92.5699505721426,-95.4300494278574,110.0,-78.0
11/09/2016,0.43,25.0,45.60982833995163,20.609828339951633,80.0,55.0
18/09/2016,0.33,106.0,107.43791674537658,1.437916745376583,188.0,82.0
25/09/2016,0.3,108.0,101.23264846977472,-6.767351530225284,25.0,-83.0
02/10/2016,0.15,72.0,73.37842834637404,1.3784283463740366,106.0,34.0
09/10/2016,0.34,34.0,35.07129451401353,1.0712945140135304,108.0,74.0
16/10/2016,0.51,72.0,74.34995008223056,2.3499500822305635,72.0,0.0
23/10/2016,0.15,91.0,51.354818023504016,-39.645181976495984,34.0,-57.0
30/10/2016,0.08,46.0,43.71987500532627,-2.280124994673727,72.0,26.0
06/11/2016,0.54,41.0,42.849512432632444,1.8495124326324444,91.0,50.0
13/11/2016,0.22,37.0,42.44439731704831,5.444397317048313,46.0,9.0
20/11/2016,0.1,-29.0,34.481770434659126,63.481770434659126,41.0,70.0
