CITY,2/1/2017,9/1/2017,16/1/2017,23/1/2017,30/1/2017,6/2/2017,13/2/2017,20/2/2017,27/2/2017,6/3/2017,13/3/2017,20/3/2017,27/3/2017,3/4/2017,10/4/2017,17/4/2017,24/4/2017,1/5/2017,8/5/2017,15/5/2017,22/5/2017,29/5/2017,5/6/2017,12/6/2017,19/6/2017,26/6/2017,3/7/2017,10/7/2017,17/7/2017,24/7/2017,31/7/2017,7/8/2017,14/8/2017,21/8/2017,28/8/2017,4/9/2017,11/9/2017,18/9/2017,25/9/2017,2/10/2017,9/10/2017,16/10/2017,23/10/2017,30/10/2017,6/11/2017,13/11/2017,20/11/2017,27/11/2017,4/12/2017,11/12/2017,18/12/2017,25/12/2017
Federal District,15,44,23,18,52,33,30,30,41,19,10,14,10,15,9,16,20,20,13,12,9,22,17,2,19,17,18,23,79,6,4,23,12,8,23,6,44,6,42,17,8,17,6,12,59,15,16,19,16,12,0,39
State of Acre,100,0,100,40,0,0,0,0,0,32,0,0,19,0,56,0,34,0,0,81,42,0,0,0,0,0,80,0,0,0,0,0,0,0,0,0,0,0,0,72,100,0,0,0,0,0,100,0,100,0,0,0
State of Alagoas,16,50,9,20,41,79,69,21,55,0,0,11,14,35,25,16,37,12,14,7,14,11,17,8,0,42,42,18,25,9,9,72,57,24,0,28,66,41,100,0,37,77,0,56,45,11,37,15,19,14,0,76
State of Amapá,0,0,0,0,0,0,0,0,0,59,0,0,37,0,0,0,32,0,19,0,38,0,44,14,0,0,0,100,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,56,93,0,0,0,0,0
State of Amazonas,33,72,59,6,12,67,70,58,22,5,9,14,14,29,12,22,10,25,3,0,24,45,14,13,13,35,24,15,22,12,8,45,0,8,24,6,56,0,29,0,16,100,68,12,19,0,33,12,16,12,0,0
State of Bahia,24,21,13,21,31,55,53,34,30,15,5,18,15,18,15,14,23,19,11,21,12,28,19,4,20,26,8,31,50,16,13,67,11,13,28,11,17,8,20,27,22,23,22,42,45,33,25,26,30,9,30,28
State of Ceará,14,43,20,22,57,75,70,56,54,35,26,66,44,100,100,100,100,100,62,65,53,100,63,18,42,71,47,53,78,13,10,38,34,18,42,6,19,33,99,23,33,29,51,26,21,17,23,19,12,35,27,41
State of Espírito Santo,10,37,5,8,38,17,16,24,31,22,10,25,6,20,14,6,20,7,12,8,4,37,46,3,12,30,23,29,0,3,8,41,0,0,23,4,24,8,54,22,31,42,0,15,0,31,10,8,30,15,8,43
State of Goiás,14,17,15,41,60,96,74,28,46,29,10,23,17,30,12,11,37,33,15,31,28,41,25,6,16,14,25,12,36,2,9,6,24,8,24,9,51,19,33,14,12,45,35,38,45,25,30,14,30,24,30,18
State of Maranhão,33,42,28,28,0,77,46,9,36,18,9,9,11,32,13,13,15,33,9,11,17,9,13,6,12,22,22,29,20,4,11,42,34,4,11,6,67,22,26,10,0,15,47,32,54,26,0,22,29,21,22,61
State of Mato Grosso,21,42,28,22,77,100,100,32,87,32,25,40,23,28,12,17,39,19,11,33,6,26,13,6,12,11,44,41,21,7,7,14,11,7,11,17,0,32,25,20,0,44,47,44,17,61,29,66,0,55,0,68
State of Mato Grosso do Sul,8,62,24,19,25,43,63,28,12,10,9,5,9,36,0,10,11,16,13,0,37,28,14,14,0,0,24,15,23,0,8,15,35,4,12,12,54,35,28,35,33,0,0,24,19,38,16,50,79,0,13,24
State of Minas Gerais,19,46,21,19,32,47,41,25,38,18,12,18,7,19,15,15,20,12,8,14,14,24,10,5,8,16,13,16,30,4,7,13,21,9,13,8,22,8,49,15,17,31,17,13,33,13,20,21,17,9,16,21
State of Paraná,13,37,17,13,16,8,21,14,18,7,7,7,5,17,7,6,4,2,4,3,5,22,3,2,10,11,18,14,4,1,1,11,15,5,11,6,17,13,25,14,26,32,23,15,25,5,20,21,12,2,7,26
State of Paraíba,19,38,26,26,40,23,51,31,60,4,3,8,8,60,8,31,0,9,11,11,16,32,13,12,13,21,32,40,37,0,10,68,42,3,85,15,32,32,74,59,54,14,45,21,0,8,14,43,14,21,11,20
State of Pará,35,100,57,59,57,46,41,100,59,37,27,16,8,37,44,31,18,14,9,21,38,32,19,3,0,17,44,45,67,6,5,11,25,5,25,12,51,16,59,8,22,11,18,17,53,26,11,26,0,24,26,33
State of Pernambuco,15,35,18,4,20,47,33,16,49,13,13,7,5,21,19,16,18,10,6,10,11,9,19,2,5,16,8,31,29,9,1,43,46,8,17,14,13,20,58,27,16,46,32,41,33,19,26,16,21,16,8,29
State of Piauí,0,22,12,18,0,40,18,27,58,23,14,22,18,22,7,33,0,7,18,17,36,67,10,7,19,17,34,22,33,6,22,45,36,6,35,0,0,0,81,81,0,24,92,86,27,13,66,17,45,34,0,34
State of Rio Grande do Norte,27,66,7,16,11,37,22,0,22,9,14,0,14,14,16,12,9,0,3,16,11,8,0,2,0,22,44,27,39,0,4,42,33,0,0,5,100,32,51,31,28,15,12,22,53,26,43,0,58,22,11,40
State of Rio Grande do Sul,14,22,18,8,15,15,23,11,19,9,3,7,4,10,7,3,4,7,1,5,6,4,3,2,9,9,5,12,41,2,1,6,7,2,9,0,10,5,22,11,6,10,13,7,19,11,12,5,12,19,10,0
State of Rio de Janeiro,17,41,20,15,33,79,67,29,46,17,16,20,12,13,11,17,18,13,10,9,22,20,15,5,12,16,19,14,27,6,5,26,20,6,18,9,27,19,44,19,13,33,18,10,41,16,33,22,18,20,19,23
State of Rondônia,31,91,46,50,99,84,74,53,48,41,12,0,0,20,26,18,11,21,0,38,27,0,0,10,0,0,0,33,48,0,16,33,26,0,25,13,77,25,61,0,67,35,55,25,41,100,33,27,68,0,0,100
State of Roraima,0,0,66,100,100,0,98,71,100,0,100,0,100,41,0,0,0,0,100,100,100,73,0,100,100,100,100,0,0,100,100,0,100,100,100,100,0,100,0,100,0,0,0,100,0,0,0,100,0,100,100,0
State of Santa Catarina,12,40,12,9,28,0,19,8,17,12,7,9,5,12,5,1,5,0,6,4,7,27,4,4,2,28,22,9,27,2,2,14,11,4,7,2,11,7,24,7,9,28,19,7,11,11,9,15,5,11,4,0
State of Sergipe,0,45,23,18,73,21,0,55,19,7,19,15,14,8,7,0,8,8,5,9,19,29,100,4,22,58,37,0,100,6,12,0,19,12,18,9,28,0,44,17,0,77,21,0,0,15,24,38,49,36,19,35
State of São Paulo,15,31,19,12,26,31,34,23,29,9,6,10,8,11,9,8,11,11,5,7,10,14,8,3,7,16,10,19,28,5,4,19,12,6,9,5,28,21,53,19,18,21,23,21,27,12,26,13,18,17,14,29
