Date,Searches,Cases
04/01/2016,20,95
11/01/2016,41,95
18/01/2016,48,95
25/01/2016,72,98
01/02/2016,71,306
08/02/2016,54,306
15/02/2016,80,306
22/02/2016,58,371
29/02/2016,92,371
07/03/2016,68,371
14/03/2016,88,250
21/03/2016,84,251
28/03/2016,62,143
04/04/2016,52,143
11/04/2016,40,144
18/04/2016,51,64
25/04/2016,37,64
02/05/2016,42,64
09/05/2016,39,67
16/05/2016,60,67
23/05/2016,39,67
30/05/2016,31,67
06/06/2016,28,67
13/06/2016,29,67
20/06/2016,34,69
27/06/2016,26,32
04/07/2016,31,32
11/07/2016,19,32
18/07/2016,46,32
25/07/2016,50,32
01/08/2016,49,33
08/08/2016,40,39
15/08/2016,12,80
22/08/2016,19,18
29/08/2016,16,19
05/09/2016,53,13
12/09/2016,26,13
19/09/2016,21,13
26/09/2016,7,1
03/10/2016,8,13
10/10/2016,17,14
17/10/2016,36,10
24/10/2016,74,10
31/10/2016,55,8
07/11/2016,4,8
14/11/2016,46,4
21/11/2016,21,5
28/11/2016,13,8
05/12/2016,29,96
12/12/2016,45,29
19/12/2016,40,55
26/12/2016,74,7
02/01/2017,35,1
09/01/2017,100,1
16/01/2017,57,1
23/01/2017,59,2
30/01/2017,57,29
06/02/2017,46,29
13/02/2017,41,31
20/02/2017,100,78
27/02/2017,59,78
06/03/2017,37,80
13/03/2017,27,36
20/03/2017,16,36
27/03/2017,8,47
03/04/2017,37,47
10/04/2017,44,47
17/04/2017,31,6
24/04/2017,18,6
01/05/2017,14,6
08/05/2017,9,6
15/05/2017,21,13
22/05/2017,38,13
29/05/2017,32,13
05/06/2017,19,13
12/06/2017,3,13
19/06/2017,0,18
26/06/2017,17,0
03/07/2017,44,0
10/07/2017,45,0
17/07/2017,67,0
24/07/2017,6,0
31/07/2017,5,0
07/08/2017,11,0
14/08/2017,25,0
21/08/2017,5,0
28/08/2017,25,0
04/09/2017,12,-1
11/09/2017,51,-1
18/09/2017,16,-1
25/09/2017,59,1
02/10/2017,8,6
09/10/2017,22,6
16/10/2017,11,-33
23/10/2017,18,-33
30/10/2017,17,0
06/11/2017,53,0
13/11/2017,26,-23
20/11/2017,11,0
27/11/2017,26,0
04/12/2017,0,124
11/12/2017,24,-7
18/12/2017,26,0
25/12/2017,33,0
