Date,Searches,Cases
04/01/2016,50,3520
11/01/2016,64,3520
18/01/2016,70,3520
25/01/2016,89,3521
01/02/2016,79,4297
08/02/2016,66,4297
15/02/2016,74,4298
22/02/2016,63,4012
29/02/2016,77,4012
07/03/2016,86,4012
14/03/2016,73,3539
21/03/2016,100,3540
28/03/2016,75,3260
04/04/2016,81,3260
11/04/2016,74,3262
18/04/2016,72,1879
25/04/2016,63,1879
02/05/2016,54,1879
09/05/2016,44,1881
16/05/2016,76,979
23/05/2016,40,979
30/05/2016,48,979
06/06/2016,27,979
13/06/2016,29,979
20/06/2016,39,979
27/06/2016,40,-464
04/07/2016,28,-464
11/07/2016,39,-464
18/07/2016,40,-464
25/07/2016,36,-464
01/08/2016,38,-464
08/08/2016,29,1303
15/08/2016,35,2606
22/08/2016,16,76
29/08/2016,20,76
05/09/2016,27,66
12/09/2016,56,66
19/09/2016,23,66
26/09/2016,36,0
03/10/2016,14,33
10/10/2016,15,34
17/10/2016,43,102
24/10/2016,40,103
31/10/2016,24,63
07/11/2016,27,64
14/11/2016,43,79
21/11/2016,33,65
28/11/2016,26,62
05/12/2016,33,64
12/12/2016,37,60
19/12/2016,33,41
26/12/2016,51,22
02/01/2017,17,0
09/01/2017,41,0
16/01/2017,20,0
23/01/2017,15,1
30/01/2017,33,-1
06/02/2017,79,-1
13/02/2017,67,1
20/02/2017,29,131
27/02/2017,46,131
06/03/2017,17,132
13/03/2017,16,56
20/03/2017,20,57
27/03/2017,12,195
03/04/2017,13,195
10/04/2017,11,195
17/04/2017,17,0
24/04/2017,18,0
01/05/2017,13,0
08/05/2017,10,0
15/05/2017,9,61
22/05/2017,22,61
29/05/2017,20,61
05/06/2017,15,61
12/06/2017,5,61
19/06/2017,12,61
26/06/2017,16,0
03/07/2017,19,0
10/07/2017,14,0
17/07/2017,27,0
24/07/2017,6,0
31/07/2017,5,0
07/08/2017,26,0
14/08/2017,20,0
21/08/2017,6,0
28/08/2017,18,0
04/09/2017,9,250
11/09/2017,27,250
18/09/2017,19,250
25/09/2017,44,1
02/10/2017,19,0
09/10/2017,13,0
16/10/2017,33,0
23/10/2017,18,0
30/10/2017,10,0
06/11/2017,41,1
13/11/2017,16,0
20/11/2017,33,0
27/11/2017,22,0
04/12/2017,18,0
11/12/2017,20,0
18/12/2017,19,0
25/12/2017,23,0
