Date,Searches,Cases
04/01/2016,14,3520
11/01/2016,19,3520
18/01/2016,26,3520
25/01/2016,48,3521
01/02/2016,50,4297
08/02/2016,40,4297
15/02/2016,49,4298
22/02/2016,37,4012
29/02/2016,47,4012
07/03/2016,47,4012
14/03/2016,41,3539
21/03/2016,49,3540
28/03/2016,37,3260
04/04/2016,34,3260
11/04/2016,28,3262
18/04/2016,27,1879
25/04/2016,20,1879
02/05/2016,22,1879
09/05/2016,15,1881
16/05/2016,33,979
23/05/2016,16,979
30/05/2016,18,979
06/06/2016,14,979
13/06/2016,12,979
20/06/2016,17,979
27/06/2016,20,-464
04/07/2016,17,-464
11/07/2016,19,-464
18/07/2016,23,-464
25/07/2016,21,-464
01/08/2016,31,-464
08/08/2016,20,1303
15/08/2016,22,2606
22/08/2016,20,76
29/08/2016,19,76
05/09/2016,19,66
12/09/2016,34,66
19/09/2016,21,66
26/09/2016,21,0
03/10/2016,10,33
10/10/2016,20,34
17/10/2016,33,102
24/10/2016,30,103
31/10/2016,16,63
07/11/2016,17,64
14/11/2016,54,79
21/11/2016,25,65
28/11/2016,18,62
05/12/2016,16,64
12/12/2016,22,60
19/12/2016,27,41
26/12/2016,26,22
02/01/2017,15,6
09/01/2017,31,6
16/01/2017,19,6
23/01/2017,12,6
30/01/2017,26,30
06/02/2017,31,30
13/02/2017,34,30
20/02/2017,23,34
27/02/2017,29,34
06/03/2017,9,35
13/03/2017,6,25
20/03/2017,10,25
27/03/2017,8,25
03/04/2017,11,25
10/04/2017,9,27
17/04/2017,8,3
24/04/2017,11,3
01/05/2017,11,3
08/05/2017,5,3
15/05/2017,7,5
22/05/2017,10,5
29/05/2017,14,5
05/06/2017,8,5
12/06/2017,3,5
19/06/2017,7,6
26/06/2017,16,-10
03/07/2017,10,-10
10/07/2017,19,-10
17/07/2017,28,-10
24/07/2017,5,-10
31/07/2017,4,-10
07/08/2017,19,4
14/08/2017,12,8
21/08/2017,6,-3
28/08/2017,9,-2
04/09/2017,5,-5
11/09/2017,28,-5
18/09/2017,21,-5
25/09/2017,53,1
02/10/2017,19,0
09/10/2017,18,0
16/10/2017,21,16
23/10/2017,23,17
30/10/2017,21,3
06/11/2017,27,3
13/11/2017,12,17
20/11/2017,26,11
27/11/2017,13,9
04/12/2017,18,4
11/12/2017,17,-4
18/12/2017,14,1
25/12/2017,29,15
