CITY,25/10/2015,1/11/2015,8/11/2015,15/11/2015,22/11/2015,29/11/2015,6/12/2015,13/12/2015,20/12/2015,27/12/2015
Amazonas Department,0,0,0,0,0,0,0,0,0,0
Antioquia,2,12,4,0,1,4,2,3,2,13
Arauca,0,0,0,0,0,0,0,0,0,0
Atlantico,10,43,37,11,18,42,27,56,45,47
Bogota,2,12,7,3,3,6,5,15,11,18
Bolivar,17,100,61,15,16,34,18,4,8,12
Boyaca,0,25,0,0,5,0,7,0,10,0
Caldas,3,15,12,0,0,0,4,7,0,7
Caquetá,100,0,0,0,0,0,100,0,0,0
Casanare,25,0,0,0,0,0,16,0,0,0
Cauca Department,0,0,0,0,4,0,0,0,0,10
Cesar,0,0,0,0,5,0,0,50,0,24
Choco,0,0,0,0,0,0,0,0,0,0
Cordoba,5,70,19,10,11,22,26,47,37,61
Cundinamarca,16,60,9,0,8,0,7,5,5,24
Guainia,0,0,0,0,0,0,0,0,0,0
Guaviare,0,0,0,0,0,0,0,0,0,0
Huila,12,25,0,0,6,0,23,92,62,100
La Guajira,0,0,0,0,17,0,21,100,0,82
Magdalena,0,0,23,6,19,100,44,49,100,26
Meta,0,20,16,0,2,5,7,15,5,6
Narino,0,32,0,0,0,0,0,0,0,0
North Santander,2,8,37,6,8,31,22,76,57,80
Putumayo,0,0,0,0,57,0,0,0,0,0
Quindio,0,0,0,0,0,0,8,0,0,12
Risaralda,5,11,17,2,5,0,3,9,0,5
San Andrés and Providencia,0,0,0,100,100,0,0,0,0,0
Santander Department,1,16,28,2,4,12,4,19,9,19
Sucre,13,51,100,16,27,12,14,20,29,12
Tolima,19,20,11,6,6,29,16,36,36,39
Valle del Cauca,2,20,12,2,1,7,3,10,6,16
Vaupes,0,0,0,0,0,0,0,0,0,0
Vichada,0,0,0,0,0,0,0,0,0,0
