Week,Cases,Searches,WeeklyCases
1,2453,26,0
2,3167,19,714
3,3167,38,0
4,4983,20,1816
5,6102,44,1119
6,6985,39,883
7,7572,33,587
8,8115,27,543
9,8383,34,268
10,8623,23,240
11,8864,45,241
12,8934,36,70
13,9042,45,108
14,9137,47,95
15,9196,18,59
16,9276,45,80
17,9358,69,82
18,9373,64,15
19,9575,62,202
20,9829,41,254
21,9758,65,-71
22,9829,30,71
23,9872,76,43
24,9916,30,44
25,9949,31,33
26,9966,34,17
27,9999,64,33
28,10045,16,46
29,10089,24,44
30,10112,27,23
31,10138,49,26
32,10159,50,21
33,10169,76,10
34,10193,100,24
35,10215,28,22
36,10330,54,115
37,10404,31,74
38,10410,71,6
39,10416,1,6
40,10413,4,-3
41,10422,51,9
42,10425,35,3
43,10455,13,30
44,10465,10,10
45,10471,18,6
46,10482,14,11
47,10479,5,-3
48,10484,12,5
49,10490,0,6
50,10522,100,32
51,10523,0,1
52,10527,5,4
