Week,Cases,Delta
52,32,0
1,40,8
2,70,30
3,70,0
4,249,179
5,475,226
6,746,271
7,1020,274
8,1283,263
9,1595,312
10,1956,361
11,2138,182
12,2581,443
13,3050,469
14,3591,541
15,4060,469
16,4609,549
17,5097,488
18,5638,541
19,6187,549
20,6741,554
21,7147,406
22,7611,464
23,8094,483
24,8372,278
25,8653,281
26,8899,246
27,9066,167
28,9270,204
29,9432,162
30,9570,138
31,9660,90
32,9721,61
33,9798,77
34,9860,62
35,9937,77
36,10011,74
37,10058,47
38,10103,45
39,10149,46
40,10177,28
41,10194,17
42,10107,-87
43,10143,36
44,10172,29
45,10202,30
46,10207,5
47,10222,15
48,10232,10
49,10244,12
50,10276,32
51,10290,14
52,10310,20
