State,Population 2015,URL,,,,,,,,,,,,,
Barranquilla,,https://www.dane.gov.co/index.php/estadisticas-por-tema/demografia-y-poblacion/proyecciones-de-poblacion,,,,,,,,,,,PDF pag 50,,
Casanare,"356,438",https://www.dane.gov.co/index.php/estadisticas-por-tema/demografia-y-poblacion/proyecciones-de-poblacion,,,,,,,,,,,PDF pag 50,,
C¢rdoba,"1,709,603",https://www.dane.gov.co/index.php/estadisticas-por-tema/demografia-y-poblacion/proyecciones-de-poblacion,,,,,,,,,,,PDF pag 50,,
Cundinamarca,"2,680,041",https://www.dane.gov.co/index.php/estadisticas-por-tema/demografia-y-poblacion/proyecciones-de-poblacion,,,,,,,,,,,PDF pag 50,,
Huila,"1,154,804",https://www.dane.gov.co/index.php/estadisticas-por-tema/demografia-y-poblacion/proyecciones-de-poblacion,,,,,,,,,,,PDF pag 50,,
Meta,"961,292",https://www.dane.gov.co/index.php/estadisticas-por-tema/demografia-y-poblacion/proyecciones-de-poblacion,,,,,,,,,,,PDF pag 50,,
Santander,"2,061,095",https://www.dane.gov.co/index.php/estadisticas-por-tema/demografia-y-poblacion/proyecciones-de-poblacion,,,,,,,,,,,PDF pag 50,,
Tolima,"1,408,274",https://www.dane.gov.co/index.php/estadisticas-por-tema/demografia-y-poblacion/proyecciones-de-poblacion,,,,,,,,,,,PDF pag 50,,
Valle del Cauca,"4,613,377",https://www.dane.gov.co/index.php/estadisticas-por-tema/demografia-y-poblacion/proyecciones-de-poblacion,,,,,,,,,,,PDF pag 50,,
Norte de Santander,"1,355,723",https://www.dane.gov.co/index.php/estadisticas-por-tema/demografia-y-poblacion/proyecciones-de-poblacion,,,,,,,,,,,PDF pag 50,,https://www.dane.gov.co/files/investigaciones/poblacion/ITMoDto2005_2020/NortedeSantander.xls
