Date,Searches,Cases
25/10/2015,5,0
01/11/2015,70,5
08/11/2015,19,28
15/11/2015,10,52
22/11/2015,11,50
29/11/2015,22,116
06/12/2015,26,91
13/12/2015,47,123
20/12/2015,37,110
27/12/2015,61,90
03/01/2016,59,84
10/01/2016,34,123
17/01/2016,16,0
24/01/2016,46,721
31/01/2016,29,389
07/02/2016,23,357
14/02/2016,28,242
21/02/2016,44,175
28/02/2016,0,104
06/03/2016,4,84
13/03/2016,0,27
20/03/2016,7,33
27/03/2016,13,31
03/04/2016,29,24
10/04/2016,37,16
17/04/2016,10,12
24/04/2016,13,9
01/05/2016,0,15
08/05/2016,0,12
15/05/2016,0,17
22/05/2016,0,11
29/05/2016,0,7
05/06/2016,25,3
12/06/2016,13,-1
19/06/2016,0,5
26/06/2016,0,4
03/07/2016,0,4
10/07/2016,0,7
17/07/2016,52,2
24/07/2016,84,1
31/07/2016,14,4
07/08/2016,0,1
14/08/2016,0,2
21/08/2016,0,1
28/08/2016,0,1
04/09/2016,42,6
11/09/2016,0,7
18/09/2016,0,2
25/09/2016,100,0
02/10/2016,0,1
09/10/2016,0,0
16/10/2016,0,1
23/10/2016,0,1
30/10/2016,0,1
06/11/2016,0,1
13/11/2016,0,7
20/11/2016,0,1
27/11/2016,0,135
04/12/2016,41,0
11/12/2016,0,7
18/12/2016,0,5
25/12/2016,0,0
01/01/2017,0,0
08/01/2017,0,0
15/01/2017,0,0
22/01/2017,0,0
29/01/2017,0,1
05/02/2017,0,1
12/02/2017,0,0
19/02/2017,0,1
26/02/2017,0,0
05/03/2017,0,0
12/03/2017,0,0
19/03/2017,0,0
26/03/2017,0,1
02/04/2017,0,0
09/04/2017,0,0
16/04/2017,0,1
23/04/2017,0,0
30/04/2017,0,0
07/05/2017,0,1
14/05/2017,0,0
21/05/2017,0,0
28/05/2017,0,7
04/06/2017,0,0
11/06/2017,0,1
18/06/2017,0,0
25/06/2017,0,-9
02/07/2017,0,0
09/07/2017,0,0
16/07/2017,0,0
23/07/2017,0,0
30/07/2017,0,0
06/08/2017,0,1
13/08/2017,0,0
20/08/2017,0,0
27/08/2017,0,1
03/09/2017,0,2
10/09/2017,0,3
17/09/2017,0,2
24/09/2017,0,1
01/10/2017,0,0
08/10/2017,0,0
15/10/2017,0,0
22/10/2017,100,-1
29/10/2017,0,0
05/11/2017,0,0
12/11/2017,0,20
19/11/2017,0,-18
26/11/2017,0,0
03/12/2017,0,1
10/12/2017,9,0
17/12/2017,0,0
24/12/2017,0,-1
