Date,Searches,Cases
03/01/2016,100,639
10/01/2016,82,714
17/01/2016,33,0
24/01/2016,54,1816
31/01/2016,82,1119
07/02/2016,63,883
14/02/2016,62,587
21/02/2016,57,543
28/02/2016,30,268
06/03/2016,24,240
13/03/2016,43,241
20/03/2016,15,70
27/03/2016,32,108
03/04/2016,23,95
10/04/2016,48,59
17/04/2016,9,80
24/04/2016,51,82
01/05/2016,18,15
08/05/2016,6,202
15/05/2016,15,254
22/05/2016,0,-71
29/05/2016,8,71
05/06/2016,6,43
12/06/2016,25,44
19/06/2016,5,33
26/06/2016,57,17
03/07/2016,2,33
10/07/2016,15,46
17/07/2016,0,44
24/07/2016,20,23
31/07/2016,7,26
07/08/2016,37,21
14/08/2016,39,10
21/08/2016,0,24
28/08/2016,40,22
04/09/2016,19,115
11/09/2016,46,74
18/09/2016,35,6
25/09/2016,0,6
02/10/2016,43,-3
09/10/2016,0,9
16/10/2016,0,3
23/10/2016,32,30
30/10/2016,0,10
06/11/2016,0,6
13/11/2016,0,11
20/11/2016,0,-3
27/11/2016,100,5
04/12/2016,0,6
11/12/2016,52,32
18/12/2016,100,1
25/12/2016,0,4
01/01/2017,27,0
08/01/2017,1,1
15/01/2017,9,0
22/01/2017,0,5
29/01/2017,0,2
05/02/2017,0,3
12/02/2017,0,1
19/02/2017,0,4
26/02/2017,38,1
05/03/2017,75,3
12/03/2017,0,0
19/03/2017,56,4
26/03/2017,100,0
02/04/2017,0,0
09/04/2017,0,3
16/04/2017,38,0
23/04/2017,21,0
30/04/2017,0,0
07/05/2017,100,0
14/05/2017,0,1
21/05/2017,0,6
28/05/2017,0,-5
04/06/2017,0,1
11/06/2017,55,4
18/06/2017,0,5
25/06/2017,56,-13
02/07/2017,0,2
09/07/2017,0,0
16/07/2017,0,3
23/07/2017,31,0
30/07/2017,32,0
06/08/2017,0,2
13/08/2017,0,0
20/08/2017,99,1
27/08/2017,69,-3
03/09/2017,0,20
10/09/2017,0,-16
17/09/2017,0,0
24/09/2017,100,0
01/10/2017,12,0
08/10/2017,0,0
15/10/2017,0,0
22/10/2017,0,0
29/10/2017,0,0
05/11/2017,100,0
12/11/2017,10,2
19/11/2017,0,-2
26/11/2017,28,0
03/12/2017,0,1
10/12/2017,4,4
17/12/2017,0,4
24/12/2017,65,3
