Date,Searches,Cases
02/01/2016,4,3
09/01/2016,2,0
16/01/2016,9,0
23/01/2016,36,0
30/01/2016,67,0
06/02/2016,30,0
13/02/2016,32,0
20/02/2016,15,0
27/02/2016,12,0
05/03/2016,15,0
12/03/2016,28,0
19/03/2016,10,0
26/03/2016,11,0
02/04/2016,12,0
09/04/2016,23,0
16/04/2016,8,0
23/04/2016,20,0
30/04/2016,13,0
07/05/2016,8,0
14/05/2016,15,1
21/05/2016,9,0
28/05/2016,14,0
04/06/2016,8,0
11/06/2016,10,0
18/06/2016,4,0
25/06/2016,2,0
02/07/2016,4,0
09/07/2016,1,0
16/07/2016,4,0
23/07/2016,2,1
30/07/2016,9,1
06/08/2016,5,0
13/08/2016,2,1
20/08/2016,7,0
27/08/2016,5,0
03/09/2016,6,0
10/09/2016,4,4
17/09/2016,10,7
24/09/2016,11,23
01/10/2016,34,56
08/10/2016,57,29
15/10/2016,60,48
22/10/2016,95,143
29/10/2016,100,45
05/11/2016,96,53
12/11/2016,77,10
19/11/2016,60,27
26/11/2016,50,2
03/12/2016,38,1
10/12/2016,42,303
17/12/2016,17,22
24/12/2016,32,2
31/12/2016,29,2
07/01/2017,2,0
14/01/2017,14,2
21/01/2017,28,3
28/01/2017,19,1
04/02/2017,33,0
11/02/2017,13,0
18/02/2017,48,0
25/02/2017,18,0
04/03/2017,20,0
11/03/2017,31,0
18/03/2017,14,0
25/03/2017,12,0
01/04/2017,34,0
08/04/2017,22,0
15/04/2017,5,0
22/04/2017,20,0
29/04/2017,15,0
06/05/2017,30,0
13/05/2017,30,0
20/05/2017,20,0
27/05/2017,12,0
03/06/2017,16,0
10/06/2017,7,0
17/06/2017,15,0
24/06/2017,3,1
01/07/2017,11,1
08/07/2017,22,0
15/07/2017,10,0
22/07/2017,20,0
29/07/2017,9,2
05/08/2017,27,3
12/08/2017,9,2
19/08/2017,33,8
26/08/2017,29,2
02/09/2017,16,7
09/09/2017,16,7
16/09/2017,10,10
23/09/2017,13,1
30/09/2017,5,7
07/10/2017,21,1
14/10/2017,5,4
21/10/2017,6,5
28/10/2017,7,13
04/11/2017,10,5
11/11/2017,7,1
18/11/2017,6,6
25/11/2017,8,2
02/12/2017,6,2
09/12/2017,1,6
16/12/2017,4,0
23/12/2017,36,0
30/12/2017,0,0
06/01/2018,4,0
13/01/2018,10,0
20/01/2018,6,0
27/01/2018,0,0
03/02/2018,8,0
10/02/2018,4,0
17/02/2018,18,0
24/02/2018,4,0
03/03/2018,19,0
10/03/2018,9,0
17/03/2018,18,0
24/03/2018,8,0
31/03/2018,5,0
07/04/2018,7,0
14/04/2018,10,1
21/04/2018,15,0
28/04/2018,15,0
05/05/2018,11,0
