Date,Searches,Cases
02/01/2016,11,0
09/01/2016,11,0
16/01/2016,35,0
23/01/2016,61,4
30/01/2016,100,17
06/02/2016,61,4
13/02/2016,50,2
20/02/2016,100,25
27/02/2016,100,4
05/03/2016,41,3
12/03/2016,85,0
19/03/2016,19,16
26/03/2016,10,4
02/04/2016,45,6
09/04/2016,39,3
16/04/2016,26,9
23/04/2016,14,3
30/04/2016,40,3
07/05/2016,18,5
14/05/2016,15,16
21/05/2016,9,2
28/05/2016,30,4
04/06/2016,29,1
11/06/2016,16,44
18/06/2016,18,10
25/06/2016,18,11
02/07/2016,10,8
09/07/2016,9,1
16/07/2016,7,40
23/07/2016,14,11
30/07/2016,24,12
06/08/2016,30,5
13/08/2016,34,28
20/08/2016,44,54
27/08/2016,50,1
03/09/2016,50,73
10/09/2016,66,3
17/09/2016,100,2
24/09/2016,73,0
01/10/2016,70,47
08/10/2016,83,2
15/10/2016,67,0
22/10/2016,100,0
29/10/2016,89,0
05/11/2016,99,3
12/11/2016,100,0
19/11/2016,100,0
26/11/2016,64,0
03/12/2016,50,0
10/12/2016,100,2
17/12/2016,100,0
24/12/2016,71,0
31/12/2016,21,0
07/01/2017,9,0
14/01/2017,13,0
21/01/2017,54,0
28/01/2017,55,0
04/02/2017,38,0
11/02/2017,100,1
18/02/2017,21,0
25/02/2017,76,0
04/03/2017,22,1
11/03/2017,60,0
18/03/2017,20,0
25/03/2017,51,0
01/04/2017,12,0
08/04/2017,0,0
15/04/2017,0,0
22/04/2017,0,0
29/04/2017,10,0
06/05/2017,35,0
13/05/2017,69,0
20/05/2017,45,0
27/05/2017,37,0
03/06/2017,52,2
10/06/2017,21,0
17/06/2017,17,0
24/06/2017,0,0
01/07/2017,80,0
08/07/2017,0,0
15/07/2017,37,0
22/07/2017,0,0
29/07/2017,21,0
05/08/2017,28,0
12/08/2017,0,0
19/08/2017,20,0
26/08/2017,9,0
02/09/2017,14,0
09/09/2017,0,0
16/09/2017,5,0
23/09/2017,0,1
30/09/2017,8,0
07/10/2017,6,0
14/10/2017,10,0
21/10/2017,3,0
28/10/2017,0,0
04/11/2017,6,0
11/11/2017,0,0
18/11/2017,5,0
25/11/2017,8,0
02/12/2017,0,0
09/12/2017,0,0
16/12/2017,0,0
23/12/2017,38,0
