Date,Searches,Cases
02/01/2016,8,0
09/01/2016,0,0
16/01/2016,23,0
23/01/2016,46,0
30/01/2016,68,1
06/02/2016,36,0
13/02/2016,59,0
20/02/2016,27,0
27/02/2016,30,0
05/03/2016,37,0
12/03/2016,67,0
19/03/2016,20,1
26/03/2016,38,0
02/04/2016,21,2
09/04/2016,42,0
16/04/2016,19,1
23/04/2016,16,0
30/04/2016,17,0
07/05/2016,15,2
14/05/2016,12,1
21/05/2016,11,0
28/05/2016,17,0
04/06/2016,16,0
11/06/2016,8,3
18/06/2016,8,1
25/06/2016,9,1
02/07/2016,9,9
09/07/2016,10,15
16/07/2016,15,18
23/07/2016,25,43
30/07/2016,61,74
06/08/2016,69,42
13/08/2016,96,91
20/08/2016,100,85
27/08/2016,100,114
03/09/2016,98,173
10/09/2016,88,36
17/09/2016,83,97
24/09/2016,54,195
01/10/2016,34,102
08/10/2016,54,103
15/10/2016,28,182
22/10/2016,29,123
29/10/2016,32,61
05/11/2016,32,135
12/11/2016,23,28
19/11/2016,24,11
26/11/2016,19,9
03/12/2016,22,8
10/12/2016,44,16
17/12/2016,7,1
24/12/2016,11,2
31/12/2016,14,70
07/01/2017,17,1
14/01/2017,4,0
21/01/2017,32,0
28/01/2017,19,0
04/02/2017,18,1
11/02/2017,29,1
18/02/2017,36,2
25/02/2017,46,0
04/03/2017,7,1
11/03/2017,25,0
18/03/2017,41,0
25/03/2017,29,1
01/04/2017,100,0
08/04/2017,56,0
15/04/2017,37,0
22/04/2017,36,3
29/04/2017,15,1
06/05/2017,24,0
13/05/2017,16,0
20/05/2017,45,0
27/05/2017,18,0
03/06/2017,0,1
10/06/2017,18,0
17/06/2017,6,1
24/06/2017,41,4
01/07/2017,47,0
08/07/2017,22,0
15/07/2017,16,2
22/07/2017,4,0
29/07/2017,7,1
05/08/2017,9,1
12/08/2017,10,1
19/08/2017,17,1
26/08/2017,18,2
02/09/2017,14,1
09/09/2017,19,2
16/09/2017,6,7
23/09/2017,4,1
30/09/2017,6,12
07/10/2017,8,13
14/10/2017,6,15
21/10/2017,3,1
28/10/2017,7,21
04/11/2017,4,5
11/11/2017,4,8
18/11/2017,4,3
25/11/2017,5,5
02/12/2017,3,3
09/12/2017,4,5
16/12/2017,7,3
23/12/2017,0,3
